timestamp,accX,accY,accZ
0,-396,3812,-1274
2,-440,3358,-1666
3,-1668,3128,-1450
4,-1002,3424,-1344
6,-710,3586,-1820
7,-752,2552,-1846
9,-1496,3098,-1254
10,-1316,3558,-1744
11,-326,3334,-1840
13,-1426,3716,-1040
14,-1128,3092,-1094
15,-456,3318,-1568
17,-778,3704,-1066
18,-1428,3086,-586
20,-1456,3388,-948
21,-258,3252,-1324
22,-306,2304,-782
24,-2116,3586,-220
25,-620,3444,-900
26,422,2578,-980
28,-962,4090,-310
29,-2056,4044,154
30,-218,3072,-1018
32,-1212,3496,-1114
33,-1510,3340,-676
35,-1606,4154,-888
36,-462,3678,-1356
37,-224,2394,-1168
39,-2358,4372,-868
40,-1086,4078,-1114
42,284,3450,-1680
43,-1900,3506,-1470
44,-1448,2998,-1332
46,-742,4314,-1568
47,-480,3072,-2120
48,-926,2476,-1176
50,-1158,4110,-1416
51,-154,3258,-1830
52,-512,3266,-1308
54,-1798,3492,-984
55,-520,2858,-1482
56,-454,4144,-1356
58,-1584,3490,-854
59,-1210,2776,-926
61,-858,4084,-1380
62,-42,2658,-1268
63,-812,4292,-16
65,-1930,4408,-676
66,106,2812,-1040
68,-1420,3580,-930
69,-2758,4230,-24
70,-1300,2688,-1034
72,-524,3084,-978
73,-1584,3560,-826
74,-1622,3658,-364
76,-744,4218,-1342
77,-178,3236,-1186
78,-2054,3404,-1024
80,-2318,4682,-790
81,-206,2990,-1834
83,-1388,3610,-1706
84,-2054,3260,-1200
85,-676,4082,-1328
87,-570,4044,-1816
88,-518,2842,-1336
89,-1682,4082,-1302
91,-804,3868,-1822
92,-140,3470,-1646
93,-1986,3658,-1104
95,-1392,3094,-1592
96,-586,3966,-1522
98,-1360,4038,-1124
99,-1594,3030,-782
100,-1268,4000,-992
102,-298,3660,-970
103,-2014,3372,-90
105,-2706,4562,-126
106,-1020,2568,-952
107,-626,3188,-962
109,-2120,4030,252
110,-318,3102,-792
111,-74,2772,-1068
113,-1116,3474,-578
114,-1748,3536,-318
115,-1058,4000,-1396
117,-52,2596,-1240
118,-1356,2660,-1002
120,-2422,4304,-926
121,352,3166,-1692
122,-416,3266,-1904
124,-1840,3132,-1262
125,-970,3512,-1274
127,-592,4268,-2072
128,-698,2426,-1850
129,-1766,3372,-1124
131,-1324,3560,-1666
132,-198,3130,-1760
133,-1568,3544,-1036
135,-768,3040,-1268
136,-166,3296,-1628
137,-954,3750,-900
139,-1438,2766,-568
140,-1380,3396,-1314
142,-86,2960,-1368
143,-742,2674,-666
144,-2672,4236,-562
146,-92,2798,-1012
147,114,2836,-852
149,-1214,4244,-50
150,-1480,3890,-134
151,-88,2814,-1104
153,-1518,3488,-762
154,-1724,3518,-470
155,-1636,4010,-1318
157,-240,3312,-1292
158,-518,2440,-1006
159,-2360,4494,-692
161,-496,3772,-1264
162,232,3398,-1902
164,-2108,3414,-1424
165,-1308,3230,-1296
166,-372,3872,-1768
168,-560,2862,-2102
169,-1454,3798,-1342
171,-816,3860,-1602
172,-228,3466,-1626
173,-892,3498,-1088
175,-1496,3240,-1106
176,-460,3106,-1476
177,-1172,3978,-1206
179,-1568,3228,-598
180,-1440,3904,-1040
181,-410,3600,-1414
183,8,2528,-136
184,-2620,4448,-162
186,-1194,3446,-716
187,438,3224,-976
188,-2040,4102,-334
190,-2358,4036,-770
191,-288,3074,-896
192,-936,3642,-1066
194,-1424,3352,-446
195,-1348,4058,-992
197,-506,3816,-1368
198,-1248,2762,-1156
200,-2406,4142,-916
201,-1578,3260,-1562
202,-308,3388,-1818
204,-1722,3510,-1342
205,-1132,3428,-1232
206,-702,4206,-1406
208,-436,2752,-1820
209,-1622,3372,-1278
211,-1302,3800,-1566
212,-418,3404,-1704
213,-1382,3564,-1382
215,-1886,3026,-1398
216,-492,3448,-1486
217,-626,3912,-898
219,-1408,3096,-584
220,-1686,3516,-808
222,-826,3050,-1428
223,-612,2760,-780
224,-2548,3970,-362
226,-410,3014,-776
227,228,2766,-808
229,-1192,4274,120
230,-1162,3234,-320
231,-370,3768,-936
233,-1112,3480,-822
234,-1204,2936,-720
236,-1180,4306,-1234
237,-54,3024,-1232
238,-330,3742,-918
240,-2316,4202,-1060
241,-420,3346,-1730
243,-976,3902,-1822
244,-1724,3172,-1360
245,-1210,2920,-1208
247,-576,4020,-1872
248,-282,2888,-2024
249,-1200,3852,-1472
251,-932,3690,-1592
252,-256,3326,-1544
254,-1778,3588,-1334
255,-1534,3132,-1216
256,-480,3726,-1446
258,-1198,3858,-1282
259,-1524,3170,-726
261,-1292,3842,-782
262,-394,3524,-1432
263,-64,3486,-348
265,-2466,4402,-158
266,-1286,3472,-884
267,-616,3330,-1008
269,-2002,4292,-406
270,-1556,2654,-790
271,-978,3626,-700
273,-1144,3872,-616
274,-1534,3358,-442
