timestamp,accX,accY,accZ
0,-772,3636,-1620
2,-1146,3548,-1398
3,-1310,3206,-1170
5,-1102,3624,-1148
6,-1304,4004,-1094
7,-1210,3664,-1112
9,-886,3026,-1032
10,-938,3398,-1076
11,-976,3360,-340
13,-1370,3446,-420
14,-1338,3530,-1108
15,-674,3584,-950
17,-1264,3876,-552
18,-1820,3302,-604
19,-764,3094,-802
21,-558,3360,-1006
22,-782,3308,-814
24,-1334,3468,-702
25,-1300,3658,-1134
26,-874,3184,-1336
28,-1342,3594,-1384
29,-1522,3516,-1434
30,-618,3322,-1308
32,-1134,3556,-1476
33,-1268,3138,-1370
35,-790,3584,-1588
36,-796,3476,-1550
37,-1188,3212,-1442
39,-1262,3268,-1368
40,-756,3490,-1540
41,-1000,3764,-1442
43,-1200,3116,-1292
44,-1184,3372,-1220
46,-1278,3800,-1174
47,-1274,3520,-892
48,-1042,3240,-986
50,-1064,3192,-952
51,-896,3336,-514
52,-1164,3456,-348
54,-1544,3296,-802
55,-700,3320,-1060
57,-930,3748,-432
58,-1526,3504,-368
59,-1064,3106,-846
61,-870,3462,-948
62,-868,3356,-786
63,-1202,3352,-798
65,-1370,3470,-926
66,-856,3296,-1242
67,-1086,3458,-1304
69,-1094,3536,-1356
70,-730,3244,-1514
72,-872,3516,-1492
73,-1154,3142,-1440
74,-1014,3316,-1382
76,-1008,3728,-1648
77,-832,3282,-1720
78,-1048,3262,-1426
80,-906,3322,-1428
81,-920,3656,-1378
83,-1112,3226,-1558
84,-968,3056,-1348
85,-1242,3632,-1094
87,-1134,3622,-964
88,-1086,3336,-962
89,-1132,3350,-1162
91,-756,3272,-774
92,-912,3392,-392
94,-1420,3462,-612
95,-946,3214,-818
96,-808,3514,-708
98,-1480,3802,-520
99,-1228,3294,-740
100,-1094,3414,-826
102,-712,3298,-930
103,-938,3288,-876
104,-1308,3586,-1066
106,-998,3390,-1012
107,-910,3638,-1284
109,-1420,3688,-1266
110,-986,3424,-1422
111,-810,3624,-1536
113,-972,3208,-1428
114,-1136,3092,-1520
115,-988,3692,-1582
117,-828,3606,-1574
118,-894,3222,-1410
119,-972,3106,-1316
121,-1086,3560,-1164
122,-998,3514,-1322
124,-768,3030,-1474
125,-1082,3776,-992
126,-1260,3844,-1026
128,-1092,3496,-1072
129,-1256,3334,-1008
130,-890,3300,-1002
132,-704,3236,-454
133,-1446,3628,-488
135,-1336,3276,-974
136,-964,3764,-838
137,-1260,4090,-736
139,-1150,3492,-770
140,-1298,3382,-586
142,-968,3576,-674
143,-678,3234,-1014
144,-1332,3518,-1128
146,-1130,3376,-1106
147,-1102,3666,-1098
148,-1432,3802,-1392
150,-1022,3346,-1528
151,-902,3816,-1480
152,-946,3544,-1468
154,-844,3202,-1434
155,-1248,3596,-1612
157,-940,3660,-1752
158,-858,3342,-1728
159,-1122,3150,-1560
161,-1162,3656,-1146
162,-976,3762,-1312
163,-780,3302,-1460
165,-1306,3508,-1186
166,-1424,3826,-986
168,-1188,3306,-934
169,-1150,3346,-910
170,-1148,3446,-910
172,-728,3298,-742
173,-1200,3598,-426
174,-1292,3134,-556
176,-1026,3536,-830
177,-1276,4090,-882
179,-894,3090,-860
180,-1334,3324,-562
181,-1512,3642,-708
183,-702,3250,-1054
184,-878,3464,-1190
185,-1280,3260,-968
187,-1322,3632,-946
188,-1302,3834,-1342
190,-996,3230,-1452
191,-1110,3598,-1486
192,-1080,3274,-1486
194,-954,3138,-1386
195,-1382,3348,-1554
196,-842,3570,-1454
198,-586,3664,-1796
199,-1044,3102,-1464
201,-1358,3244,-1238
202,-1322,3744,-1366
203,-680,3206,-1562
205,-944,3310,-1434
206,-1496,3682,-916
208,-1108,3452,-840
209,-896,3398,-874
210,-956,3262,-876
212,-808,3190,-842
213,-882,3490,-556
214,-1216,3168,-476
216,-1406,3340,-648
217,-1422,3920,-1022
219,-552,3210,-988
220,-1126,3586,-486
221,-1370,3514,-498
223,-752,3298,-1238
224,-544,3326,-1458
225,-1046,3002,-1102
227,-1470,3430,-888
228,-1170,3772,-1270
230,-776,3138,-1478
231,-1152,3826,-1624
232,-914,3720,-1382
234,-508,3232,-1384
235,-1084,3330,-1556
236,-1080,3342,-1520
238,-520,3534,-1850
239,-1032,3422,-1616
241,-1346,2976,-1128
242,-1238,3906,-1118
243,-580,3488,-1588
245,-542,3198,-1268
246,-1616,3698,-940
247,-1196,3506,-848
249,-922,3568,-796
250,-1248,3414,-1094
252,-1018,3202,-898
253,-946,3618,-592
254,-1046,3304,-524
256,-1334,3590,-530
257,-1426,4120,-784
259,-500,3510,-1100
260,-1468,3420,-554
261,-1868,3666,-498
263,-1150,3306,-1086
264,-630,3590,-1384
265,-940,3314,-1082
267,-1494,3658,-866
268,-1434,4002,-1108
269,-884,3384,-1636
271,-1300,3658,-1652
272,-1256,3926,-1476
274,-472,3176,-1332
