timestamp,accX,accY,accZ
0,-1404,3980,-852
2,-1272,4368,-1100
3,-814,2768,-1158
4,-2182,4244,-972
6,-1602,3752,-1614
7,-852,3814,-1440
9,-1564,4192,-1678
10,-1322,3024,-1478
11,-922,4132,-1574
13,-684,2418,-1794
14,-1326,3174,-1324
15,-1602,4178,-1520
17,-784,3004,-1726
18,-1318,3644,-1650
20,-2024,3966,-1250
21,-536,3184,-1352
22,-872,3964,-1378
24,-1398,2994,-746
25,-1188,3426,-762
26,-1082,4026,-1000
28,-394,2460,-1038
29,-1648,3068,-396
31,-2178,3824,-656
32,0,2834,-962
33,-1128,3430,-326
35,-2016,3284,-284
36,-242,2560,-706
37,-1108,3872,-812
39,-592,2556,-634
40,-1192,3196,-704
42,-1442,3516,-1124
43,-124,2430,-1084
44,-1764,3636,-1150
46,-760,3086,-1476
47,-250,3374,-1588
49,-1172,3618,-1554
50,-1042,2834,-1342
51,-926,3552,-1576
53,-252,3040,-1974
54,-648,2756,-1450
56,-1418,3960,-1500
57,-362,3112,-1544
58,-634,3900,-1406
60,-1698,3530,-1150
61,-672,3008,-1212
62,-750,3870,-1310
64,-1248,3328,-992
65,-1192,3098,-762
66,-1094,3964,-1060
68,-428,2986,-1128
69,-658,3636,-200
71,-2138,4266,-380
72,-668,3240,-888
73,-250,3956,-574
75,-1870,3940,-348
76,-766,3154,-646
77,-1120,4100,-788
79,-966,3308,-682
80,-1482,3854,-948
82,-1282,4258,-1240
83,-316,2794,-1204
84,-2188,3916,-970
86,-1778,3680,-1492
87,-440,3820,-1576
88,-1130,4026,-1806
90,-1374,3112,-1412
91,-1056,3800,-1250
93,-622,3626,-1762
94,-386,3278,-1534
95,-1676,3994,-1506
97,-888,3494,-1522
98,-1134,3650,-1542
99,-1672,3660,-1274
101,-1170,3352,-1318
102,-834,3888,-1374
104,-1076,3592,-778
105,-1138,3420,-628
106,-1442,3950,-778
108,-692,2700,-1020
109,-1394,3146,-524
111,-2192,4066,-444
112,-140,2852,-872
113,-884,3486,-732
115,-1728,3270,-498
116,-634,2826,-674
117,-1040,3854,-716
119,-664,2758,-776
120,-1392,3290,-748
122,-1458,3426,-1164
123,-104,2692,-1170
124,-1582,3544,-1100
126,-958,3148,-1316
127,-382,3550,-1486
129,-896,3562,-1734
130,-1034,2808,-1454
131,-1250,3510,-1408
133,-326,2972,-1918
134,-594,2800,-1754
136,-1626,3858,-1474
137,-562,3124,-1498
138,-686,3352,-1454
140,-1558,3396,-1118
141,-822,3104,-1266
143,-860,3800,-1448
144,-1056,3330,-1062
145,-1234,3230,-606
147,-1216,3766,-952
148,-454,2910,-1294
149,-670,3786,-262
151,-2194,4170,-310
152,-852,3190,-934
153,-474,3906,-664
155,-1482,3722,-464
156,-908,2950,-608
158,-996,3894,-708
159,-716,3150,-770
160,-962,3970,-944
162,-1254,3984,-1118
163,-272,3066,-1222
165,-1972,3780,-1064
166,-1672,3400,-1342
167,-686,4062,-1470
169,-862,3958,-1826
170,-1062,3104,-1422
171,-1332,3778,-1278
173,-510,3364,-1658
174,-422,3516,-1592
175,-1670,3898,-1662
177,-868,3386,-1468
178,-1044,3714,-1584
180,-1662,3538,-1262
181,-1106,3400,-1114
182,-734,3776,-1380
184,-986,3466,-872
185,-1590,3572,-610
187,-1530,3804,-640
188,-868,2776,-1054
189,-1328,3280,-594
191,-1954,4024,-432
192,-380,2970,-798
193,-952,3584,-654
195,-1234,3034,-518
196,-934,3180,-578
198,-1360,4100,-756
199,-652,2680,-634
200,-1494,3488,-822
202,-1656,3352,-1052
203,-244,2906,-1218
204,-1366,3554,-1166
206,-1752,3098,-1132
207,-874,3842,-1264
209,-900,4154,-1812
210,-950,3082,-1510
211,-1314,3512,-1368
213,-1006,3038,-1732
214,-782,3280,-1630
216,-1470,3718,-1676
217,-662,3222,-1580
218,-804,3668,-1632
220,-1346,3314,-1096
221,-984,3280,-1144
222,-994,3606,-1500
224,-866,3264,-1198
225,-1332,3382,-718
226,-1712,3590,-772
228,-676,3080,-948
229,-518,2834,-424
231,-1670,4038,-392
232,-1158,3330,-530
233,-588,3212,-570
235,-1122,3408,-592
236,-994,2834,-518
238,-1208,4114,-580
239,-528,3012,-724
240,-926,2868,-864
242,-1356,3900,-1060
243,-394,3112,-1020
244,-616,3598,-1100
246,-1434,3232,-1260
247,-924,3390,-1406
249,-832,4020,-1770
250,-992,3324,-1664
251,-982,3498,-1366
253,-620,3288,-1636
254,-542,3096,-1612
255,-1438,3646,-1710
257,-1006,3362,-1490
258,-688,3754,-1540
260,-1428,3582,-1310
261,-1238,3256,-1144
262,-866,3692,-1336
264,-760,3294,-1444
265,-952,3564,-716
266,-1594,3732,-472
268,-948,3292,-1150
269,-1142,3328,-812
271,-1802,4004,-426
272,-772,3044,-616
273,-974,3556,-586
275,-1244,3778,-498
