timestamp,accX,accY,accZ
0,-380,2740,-880
2,-998,3540,-822
3,-1546,3298,-732
4,-752,3376,-1254
6,-820,3438,-1296
7,-1662,3582,-952
9,-1848,4358,-906
10,-758,2870,-1700
11,-988,3524,-1648
13,-1474,3684,-1136
14,-1244,3530,-1488
16,-830,3804,-1632
17,-802,3388,-1568
18,-1128,3180,-1348
20,-1038,3476,-1534
21,-1040,3496,-1306
22,-1188,3432,-1424
24,-1222,3400,-1510
25,-1156,3620,-944
26,-1466,3986,-930
28,-1564,3034,-792
29,-860,3120,-1244
31,-798,3502,-722
32,-1072,3314,-434
33,-1602,3570,-402
35,-1290,3302,-858
36,-840,3550,-804
37,-1420,4022,-624
39,-1878,3366,-832
40,-474,2754,-952
42,-736,3136,-780
43,-1274,3546,-584
44,-892,3306,-1018
46,-854,3248,-1318
47,-1138,3040,-1210
49,-1800,4068,-1280
50,-294,3124,-1654
51,-640,3118,-1758
53,-1292,3562,-1262
54,-926,3360,-1270
55,-864,3570,-1694
57,-894,3244,-1854
58,-950,3128,-1452
60,-882,3680,-1366
61,-1040,3556,-1292
62,-934,3192,-1288
64,-1088,3570,-1558
65,-798,3358,-1274
66,-1204,3690,-790
68,-1308,3450,-788
69,-998,3016,-964
71,-696,3452,-926
72,-856,3280,-586
73,-1374,3468,-462
75,-1008,3112,-814
76,-870,3302,-768
77,-1100,4286,-398
79,-1302,3868,-770
80,-528,2802,-896
81,-1306,3650,-726
83,-1298,3680,-608
84,-888,3404,-1324
86,-1036,3462,-1256
87,-922,2998,-982
88,-1656,4378,-1008
90,-798,3440,-1672
91,-390,2900,-1724
92,-1352,3752,-1416
94,-1100,3420,-1244
95,-764,3622,-1664
97,-1020,3444,-1704
98,-836,3192,-1480
99,-884,3380,-1650
101,-1166,3586,-1334
102,-1142,3482,-1246
103,-1082,3420,-1460
105,-776,3308,-1096
106,-1384,3878,-900
108,-1600,3656,-750
109,-1106,3136,-1160
110,-760,3358,-984
112,-896,3414,-436
113,-1364,3442,-498
115,-1138,3300,-646
116,-918,3582,-814
117,-1486,4160,-604
119,-1660,4182,-886
120,-632,2752,-770
121,-1126,3376,-576
123,-1568,3772,-592
124,-644,3252,-1286
126,-788,3396,-1306
127,-1070,3368,-1094
128,-1700,4208,-778
130,-1180,4012,-1720
131,-838,3206,-1740
132,-1250,3680,-1574
134,-1252,3416,-1338
135,-1004,3524,-1578
137,-1020,3346,-1614
138,-908,3370,-1464
139,-868,3460,-1574
141,-994,3516,-1234
142,-1252,3422,-1310
143,-1216,3538,-1660
145,-772,3470,-1444
146,-1250,3700,-1072
148,-1622,3318,-780
149,-868,3050,-1026
150,-720,3320,-902
152,-1028,3332,-608
153,-1286,3376,-436
155,-1086,3296,-714
156,-990,3350,-682
157,-1210,3708,-390
159,-970,3750,-828
160,-408,2702,-1014
161,-1006,3822,-610
163,-1364,3630,-568
164,-702,3194,-1376
166,-514,3338,-1356
167,-1184,3112,-1028
168,-1762,3848,-1014
170,-620,3364,-1600
171,-542,3018,-1744
172,-1246,3782,-1294
174,-908,3412,-1234
175,-874,3472,-1612
177,-954,3110,-1654
178,-810,3218,-1570
179,-762,3396,-1566
181,-1146,3476,-1250
182,-1332,3596,-1150
184,-878,3454,-1644
185,-702,3378,-1726
186,-1052,3732,-800
188,-1640,3458,-674
189,-1100,3138,-1194
190,-790,3526,-882
192,-1050,3568,-724
193,-1162,3264,-578
195,-970,3290,-710
196,-1008,3332,-684
197,-1582,4150,-422
199,-1412,4206,-740
200,-308,2648,-782
201,-1588,3672,-406
203,-1884,3898,-434
204,-840,3282,-1330
205,-692,3510,-1366
207,-1034,3394,-872
208,-1676,4244,-774
210,-1016,3828,-1366
211,-316,3262,-1768
212,-1486,3820,-1550
214,-1148,3600,-1260
215,-964,3528,-1494
217,-1110,3300,-1652
218,-998,3384,-1562
219,-774,3714,-1594
221,-998,3512,-1278
222,-1564,3570,-1150
223,-1294,3656,-1286
225,-694,3510,-1518
226,-1332,3800,-1086
227,-1676,3582,-734
229,-1436,3176,-1058
230,-736,3410,-1090
232,-1042,3470,-558
233,-1286,3344,-578
234,-1026,3246,-724
236,-910,3320,-552
237,-1314,3564,-594
239,-1854,4372,-990
240,-136,2516,-1100
241,-890,2896,-640
243,-2056,3644,-428
244,-456,2942,-1088
245,-362,3514,-1396
247,-1100,2890,-1068
248,-1724,3732,-810
250,-1570,3324,-1580
251,-398,2770,-1792
252,-1388,3566,-1360
254,-782,3450,-1338
255,-680,3428,-1398
256,-1080,3124,-1598
258,-864,3076,-1398
259,-688,3566,-1708
261,-940,3358,-1488
262,-1292,3204,-1198
263,-1734,3728,-1438
265,-432,3230,-1668
266,-822,3602,-1428
267,-1608,3458,-754
269,-1072,3122,-766
270,-614,3288,-970
272,-1244,3504,-684
273,-1352,3436,-598
274,-1116,3280,-704
