timestamp,accX,accY,accZ
0,-688,3470,-1164
2,-1568,3878,-776
3,-756,3530,-1482
4,-1358,4016,-1458
6,-812,2616,-1662
7,-812,2354,-1080
9,-1458,4782,-1404
10,52,2480,-1800
11,-692,3850,-1798
13,-1410,3670,-1038
14,-442,3180,-1906
15,-1724,4116,-1260
17,-946,2944,-1408
18,-582,4208,-1490
19,-1144,3896,-1150
21,-874,3024,-814
22,-1304,3900,-986
24,-244,2836,-1488
25,-64,2516,-62
26,-2384,4616,-526
28,-914,3186,-624
29,-142,3468,-1382
30,-1738,3920,-686
32,-1568,3750,-374
33,-1148,3586,-794
34,-728,2882,-1040
36,-408,2582,-332
37,-1762,4590,-490
39,-736,3274,-1076
40,-392,3408,-1356
41,-1546,3836,-990
43,-1228,3540,-1372
44,-1158,3922,-1552
45,-1138,3474,-1482
47,-242,3590,-1046
48,-1872,5212,-1344
50,-606,3514,-1612
51,76,3408,-1828
52,-1470,3804,-1488
54,-1026,3262,-1676
55,-1450,4320,-1750
56,-1426,3690,-1176
58,-328,3592,-1282
59,-1482,4358,-1216
61,-928,3360,-732
62,-1748,3810,-988
63,-1218,3470,-1120
65,386,3272,-300
66,-2218,4746,-476
67,-1976,4046,-710
69,-180,2984,-1080
70,-1124,3944,-1266
72,-1692,3194,-158
73,-1224,3718,-614
74,-1352,3628,-1402
76,-712,3006,-904
77,-2204,4884,-406
78,-1454,4148,-1056
80,-812,3082,-1254
81,-1530,3928,-1264
83,-1198,3274,-986
84,-1084,3978,-1382
85,-1356,3934,-1620
87,-906,2678,-1350
88,-1782,4618,-1338
89,-1362,2628,-1722
91,-696,2922,-1866
92,-1514,3704,-1088
94,-662,3312,-1394
95,-804,3808,-1818
96,-1314,2976,-1476
98,-1114,3062,-1266
99,-1376,3848,-1384
100,-1084,3350,-780
102,-1298,3418,-852
103,-1514,3704,-1536
104,-354,2686,-906
106,-1790,4104,-372
107,-2352,3102,-722
109,-338,2652,-836
110,-888,3554,-644
111,-1192,3508,-154
113,-1264,3428,-280
114,-1404,3812,-1018
115,-94,2424,-1340
117,-1656,4248,-520
118,-1912,3124,-906
120,-370,2576,-1194
121,-1268,3620,-1098
122,-830,3338,-1050
124,-976,3644,-1112
125,-1256,2984,-1612
126,-750,2498,-1326
128,-1344,3674,-1296
129,-756,3652,-1696
131,-254,2726,-1926
132,-1042,3606,-1262
133,-1332,3600,-1104
135,-638,3292,-1754
136,-1152,3848,-1340
137,-1016,3134,-1302
139,-940,3724,-1288
140,-1156,3914,-860
142,-1064,3416,-1162
143,-1186,3262,-1244
144,-112,2538,-1410
146,-1358,3330,-304
147,-1866,4000,-438
148,-150,2476,-898
150,-780,3784,-980
151,-1518,3808,-238
152,-1242,3468,-500
154,-1316,3308,-662
155,-4,2278,-1428
157,-816,3280,-468
158,-1378,3908,-688
159,-396,2562,-904
161,-952,3756,-1330
162,-1150,3568,-1050
163,-722,3464,-1424
165,-892,3382,-1544
166,-1050,2922,-1282
168,-762,3924,-1440
169,-1336,4436,-1374
170,-684,3478,-1902
172,-370,3196,-1250
173,-1322,3914,-1426
174,-1230,3558,-1798
176,-1294,3852,-1498
177,-1308,3916,-1266
178,-928,3088,-1376
180,-1414,4046,-1304
181,-1264,3856,-836
183,-968,3334,-1226
184,-550,2780,-1252
185,-766,2856,-328
187,-2038,4444,-464
188,-610,2904,-788
189,-762,3502,-1152
191,-1448,3792,-504
192,-1052,3812,-428
194,-1164,3510,-734
195,-610,2594,-1064
196,-352,4424,-424
198,-1404,4394,-686
199,-928,3088,-1342
200,-634,3568,-1438
202,-1274,3852,-1016
203,-894,3430,-1286
204,-1324,3872,-1302
206,-548,2674,-1622
207,-852,4090,-1466
209,-1446,4158,-1402
210,-622,3314,-1730
211,-988,3250,-1848
213,-1136,3114,-1176
214,-1068,3878,-1434
215,-946,3534,-1424
217,-810,3218,-1440
218,-970,3562,-1428
220,-1094,3464,-1066
221,-1066,3580,-794
222,-1340,3578,-1070
224,-534,2712,-1340
225,-526,4018,-460
226,-1960,4446,-560
228,-1090,3266,-846
229,-1112,3500,-1158
231,-1362,3808,-760
232,-966,3336,-472
233,-1754,4056,-508
235,-1048,3242,-1336
236,-16,3592,-700
237,-1858,4776,-668
239,-1118,3530,-810
240,-1154,3508,-1324
241,-1434,3942,-1132
243,-864,3358,-1254
244,-1574,4276,-1326
246,-818,3228,-1444
247,-1198,3546,-1514
248,-1556,4172,-1500
250,-820,3362,-1782
251,-834,3366,-1878
253,-1176,3170,-1338
254,-1180,3740,-1306
255,-866,3494,-1602
257,-856,3380,-1388
258,-1166,3418,-1342
259,-1018,3318,-1320
261,-1126,3658,-944
262,-1350,3642,-890
263,-1000,3256,-1342
265,-1210,3204,-596
266,-1660,4326,-632
268,-1634,2722,-776
269,-950,2996,-1030
270,-1226,3666,-484
272,-906,3390,-350
273,-1352,3734,-586
