timestamp,accX,accY,accZ
0,-852,3280,-492
2,-1350,3640,-660
3,-982,3454,-1162
5,-704,3278,-1268
6,-1142,3320,-1108
7,-1340,3786,-940
9,-1228,4014,-1230
10,-636,3346,-1634
11,-826,3536,-1574
13,-1240,3558,-1334
14,-1030,3468,-1572
15,-976,3330,-1604
17,-984,3442,-1638
18,-848,3396,-1534
20,-774,3220,-1586
21,-1270,3438,-1186
22,-1100,3412,-1304
24,-894,3520,-1554
25,-728,3542,-1192
26,-1416,3570,-818
28,-1524,3570,-980
29,-1046,3420,-1056
31,-800,3318,-958
32,-982,3268,-612
33,-1230,3528,-414
35,-990,3290,-678
36,-972,3648,-796
37,-1518,4158,-604
39,-1026,3792,-814
40,-604,3122,-632
41,-1508,3644,-398
43,-1292,3596,-1016
44,-550,3252,-1304
46,-1040,3412,-1418
47,-1248,3566,-818
48,-1404,4020,-1002
50,-926,3586,-1722
51,-1160,3474,-1578
52,-1270,3798,-1414
54,-906,3370,-1368
55,-1004,3238,-1660
57,-1152,3194,-1454
58,-1028,3768,-1548
59,-608,3308,-1688
61,-970,3080,-1112
62,-1514,3652,-1098
63,-984,3508,-1324
65,-700,3600,-1546
66,-1478,3646,-1058
68,-1456,3464,-802
69,-944,3466,-1084
70,-852,3406,-1050
72,-980,3308,-770
73,-1168,3566,-628
74,-1066,3450,-716
76,-1336,3332,-578
77,-1618,3972,-554
78,-1332,3358,-978
80,-518,2948,-998
81,-1408,3372,-404
83,-1818,3446,-588
84,-396,3214,-1290
85,-482,3334,-1216
87,-1516,3274,-942
88,-1632,3790,-806
89,-1092,3206,-1492
91,-862,3216,-1720
92,-1434,3698,-1404
94,-664,3494,-1230
95,-864,3422,-1532
96,-1268,3144,-1478
98,-880,3586,-1476
99,-614,3688,-1712
100,-556,3204,-1432
102,-1554,3380,-1196
103,-1422,3686,-1538
105,-432,3356,-1744
106,-1184,3586,-1292
107,-1644,3510,-720
109,-906,3246,-850
110,-780,3362,-1002
111,-1188,3234,-846
113,-1176,3340,-622
114,-1068,3284,-798
116,-1128,3128,-514
117,-1482,3510,-486
118,-964,4008,-886
120,-270,3022,-1158
121,-828,3624,-390
122,-1710,3686,-392
124,-768,3264,-1424
125,-250,3366,-1468
127,-1284,3210,-1076
128,-1712,3596,-928
129,-848,3572,-1414
131,-612,3010,-1564
132,-1378,3756,-1514
133,-948,3646,-1296
135,-580,3446,-1528
136,-1326,3196,-1456
138,-1220,3356,-1448
139,-734,3500,-1864
140,-780,3328,-1578
142,-1376,3242,-1012
143,-1686,3720,-1170
144,-572,3542,-1662
146,-522,3402,-1026
147,-1680,3560,-910
148,-1332,3326,-740
150,-668,3428,-892
151,-1108,3312,-772
153,-1308,3276,-680
154,-760,3462,-700
155,-830,3244,-708
157,-1298,3244,-416
158,-1522,4166,-542
159,-414,3546,-1090
161,-316,3228,-554
162,-1950,3720,-436
163,-1276,3508,-1150
165,-328,3484,-1486
166,-944,3216,-1348
168,-1432,3848,-820
169,-1274,4120,-1142
170,-460,3228,-1676
172,-828,3544,-1638
173,-1386,3726,-1526
174,-604,3516,-1450
176,-1118,3472,-1554
177,-1456,3144,-1392
179,-928,3598,-1686
180,-618,3804,-1732
181,-1042,3424,-1166
183,-1622,3472,-1092
184,-966,3596,-1536
185,-384,3626,-1384
187,-1714,3730,-854
188,-1614,3406,-872
190,-596,3386,-940
191,-934,3474,-940
192,-1362,3378,-650
194,-966,3482,-644
195,-592,3392,-888
196,-992,3304,-476
198,-1856,3942,-378
199,-1282,4134,-1218
200,-360,2836,-984
202,-1672,3606,-526
203,-1906,3804,-596
205,-174,3338,-1286
206,-730,3598,-1368
207,-996,3212,-980
209,-1618,4140,-806
210,-910,3946,-1574
211,-1088,3150,-1562
213,-1646,3700,-1584
214,-1058,3598,-1462
215,-768,3644,-1508
217,-1378,3372,-1384
218,-742,3218,-1602
220,-392,3582,-1660
221,-780,3716,-1272
222,-1720,3300,-1050
224,-1346,3478,-1292
225,-760,3588,-1574
226,-1210,3612,-1120
228,-1758,3596,-644
229,-722,3238,-880
231,-518,3228,-988
232,-1090,3460,-530
233,-1292,3332,-576
235,-866,3372,-906
236,-624,3308,-668
237,-1598,3616,-354
239,-1854,4226,-910
240,-118,2760,-1306
241,-846,3180,-726
243,-2028,3480,-358
244,-744,3324,-984
246,-356,3582,-1400
247,-1326,2906,-1162
248,-1812,3682,-766
250,-1426,3454,-1490
251,-672,3062,-1706
253,-1354,3400,-1402
254,-756,3500,-1576
255,-662,3590,-1472
257,-974,3262,-1356
258,-1032,2974,-1492
259,-586,3222,-1726
261,-650,3592,-1452
262,-1340,3230,-1120
264,-1590,3632,-1462
265,-440,3448,-1610
266,-750,3616,-886
268,-1834,3540,-806
269,-1148,3162,-794
271,-446,3332,-1024
272,-1346,3518,-588
273,-1462,3462,-564
