timestamp,accX,accY,accZ
0,-1010,3236,-1346
2,-616,3908,-1600
3,-1368,4144,-1280
4,-718,2960,-1302
6,-1402,3798,-1184
7,-1076,3398,-1192
9,-722,3598,-1148
10,-1152,3522,-1084
11,-1124,3254,-1056
13,-1396,3862,-764
14,-1036,3586,-936
16,-856,3254,-960
17,-1150,3464,-658
18,-1140,3580,-508
20,-776,3252,-586
21,-1404,3810,-788
22,-1172,3490,-780
24,-1122,3656,-700
25,-1460,3760,-790
26,-1242,3258,-894
28,-758,3412,-1004
29,-970,3450,-1256
31,-1250,3354,-1080
32,-1264,3774,-1068
33,-1372,3100,-1692
35,-1084,3258,-1612
36,-1402,4068,-1260
38,-618,3012,-1438
39,-910,3276,-1646
40,-1256,3142,-1360
42,-842,3250,-1500
43,-1372,4148,-1486
45,-518,2776,-1608
46,-1078,3378,-1224
47,-1362,3314,-1222
49,-716,3184,-1222
50,-1110,3564,-1158
51,-1128,3396,-1142
53,-1100,3688,-824
54,-1182,3354,-904
56,-1070,3134,-788
57,-1012,3250,-722
58,-1108,3508,-526
60,-760,2996,-732
61,-1322,3530,-688
62,-1010,3460,-698
64,-664,3180,-780
65,-1260,3724,-904
67,-1026,3236,-900
68,-608,3268,-1036
69,-1004,3368,-1366
71,-1090,3108,-1170
72,-960,4016,-1100
73,-1042,3516,-1338
75,-832,2888,-1412
76,-1400,4190,-1350
78,-750,3310,-1342
79,-574,3720,-1714
80,-1172,3574,-1324
82,-712,2926,-1522
83,-1586,4348,-1586
84,-818,3244,-1510
86,-524,2798,-1080
87,-1388,3760,-1248
89,-752,2948,-1134
90,-830,3854,-930
91,-1294,3604,-1246
93,-1056,3430,-872
94,-1152,3616,-824
95,-1128,3318,-842
97,-1088,3398,-750
98,-962,3668,-760
100,-736,3158,-790
101,-1708,3890,-574
102,-1360,3776,-650
104,-636,3258,-906
105,-1582,3938,-934
106,-1224,3448,-938
108,-890,3514,-800
109,-1210,3666,-1228
111,-1006,3184,-1238
112,-1142,3846,-1170
113,-1238,3914,-1632
115,-1170,3210,-1396
116,-1440,4038,-1380
118,-1098,3002,-1566
119,-892,3276,-1850
120,-1370,3730,-1174
122,-756,3116,-1376
123,-1370,3994,-1624
124,-1306,2896,-1658
126,-988,3340,-1192
127,-1388,3806,-1142
129,-1170,2972,-1240
130,-1268,3590,-766
131,-1344,3770,-1262
133,-950,3466,-996
134,-1104,3552,-852
135,-1176,3198,-710
137,-1084,3132,-630
138,-1050,3602,-710
140,-678,2952,-802
141,-1292,3468,-696
142,-1826,3522,-646
144,-442,2942,-822
145,-1128,3624,-1052
146,-1012,3230,-904
148,-562,3168,-816
149,-1172,3602,-1188
151,-1106,3052,-1276
152,-770,3158,-1196
153,-1090,3722,-1380
155,-930,2956,-1646
156,-1344,3498,-1298
157,-722,3352,-1402
159,-582,2822,-1826
160,-1210,3720,-1162
162,-824,3044,-1138
163,-992,3412,-1648
164,-862,3322,-1584
166,-442,3000,-1426
167,-1212,3672,-1198
168,-930,3076,-1184
170,-702,3206,-868
171,-1278,3688,-1228
173,-1220,3628,-1252
174,-944,3460,-926
175,-1186,3358,-682
177,-1222,3180,-718
178,-936,3770,-792
179,-606,3280,-792
181,-744,2946,-562
182,-1596,3984,-572
184,-728,3158,-696
185,-580,3862,-1124
186,-1306,3574,-988
188,-856,3130,-756
189,-1262,3714,-1040
190,-1266,3420,-1194
192,-856,3524,-1240
193,-1174,4020,-1238
194,-940,3240,-1336
196,-1578,3966,-1386
197,-1088,3910,-1230
199,-476,3250,-1898
200,-1302,3764,-1700
201,-1088,3252,-1190
203,-968,3904,-1462
204,-1276,3860,-1592
206,-422,2954,-1330
207,-1336,3810,-1242
208,-1314,3358,-1156
210,-736,3442,-762
211,-1230,3690,-1092
212,-1346,3736,-1056
214,-974,3394,-842
215,-1014,3328,-846
217,-1282,3172,-538
218,-1040,3658,-874
219,-852,3726,-992
221,-1012,3090,-780
222,-1990,4036,-488
223,-1304,3124,-756
225,-778,3394,-1002
226,-1456,3720,-1014
228,-770,3094,-796
229,-1120,3596,-800
230,-1374,3718,-1278
232,-732,3094,-1388
233,-1040,3772,-1356
234,-996,3128,-1516
236,-1380,3476,-1156
237,-1548,3914,-1502
239,-540,3018,-1808
240,-810,3458,-2060
241,-1308,3264,-1152
243,-1118,3356,-1148
244,-1308,3788,-1806
245,-550,3188,-1394
247,-956,3524,-1216
248,-1368,3266,-1042
250,-896,3150,-990
251,-1130,3520,-1178
252,-1180,3796,-1160
254,-968,3502,-834
255,-902,3254,-584
256,-1256,3208,-498
258,-1254,3456,-874
259,-954,3368,-980
261,-660,3046,-914
262,-1586,3656,-332
263,-1070,3404,-610
265,-670,3212,-876
266,-1112,3522,-1134
267,-964,3290,-910
269,-908,3338,-822
270,-1284,3430,-1098
272,-978,3162,-1436
273,-834,3826,-1332
274,-868,3366,-1492
