timestamp,accX,accY,accZ
0,-1226,3520,-1376
2,-1050,3564,-1498
3,-940,3464,-1592
4,-1090,3312,-1256
6,-1244,3674,-1076
7,-1362,3674,-712
9,-1018,3306,-978
10,-870,3312,-1024
11,-790,3244,-478
13,-1304,3588,-202
14,-1264,3308,-502
15,-1204,3366,-866
17,-1288,3948,-790
18,-1474,4094,-630
20,-1038,3056,-714
21,-912,3212,-690
22,-978,3546,-742
24,-1054,3538,-1008
25,-890,3308,-1126
26,-934,3480,-980
28,-1612,3938,-1094
29,-1184,3636,-1570
31,-922,3496,-1714
32,-994,3392,-1656
33,-1146,3508,-1410
35,-998,3354,-1472
36,-722,3328,-1712
37,-778,3516,-1550
39,-726,3302,-1616
40,-1062,3530,-1328
41,-1306,3570,-1314
43,-968,3434,-1390
44,-976,3564,-1326
46,-1222,3468,-1156
47,-1260,3446,-856
48,-978,3558,-900
50,-850,3224,-950
51,-830,3512,-714
53,-1152,3584,-428
54,-922,3172,-636
55,-1308,3350,-622
57,-1256,3510,-724
58,-1264,3906,-604
59,-1028,3234,-670
61,-976,3080,-550
62,-1066,3518,-646
64,-954,3592,-832
65,-922,3082,-1364
66,-950,3078,-1094
68,-1674,3794,-1110
69,-1166,3568,-1344
70,-954,3424,-1500
72,-1090,3502,-1624
73,-984,3564,-1350
75,-860,3564,-1420
76,-948,3164,-1584
77,-878,3352,-1676
79,-818,3578,-1748
80,-1042,3416,-1500
81,-1424,3584,-1162
83,-1422,3364,-1392
84,-882,3400,-1562
86,-1142,3588,-1064
87,-1394,3494,-886
88,-1146,3550,-730
90,-944,3312,-914
91,-1006,3508,-800
92,-1038,3456,-532
94,-1078,3320,-744
95,-1348,3330,-538
97,-1070,3814,-642
98,-1470,4234,-620
99,-748,3332,-936
101,-1308,3482,-600
102,-1442,3498,-590
104,-948,3528,-1104
105,-670,3438,-1252
106,-762,3006,-982
108,-1778,3984,-944
109,-1226,3750,-1152
110,-956,3412,-1720
112,-1146,3414,-1696
113,-1074,3614,-1412
115,-692,3406,-1356
116,-1024,3240,-1570
117,-988,3252,-1616
119,-616,3514,-1796
120,-954,3474,-1594
121,-1278,3474,-1156
123,-1268,3554,-1310
124,-838,3474,-1558
126,-1116,3530,-1312
127,-1380,3486,-862
128,-1300,3238,-888
130,-990,3392,-920
131,-1146,3588,-750
132,-1132,3330,-602
134,-1104,3430,-576
135,-1206,3048,-536
137,-1402,3526,-618
138,-1780,4332,-964
139,-878,2882,-960
141,-1120,3182,-648
142,-1554,3638,-460
143,-776,3426,-832
145,-656,3620,-1176
146,-678,2978,-1112
148,-1820,3850,-936
149,-1540,4092,-1174
150,-736,3150,-1654
152,-1200,3514,-1784
153,-1038,3518,-1440
154,-778,3634,-1298
156,-1104,3428,-1622
157,-1008,3238,-1544
159,-690,3612,-1760
160,-738,3448,-1598
161,-1428,3362,-1266
163,-1628,3442,-1376
164,-678,3330,-1492
165,-868,3542,-1442
167,-1228,3724,-818
168,-1086,3218,-894
170,-930,3394,-982
171,-1030,3370,-742
172,-1220,3460,-730
174,-1114,3464,-624
175,-1046,3184,-678
176,-1350,3312,-476
178,-1698,4254,-566
179,-466,3426,-998
181,-408,2752,-604
182,-1278,3694,-424
183,-1180,3468,-412
185,-562,3404,-1376
186,-740,2914,-1460
188,-1460,3358,-978
189,-1192,3796,-1160
190,-686,3142,-1476
192,-1088,3448,-1652
193,-1084,3672,-1626
195,-560,3746,-1520
196,-1036,3100,-1530
197,-1080,3004,-1574
199,-936,3660,-1732
200,-728,3608,-1732
201,-1130,3412,-1160
203,-1488,3444,-1182
204,-928,3540,-1264
205,-710,3624,-1366
207,-1312,3470,-992
208,-1210,3378,-838
210,-968,3362,-1046
211,-1086,3374,-784
212,-1250,3530,-682
214,-774,3202,-724
215,-972,3358,-788
216,-1364,3316,-516
218,-1834,4118,-210
219,-1184,4102,-1222
221,-684,2876,-1006
222,-1504,3626,-432
223,-1614,3480,-474
225,-550,3500,-1144
226,-650,3278,-1282
227,-1708,3620,-974
229,-1668,4180,-946
230,-1054,3006,-1570
232,-1216,3336,-1658
233,-1280,3618,-1494
234,-948,3658,-1488
236,-910,3586,-1482
237,-958,3008,-1366
238,-876,3466,-1528
240,-606,3712,-1742
241,-840,3582,-1400
243,-1554,3236,-1220
244,-1286,3224,-1342
245,-928,3770,-1282
247,-998,3546,-1230
248,-1422,3368,-802
249,-698,3048,-1092
251,-892,3372,-676
252,-1350,3462,-526
254,-1094,3190,-804
255,-868,3388,-766
256,-1290,3380,-552
258,-1492,3382,-374
259,-1002,3826,-906
260,-244,2976,-1140
262,-330,3566,-512
263,-1652,3678,-514
265,-930,3392,-662
266,-556,3530,-1510
267,-968,2834,-1410
269,-1512,3390,-974
270,-1014,3760,-1126
272,-736,3022,-1528
273,-1176,3692,-1918
274,-684,3610,-1536
