timestamp,accX,accY,accZ
0,-1518,3236,-962
2,-854,3618,-918
3,-1040,3548,-828
4,-1242,3198,-674
6,-1470,3422,-782
7,-1068,3388,-1110
9,-674,3296,-1334
10,-1366,3584,-1336
11,-1422,3524,-888
13,-764,3650,-1404
14,-1142,3126,-1742
15,-1094,3532,-1842
17,-832,3602,-1300
18,-1154,3464,-1548
20,-1384,3432,-1326
21,-990,3172,-1608
22,-1186,3984,-1402
24,-822,3406,-1228
25,-1132,3322,-952
26,-1216,3486,-940
28,-974,3574,-1192
29,-668,2998,-1088
31,-1030,2784,-894
32,-2030,4268,-594
33,-430,3098,-992
35,-878,3126,-1166
36,-1214,3396,-532
37,-616,3112,-556
39,-808,3834,-364
40,-1274,3280,-860
42,-760,3086,-910
43,-948,4054,-818
44,-942,3168,-850
46,-1278,3658,-944
47,-820,3568,-1066
48,-466,3186,-1248
50,-992,3432,-1532
51,-1068,3136,-1306
52,-1230,3766,-1546
54,-930,3152,-1656
55,-918,2956,-1820
57,-1120,3710,-1142
58,-696,3314,-1646
59,-1190,3426,-1516
61,-1310,3150,-1474
62,-890,3580,-1442
63,-1170,3984,-1490
65,-910,2864,-1260
66,-1240,3232,-960
68,-1268,3676,-1250
69,-508,3260,-1332
70,-786,2772,-754
72,-2098,4330,-560
73,-848,3672,-880
74,-436,3422,-978
76,-1482,3564,-784
77,-912,3198,-656
79,-1224,3792,-564
80,-1474,3566,-490
81,-904,2882,-894
83,-1142,4148,-942
84,-936,3728,-724
85,-1538,3312,-1136
87,-1356,3592,-954
88,-664,3330,-1240
90,-1478,3764,-1406
91,-1090,3094,-1564
92,-1526,4050,-1448
94,-1138,3686,-1496
95,-576,2972,-1710
96,-1188,3654,-1402
98,-1094,3444,-1260
99,-718,3676,-1438
101,-1102,3276,-1544
102,-882,3216,-1292
103,-1156,3848,-1528
105,-978,3236,-1224
106,-860,3392,-854
107,-1140,3698,-1106
109,-830,3612,-1198
110,-304,3120,-872
111,-2190,4160,-576
113,-1440,3998,-916
114,-820,3310,-670
116,-1340,3598,-470
117,-684,3044,-590
118,-726,3432,-740
120,-1288,3856,-856
121,-1004,3056,-952
123,-1486,3980,-654
124,-750,3316,-812
126,-1078,3052,-984
127,-1626,3462,-1016
128,-440,3224,-1114
130,-934,3702,-1376
131,-1110,2964,-1362
132,-1328,3574,-990
134,-1030,3400,-1660
135,-630,2710,-1836
137,-1282,3454,-1066
138,-616,3280,-1520
139,-756,3318,-1574
141,-1274,3314,-1468
142,-886,3228,-1374
143,-1264,3906,-1288
145,-986,2948,-1234
146,-1174,3176,-892
148,-1350,3716,-1168
149,-312,3054,-1290
150,-894,2898,-1044
152,-1968,4316,-712
153,-670,3440,-954
154,-380,3036,-1030
156,-1620,3628,-596
157,-1134,3230,-304
159,-1184,3846,-674
160,-1090,3490,-670
162,-724,3580,-766
163,-1544,4376,-744
164,-844,3562,-924
166,-1476,3448,-1146
167,-1284,3574,-1044
168,-734,3154,-1194
170,-1670,4058,-1252
171,-1102,3110,-1390
172,-1086,4052,-1318
174,-1242,4268,-1650
175,-270,2872,-1494
177,-1560,3914,-1324
178,-1364,3620,-1792
179,-894,3534,-1708
181,-1364,3940,-1590
182,-1138,3184,-1350
184,-1258,4012,-1372
185,-874,3524,-1420
186,-748,3344,-976
188,-1390,3838,-1168
189,-806,3492,-1296
190,-1366,3192,-642
192,-2258,4278,-610
193,-1558,3018,-956
195,-612,3232,-906
196,-1394,3728,-268
197,-800,2950,-394
199,-838,3570,-626
200,-1206,2844,-1082
201,-908,2834,-874
203,-1954,4310,-550
204,-494,3050,-834
206,-934,3118,-1154
207,-1660,3352,-1050
208,-494,3124,-934
210,-944,3850,-1266
211,-1690,2718,-1490
212,-1056,3094,-1138
214,-1284,4562,-1684
215,-216,2520,-1766
217,-1240,3278,-1274
218,-1718,3308,-1430
219,-426,2978,-1694
221,-1090,3886,-1374
222,-890,2952,-1334
223,-1098,3440,-1342
225,-1146,3206,-1168
226,-776,2956,-1046
228,-1318,3626,-1050
229,-1308,3000,-1434
230,-600,2788,-952
232,-1936,4432,-772
233,-814,3438,-930
235,-292,2868,-1140
236,-954,3770,-560
237,-1206,3096,-194
239,-832,3036,-658
240,-888,3472,-838
241,-264,2418,-1198
243,-1504,4618,-552
244,-868,3442,-776
245,-474,2828,-1250
247,-1298,3656,-1120
248,-706,3036,-1096
250,-510,4234,-1250
251,-1276,3418,-1220
252,-706,2372,-1352
254,-1572,4806,-1592
255,-340,3188,-1782
256,-344,2444,-1394
258,-1664,3848,-1274
259,-562,2828,-1476
261,-510,4448,-1736
262,-1238,3480,-1358
263,-744,2790,-1394
265,-1180,3874,-1288
266,-570,2884,-1116
267,-946,3872,-1076
269,-930,3344,-1134
270,-38,2586,-606
272,-2226,4236,-650
273,-1622,3882,-924
274,-412,3258,-942
