timestamp,accX,accY,accZ
0,-1060,2872,-88
2,-1724,4494,-180
3,326,2270,-1164
5,-190,4572,-610
6,-1770,4058,-444
7,-516,2550,-1252
9,-1264,4200,-1298
10,-782,2694,-1168
11,-740,4606,-934
13,-1200,3644,-1418
14,-128,2112,-1374
16,-1892,4406,-1230
17,-1118,3770,-1684
18,-374,3772,-1792
20,-948,3226,-1616
21,-986,2582,-1286
22,-1152,4090,-1524
24,-438,3478,-1876
25,-594,2844,-1474
27,-2022,4102,-1210
28,-1004,3418,-1194
29,-574,3830,-1334
31,-1274,3372,-1246
32,-950,2822,-916
33,-1106,3916,-804
35,-1124,3436,-736
36,-1198,3402,-700
37,-1320,3900,-802
39,-818,3538,-792
40,-678,3354,-352
42,-2284,4570,134
43,-806,3468,-1300
44,-1336,3494,-864
46,-2018,4742,-620
47,-1116,2696,-536
48,-1126,4118,-1574
50,-1230,3694,-1032
51,-1564,3926,-956
52,-1888,4558,-928
54,-476,2386,-1600
55,-1870,4214,-1250
57,-1646,4186,-1592
58,-724,3508,-2010
59,-1082,3886,-1618
61,-752,2836,-1264
62,-1298,3990,-1322
63,-950,3986,-1744
65,-180,2886,-1716
66,-2024,4098,-1224
68,-1690,3914,-1308
69,-500,3578,-1354
70,-1348,3984,-1188
72,-1180,3084,-886
73,-950,3654,-926
74,-1126,4006,-710
76,-1098,2858,-622
77,-1648,3594,-654
79,-1106,3892,-742
80,-812,3098,-686
81,-2394,4306,-16
83,-1720,2084,-964
84,-236,2518,-1058
85,-1880,4626,-550
87,-496,2546,-84
88,-1030,3658,-1264
90,-1254,2846,-1098
91,-606,2998,-1094
92,-2284,4686,-1476
94,-6,2044,-1704
95,-944,3614,-1378
96,-1932,4526,-1538
98,-560,3072,-1708
99,-834,3966,-1454
101,-488,2472,-1614
102,-972,2962,-1420
103,-1342,3900,-1592
105,4,2490,-1626
106,-1210,3118,-1090
107,-2320,3710,-1268
109,-146,2864,-1236
110,-1084,3868,-1342
112,-1128,2794,-1028
113,-630,2880,-892
114,-1014,3782,-722
116,-920,2766,-726
117,-1326,3066,-576
118,-1210,3834,-740
120,-490,2804,-730
121,-1390,4824,-86
123,-1244,3920,-422
124,884,1688,-870
125,-992,4718,-702
127,-1228,3308,-288
128,-390,2668,-1376
129,-1154,3828,-1486
131,-390,2302,-1188
132,-1240,4880,-658
133,-630,2854,-1594
135,-30,2208,-1446
136,-1650,4262,-1418
138,-800,3104,-1480
139,-482,4130,-1578
140,-892,3188,-1666
142,-524,2390,-1230
143,-1306,4322,-1786
144,-590,3288,-1630
146,-260,3690,-1390
147,-2028,4282,-1164
149,-710,3100,-1178
150,-450,4138,-1218
151,-1362,3578,-1156
153,-798,3256,-848
154,-1098,3920,-664
156,-1158,3346,-702
157,-1636,3540,-674
158,-1348,3878,-880
160,-1040,3436,-732
161,-2004,3948,-380
162,-2140,4682,-78
164,-136,1960,-1148
165,-1674,4208,-750
167,-1764,4318,-56
168,-864,3300,-952
169,-1400,4428,-1484
171,-882,2594,-1190
172,-2142,4716,-642
173,-1710,4166,-1674
175,-608,3086,-1502
176,-1680,4462,-1326
178,-1280,3170,-1574
179,-834,3772,-1784
180,-1034,3794,-1620
182,-828,2882,-1292
183,-1526,4156,-1356
184,-992,2698,-1614
186,-904,2900,-1560
187,-2096,4266,-1204
189,-282,2842,-1232
190,-1022,3788,-1200
191,-1424,3000,-1014
193,-620,2828,-844
194,-1134,3794,-794
196,-958,2926,-746
197,-1250,3120,-622
198,-1506,3762,-786
200,-614,3016,-678
201,-1176,3248,-18
202,-2256,3904,-334
204,546,1856,-1158
205,-850,2988,-854
207,-1228,3414,-392
208,-536,2718,-1284
209,-1240,3818,-1448
211,-362,2474,-1244
212,-1228,4732,-832
214,-946,2948,-1706
215,-162,2428,-1508
216,-1466,4080,-1512
218,-984,3296,-1498
219,-626,3812,-1670
221,-754,3168,-1644
222,-634,2722,-1336
223,-1288,4158,-1586
225,-640,3360,-1676
226,-398,3822,-1414
227,-1944,4106,-1106
229,-792,3016,-1112
230,-1182,4046,-1146
232,-1348,3530,-1134
233,-710,3348,-938
234,-1112,3842,-754
236,-1034,3322,-662
237,-1682,3568,-576
238,-1334,3832,-830
240,-938,3078,-790
241,-1980,4008,-410
243,-1906,4376,-700
244,-14,2152,-1062
245,-1512,3996,-836
247,-1462,4106,-170
248,-1064,3484,-902
250,-1356,4186,-1270
251,-456,2880,-1156
252,-2002,4570,-728
254,-1526,2442,-1686
255,-708,3310,-1526
256,-1402,4228,-1394
258,-1318,3260,-1644
259,-936,3704,-1736
261,-972,3674,-1724
262,-924,2924,-1458
263,-1464,3904,-1542
265,-1116,2866,-1556
266,-906,2914,-1670
267,-1958,4184,-1228
269,-262,2918,-1170
270,-948,3594,-1254
271,-1374,3988,-994
273,-662,2864,-826
274,-1090,3670,-824
