timestamp,accX,accY,accZ
0,-978,3368,-1664
2,-1170,3570,-1316
3,-736,3266,-1410
4,-1198,3298,-1610
6,-932,3368,-1552
7,-646,3586,-1716
9,-756,3326,-1576
10,-1224,3162,-1214
11,-1378,3580,-1348
13,-704,3424,-1604
14,-696,3386,-1516
15,-1280,3598,-986
17,-1262,3444,-874
18,-962,3346,-920
20,-1036,3456,-918
21,-902,3268,-888
22,-774,3278,-518
24,-1134,3324,-610
25,-1344,3204,-458
26,-1352,4164,-784
28,-550,3462,-968
29,-606,2882,-486
30,-1406,3762,-468
32,-972,3376,-464
33,-652,3366,-1386
35,-1002,3014,-1264
36,-1290,3234,-1036
37,-1730,3988,-1100
39,-706,3128,-1332
40,-924,3152,-1598
41,-1112,3758,-1444
43,-554,3474,-1316
44,-950,3168,-1478
46,-1382,3188,-1416
47,-800,3506,-1826
48,-740,3564,-1694
50,-1244,3190,-1286
51,-1444,3678,-1042
52,-748,3652,-1502
54,-548,3364,-1600
55,-928,3574,-990
57,-1278,3438,-908
58,-1096,3390,-916
59,-1270,3502,-896
61,-1096,3306,-1042
62,-956,3518,-664
63,-948,3450,-698
65,-1256,3132,-554
66,-1622,4082,-514
68,-878,3918,-1042
69,-244,3038,-834
70,-1896,3682,-386
72,-1560,3524,-316
73,-862,3554,-1244
74,-766,3442,-1486
76,-966,2912,-978
77,-1638,4172,-778
78,-1036,3666,-1172
80,-620,3454,-1656
81,-1326,3856,-1540
83,-814,3544,-1458
84,-1130,3410,-1282
85,-1314,3138,-1408
87,-1238,3546,-1806
88,-532,3786,-1886
90,-744,3464,-1252
91,-1260,3434,-892
92,-1300,3704,-1114
94,-578,3454,-1526
95,-1290,3688,-1250
96,-1550,3480,-962
98,-1210,3390,-824
99,-1116,3596,-766
100,-1148,3384,-830
102,-872,3434,-886
103,-900,3564,-760
105,-946,3156,-398
106,-1574,3556,-444
107,-1554,4150,-1034
109,-146,2916,-1360
110,-1060,3206,-654
112,-1942,3368,-312
113,-768,3304,-848
114,-466,3710,-1492
116,-882,2840,-1302
117,-1768,3704,-850
118,-1580,4268,-1216
120,-754,3070,-1484
121,-1386,3576,-1614
123,-1258,3456,-1452
124,-708,3520,-1412
125,-1256,3342,-1278
127,-1082,3188,-1374
128,-574,3606,-1762
129,-426,3434,-1450
131,-1390,3228,-1176
132,-1856,3534,-1294
134,-464,3440,-1488
135,-702,3596,-1664
136,-1468,3314,-964
138,-1050,3084,-786
139,-984,3414,-962
141,-1164,3304,-716
142,-998,3234,-868
143,-984,3544,-850
145,-1072,3300,-490
146,-1384,3218,-400
147,-1348,4118,-730
149,-222,3296,-1322
150,-312,3490,-638
151,-1942,3592,-332
153,-1236,3172,-1008
154,-656,3824,-1628
156,-690,3044,-1428
157,-1188,4018,-818
158,-1364,3990,-1042
160,-532,3104,-1554
161,-998,3680,-1790
163,-1062,3608,-1440
164,-522,3460,-1438
165,-1332,3302,-1496
167,-1360,2932,-1272
168,-962,3648,-1874
169,-520,3704,-1864
171,-996,3462,-978
172,-1564,3366,-996
173,-976,3410,-1378
175,-492,3828,-1232
176,-1320,3672,-1150
178,-1328,3236,-968
179,-1016,3402,-828
180,-1128,3612,-816
182,-1268,3206,-890
183,-988,3500,-898
185,-794,3576,-432
186,-1046,3314,-258
187,-1986,3982,-378
189,-1098,3860,-1476
190,-452,3094,-910
191,-1700,3734,-616
193,-1794,3150,-588
194,-634,3640,-1178
195,-664,3616,-1538
197,-1462,3278,-1142
198,-1864,4278,-918
200,-952,3060,-1420
201,-1176,3334,-1616
202,-1552,3702,-1612
204,-572,3486,-1562
205,-944,3626,-1490
207,-1410,2948,-1256
208,-968,3306,-1450
209,-500,3730,-1708
211,-1012,3450,-1464
212,-1634,3262,-966
213,-1394,3330,-1260
215,-676,3660,-1426
216,-1200,3804,-1152
217,-1446,3260,-842
219,-706,3012,-964
220,-898,3388,-582
222,-1256,3306,-620
223,-1078,3242,-776
224,-824,3502,-814
226,-1068,3304,-552
227,-1740,3662,-166
228,-1906,3272,-1086
230,-70,2816,-1334
231,-932,3522,-562
233,-1584,3302,-380
234,-876,3166,-1310
235,-838,3366,-1360
237,-1162,3120,-1302
238,-1500,4000,-1056
239,-534,3258,-1354
241,-812,3060,-1472
242,-1404,3642,-1468
244,-684,3410,-1644
245,-586,3590,-1532
246,-1158,3114,-1318
248,-1110,2850,-1308
249,-822,3924,-1624
251,-572,3672,-1508
252,-1128,3386,-1200
253,-1384,3288,-1226
255,-918,3546,-1250
256,-920,3788,-1106
257,-1240,3384,-1118
259,-1020,3114,-990
260,-1122,3622,-698
262,-1258,3578,-456
263,-1226,3326,-862
264,-856,3566,-1062
266,-702,3492,-464
267,-1884,3818,-258
268,-1738,3820,-402
270,-578,2982,-1038
271,-1074,3590,-878
273,-1522,3566,-558
274,-1406,3450,-844
