timestamp,accX,accY,accZ
0,-852,2872,-610
2,-1726,3526,-572
3,-1504,3410,-732
4,-570,3022,-850
6,-1828,3916,46
7,-504,2772,-688
8,194,1956,-1172
10,-1400,3978,-748
11,-720,2780,-78
13,-1032,3298,-798
14,-1354,3030,-1334
15,-392,2802,-1154
17,-2006,4560,-1364
18,-366,2318,-1656
19,-398,3026,-1680
21,-1586,3682,-1570
22,-784,3172,-1552
24,-636,3690,-1744
25,-584,2760,-1722
26,-1124,3104,-1352
28,-1526,3978,-1720
29,-348,2932,-1660
30,-910,3210,-1672
32,-1878,3576,-1090
33,-602,3076,-1074
35,-942,3698,-1214
36,-1126,3130,-920
37,-896,3056,-908
39,-1114,3628,-738
40,-976,3132,-618
41,-1360,3252,-610
43,-1114,3682,-702
44,-564,3104,-728
46,-1112,4506,-16
47,-1432,3788,-238
48,258,1950,-1006
50,-1632,4572,-820
51,-1170,3450,-450
52,-514,4014,-1338
54,-1116,3710,-1426
55,-468,2594,-1170
57,-1284,4504,-890
58,-860,2916,-1632
59,-124,2546,-1506
61,-1480,4046,-1484
62,-1104,3392,-1466
63,-632,3702,-1730
65,-796,3312,-1678
66,-674,2804,-1314
67,-1364,4110,-1550
69,-692,3452,-1668
70,-414,3658,-1632
72,-1902,4182,-1154
73,-900,3286,-1252
74,-620,3778,-1256
76,-1486,3586,-1116
77,-964,2982,-870
78,-1012,3784,-662
80,-1018,3384,-848
81,-1090,3448,-446
83,-1376,3780,-656
84,-962,3306,-964
85,-1852,4020,-400
87,-1776,4402,-150
88,-474,2766,-964
89,-1590,3956,-800
91,-1386,4030,-354
92,-702,3452,-952
93,-1248,3916,-1352
95,-846,2896,-1042
96,-1950,4496,-758
98,-1366,3698,-1316
99,-394,3390,-1690
100,-1474,4254,-1518
102,-1204,3756,-1526
103,-822,3470,-1752
105,-920,3468,-1724
106,-670,3346,-1366
107,-1356,4002,-1544
109,-888,3522,-1686
110,-1046,3330,-1588
111,-1854,4154,-1268
113,-1274,2930,-1390
114,-860,3372,-1346
115,-1354,3718,-770
117,-1326,3216,-798
118,-1030,3486,-904
120,-1026,3518,-688
121,-1284,3340,-440
122,-1574,3716,-408
124,-1116,2850,-664
125,-1288,3550,-574
126,-2058,4660,-624
128,100,2030,-1000
129,-1222,3388,-734
131,-1790,3134,-426
132,-656,2974,-600
133,-1362,4136,-1400
135,-1066,2382,-1184
136,-1602,4040,-808
137,-1896,4472,-1688
139,-366,2648,-1600
140,-1484,4190,-1524
142,-1404,3224,-1456
143,-486,3206,-1774
144,-1240,3592,-1652
146,-760,2984,-1370
147,-998,3636,-1818
149,-828,3242,-1610
150,-826,3074,-1450
151,-1566,3892,-1276
153,-648,3144,-1508
154,-586,3076,-1366
155,-1250,3616,-920
157,-1088,3298,-816
158,-910,3376,-852
160,-1096,3370,-850
161,-1120,3178,-704
162,-1424,3654,-582
164,-974,3052,-658
165,-924,3180,-276
166,-1130,3914,-592
168,-30,2244,-960
169,-938,4404,-536
171,-1168,3386,-490
172,-528,2838,-1116
173,-1040,3800,-1410
175,-678,2720,-1034
176,-750,4498,-654
177,-940,3184,-1422
179,-460,2352,-1710
180,-1212,4460,-1680
182,-820,3488,-1414
183,-468,2996,-1720
184,-1164,3508,-1452
186,-606,2894,-1608
187,-800,3946,-1836
188,-766,3350,-1862
190,-808,2952,-1426
191,-1918,4170,-1240
193,-888,3312,-1448
194,-588,3590,-1274
195,-1334,3660,-1206
197,-1110,3242,-850
198,-1152,3640,-854
199,-1196,3498,-806
201,-882,3302,-522
202,-1470,3838,-550
204,-1186,3426,-600
205,-836,3844,-376
206,-1856,4696,-296
208,-314,2844,-872
209,-1898,4244,-530
210,-1776,4312,-508
212,-638,3252,-938
213,-1482,4316,-1322
215,-848,3130,-1170
216,-1722,4302,-780
217,-1610,4092,-1080
219,-504,3042,-1512
220,-1778,4516,-1388
221,-1014,3882,-1602
223,-766,3478,-1720
224,-1400,3712,-1474
226,-776,2900,-1554
227,-956,3682,-1776
228,-1152,3914,-1622
230,-556,2990,-1476
231,-1886,4132,-1388
232,-1552,2938,-1492
234,-858,3394,-1158
235,-1452,3872,-1328
237,-1312,3052,-734
238,-916,3562,-828
239,-1318,3810,-876
241,-902,2890,-796
242,-1274,3652,-570
243,-1436,3016,-582
245,-1000,2858,-684
246,-2228,4518,-736
248,266,2076,-1076
249,-816,2982,-764
250,-2140,3426,-454
252,-332,2554,-396
253,-1052,3954,-1258
254,-660,2596,-1048
256,-736,3176,-1180
257,-2138,3318,-1356
259,-306,2046,-1726
260,-1406,3856,-1614
261,-1740,3436,-1590
263,-440,3100,-1692
264,-1104,3688,-1462
265,-580,2638,-1448
267,-784,3458,-1492
268,-1144,3374,-1850
270,-610,2668,-1556
271,-1544,3628,-1182
272,-950,3390,-1292
274,-408,2986,-1510
