timestamp,accX,accY,accZ
0,-1404,3544,-1366
2,-1092,3100,-1630
3,-824,3458,-1468
5,-1192,3490,-1346
6,-976,3322,-1348
7,-1064,3364,-1160
9,-1166,3654,-1032
10,-1280,3850,-1070
11,-968,3710,-1034
13,-944,3048,-810
14,-1354,3396,-390
16,-1376,3510,-476
17,-788,3460,-970
18,-920,3476,-826
20,-1402,3540,-488
21,-1456,3650,-442
22,-1162,3374,-992
24,-764,3192,-934
25,-1020,3376,-906
27,-1094,3394,-942
28,-1114,3360,-1004
29,-1370,3592,-1324
31,-1040,3546,-1434
32,-862,3568,-1642
33,-1024,3498,-1220
35,-1236,3342,-1260
36,-1054,3280,-1830
38,-790,3554,-1684
39,-918,3686,-1608
40,-1238,3420,-1208
42,-808,3068,-1442
43,-710,3214,-1246
44,-1074,3672,-1414
46,-1030,3382,-1228
47,-934,3370,-1054
49,-1310,3508,-1122
50,-1494,3762,-1070
51,-890,3474,-1034
53,-694,3090,-1054
54,-1018,3392,-276
55,-1294,3592,-500
57,-1040,3456,-584
58,-974,3484,-930
60,-1320,3748,-628
61,-1382,3450,-518
62,-1084,3510,-750
64,-960,3414,-890
65,-838,3302,-956
66,-1112,3532,-1010
68,-1152,3448,-1092
69,-1210,3508,-1072
70,-1192,3674,-1322
72,-922,3458,-1632
73,-1046,3648,-1448
75,-1174,3472,-1406
76,-1116,3220,-1524
77,-852,3504,-1838
79,-824,3590,-1554
80,-1246,3606,-1406
82,-1076,3308,-1440
83,-1046,3478,-1326
84,-1166,3736,-1374
86,-1052,3242,-1358
87,-1076,3418,-1030
88,-1278,3524,-842
90,-1468,3678,-984
91,-1014,3528,-960
93,-830,3370,-1048
94,-1096,3234,-632
95,-1242,3376,-464
97,-1188,3408,-656
98,-766,3274,-992
99,-1170,3648,-664
101,-1212,3492,-774
102,-1104,3304,-660
104,-1262,3456,-848
105,-790,3226,-1008
106,-786,3328,-972
108,-1152,3394,-1070
109,-1274,3322,-888
110,-1274,3650,-1338
112,-852,3474,-1728
113,-886,3470,-1510
114,-1118,3332,-1340
116,-1036,3156,-1300
117,-1040,3432,-1626
119,-800,3452,-1572
120,-1100,3668,-1544
121,-1204,3124,-1418
123,-824,2988,-1400
124,-1244,3592,-1392
126,-848,3350,-1332
127,-750,3370,-1390
128,-1154,3442,-1084
130,-1494,3646,-848
131,-1146,3686,-878
132,-828,3220,-1096
134,-866,3188,-956
135,-1074,3424,-490
136,-1168,3456,-444
138,-916,3284,-930
139,-1258,3890,-772
141,-1116,3638,-832
142,-1044,3468,-740
143,-1386,3582,-600
145,-976,3384,-824
146,-632,3446,-1158
148,-1018,3276,-1210
149,-1182,3226,-866
150,-1412,3830,-1138
152,-1024,3526,-1378
153,-830,3678,-1756
154,-1128,3688,-1274
156,-850,3262,-1388
157,-1134,3406,-1742
159,-920,3380,-1564
160,-760,3396,-1592
161,-1208,3758,-1586
163,-708,2894,-1204
164,-950,3668,-1168
165,-1100,3602,-1342
167,-646,3326,-1322
168,-1292,3548,-1104
170,-1468,3554,-974
171,-1278,3550,-698
172,-864,3340,-1130
174,-992,3286,-760
175,-1022,3370,-632
176,-1182,3502,-434
178,-1200,3204,-678
179,-1314,3814,-768
181,-1162,3888,-906
182,-1074,3350,-640
183,-1516,3634,-682
185,-1282,3258,-916
186,-650,3350,-1076
187,-964,3408,-1270
189,-988,3356,-984
190,-1406,3820,-1140
191,-1244,3722,-1568
193,-990,3442,-1562
194,-1144,3786,-1566
196,-886,3126,-1344
197,-1168,3366,-1406
198,-1078,3380,-1514
200,-806,3532,-1706
201,-1244,3920,-1690
203,-1026,2964,-1404
204,-1330,3506,-992
205,-1256,3646,-1288
207,-616,3290,-1462
208,-1066,3556,-1110
210,-1364,3532,-1000
211,-1128,3468,-762
212,-1152,3460,-942
214,-1006,3374,-940
215,-892,3264,-646
216,-880,3354,-476
218,-1062,3164,-742
219,-1394,3568,-652
220,-916,3620,-882
222,-738,3206,-868
223,-1238,3652,-456
225,-1074,3362,-708
226,-834,3270,-866
227,-924,3224,-1294
229,-986,3094,-1212
230,-1294,3556,-990
231,-1146,3608,-1272
233,-912,3192,-1614
234,-1138,3792,-1448
236,-648,3308,-1520
237,-920,3154,-1502
238,-1168,3378,-1338
240,-700,3190,-1494
241,-872,3928,-1618
242,-822,3192,-1526
244,-1010,3118,-1182
245,-1378,3568,-1266
246,-628,3184,-1394
248,-752,3382,-1084
249,-1356,3580,-1114
251,-1094,3380,-1060
252,-1208,3420,-926
253,-1080,3276,-884
255,-902,3320,-726
256,-854,3488,-572
257,-1024,3188,-582
259,-1210,3196,-632
260,-1286,3916,-740
261,-686,3372,-968
263,-772,3690,-808
264,-1410,3644,-498
266,-886,3184,-942
267,-1056,3542,-1198
268,-808,3188,-1392
270,-948,3810,-1186
271,-1412,3842,-1116
272,-988,3236,-1538
274,-968,3832,-1638
