timestamp,accX,accY,accZ
0,-1178,2960,-3146
2,-848,1966,-2242
3,-1452,4626,-2004
5,-1000,3920,-1284
6,-906,2856,-790
7,-1862,2760,38
9,-1590,3140,1188
10,-2010,3752,1118
11,-2180,3054,1192
13,-666,3130,1890
14,-2650,4612,2104
16,-2570,3512,2394
17,-2568,4104,1332
18,-778,3330,390
20,-280,3150,1070
21,-2466,3986,1034
22,-1874,4388,-116
24,610,2980,-1642
25,-1174,4692,-1052
27,-852,2678,-1534
28,-960,4182,-1700
29,-638,4672,-3314
31,676,2460,-4228
32,-1674,5500,-3490
34,-674,2650,-3738
35,-202,2660,-4020
36,-1592,3852,-3776
38,246,3592,-3846
39,-680,4576,-3522
40,-1086,2410,-2856
42,-814,2276,-2186
43,-1430,4056,-1238
45,-736,3222,-1532
46,-1390,2942,-844
47,-1598,2902,252
49,-1726,3486,876
50,-1934,3634,1630
52,-1614,2344,940
53,-954,1800,1074
54,-3080,4446,1916
56,-2210,3158,2534
57,-2134,3544,818
58,-366,2604,646
60,-582,2542,1558
61,-2168,4506,192
63,-970,3614,430
64,1440,2056,-1218
65,-452,4520,-1056
67,-92,2650,-1526
68,-326,3156,-2658
69,-142,3676,-2942
71,1088,1852,-4118
72,-810,5730,-3552
73,100,3584,-3762
75,390,2544,-4418
76,-804,3968,-4192
78,-38,3420,-3862
79,-6,3940,-3506
80,-1126,3124,-3144
82,-580,2056,-2528
83,-1004,4600,-2020
85,-1160,4094,-1216
86,-916,2914,-674
87,-1872,2932,-84
89,-1724,3258,602
90,-1696,3714,1254
91,-2300,3372,1220
93,-1084,1684,1566
94,-2820,4674,2220
95,-2478,3994,2046
97,-1862,3890,1382
98,-1124,3488,202
100,-334,2436,1252
101,-2570,3958,686
102,-1976,4480,482
104,674,2802,-1490
105,-1142,4660,-960
107,-1156,3684,-1616
108,-750,4148,-1588
109,-626,4870,-2816
111,510,2374,-4414
112,-1590,5284,-3420
113,-852,5008,-3554
115,378,2858,-3870
116,-1432,3848,-4558
118,-726,3378,-3786
119,-530,4486,-3372
120,-1220,4176,-3402
122,-936,2166,-2362
123,-1306,4020,-2390
124,-1458,4398,-1494
126,-1308,2972,-886
127,-1836,2884,-190
129,-1866,3424,802
130,-1740,3708,976
131,-2038,3686,816
133,-1200,1744,1126
134,-2920,3614,2294
135,-2726,3370,2274
137,-2100,3314,2036
138,-1778,3776,430
140,-156,2486,1654
141,-2314,3638,1300
142,-2134,4484,154
144,1522,2240,-1136
145,-116,3792,-1166
146,-1390,2798,-1588
148,-130,2774,-1588
149,-1036,4810,-3000
151,1234,2004,-3872
152,-442,3428,-3622
153,-1744,4062,-3582
155,630,2514,-3422
156,-774,3386,-4524
158,-218,3254,-3980
159,192,3676,-3118
160,-1100,3508,-3044
162,-800,1904,-2644
163,-810,2568,-2102
164,-1354,4508,-1200
166,-824,3116,-1298
167,-1652,2798,38
168,-1898,3168,604
170,-1568,3548,1050
171,-1822,3406,1220
173,-1046,1892,848
174,-2044,2434,2152
175,-2674,4106,1902
177,-1602,3190,2348
178,-2728,3410,202
179,-602,2430,1006
181,-726,2982,1488
182,-1728,4422,384
184,-306,3152,338
185,1336,4294,-1082
186,-1082,4028,-1502
188,220,2412,-1488
189,-908,4948,-2750
190,334,2846,-3104
192,1366,1982,-3682
193,-1172,5388,-3670
194,200,2876,-3556
196,18,3920,-4552
197,-892,3436,-3862
199,248,3132,-3436
200,-1190,4550,-3402
201,-910,2530,-2368
203,-722,3764,-2238
204,-1584,4426,-1510
206,-816,3074,-972
207,-1678,2918,-402
208,-2042,2972,646
210,-1766,3396,986
211,-1974,3904,1418
212,-2006,3064,874
214,-2616,2938,2014
215,-2490,4502,1878
217,-2382,3310,2356
218,-2186,3900,978
219,-818,3036,1312
221,-1742,3364,1270
222,-2266,4566,342
223,-1926,2206,-1370
225,0,3810,-992
226,-948,4698,-1730
228,-256,2732,-1448
229,-1314,4784,-2190
230,-274,2080,-3934
232,22,2946,-4154
233,-1742,5482,-3814
234,-510,2928,-3000
236,-592,3508,-4216
237,-1334,3780,-4154
239,336,3578,-3582
240,-1050,5016,-3262
241,-1192,2090,-2724
243,-830,2350,-2360
244,-1574,4406,-1416
246,-882,3308,-1434
247,-1408,2950,-862
248,-2088,3172,642
250,-1746,3438,952
251,-1608,3408,1322
252,-1616,2740,826
254,-1356,2034,1446
255,-2832,3878,1576
257,-2300,3592,2362
258,-2276,4242,628
259,-310,2298,446
261,-774,2750,1272
262,-2202,4356,874
263,-1044,3866,546
265,1458,2450,-1216
266,-384,4154,-1670
267,-126,2918,-1532
269,-542,3402,-2622
270,-96,3430,-3056
272,1396,1914,-4440
273,-824,5530,-3836
274,-184,3460,-3538
