timestamp,accX,accY,accZ
0,-626,1960,962
2,-2436,3714,1784
3,-3080,4154,2686
4,-1360,3554,1784
6,-1050,3166,1862
7,-3172,4494,1884
9,-828,3206,1564
10,-2104,3976,650
11,-2352,3552,474
13,-372,4358,-156
14,-634,4338,-664
15,-262,2994,-1626
17,-378,3496,-1766
18,-648,4724,-2400
20,372,2958,-4506
21,-176,3512,-3824
22,-978,4468,-3604
24,-778,3152,-4608
25,-420,3604,-4630
26,-616,3924,-4324
28,-198,3604,-3712
29,-344,3320,-3952
30,-748,3232,-2790
32,-894,3024,-2258
33,-1046,3464,-1934
35,-1094,3410,-1232
36,-1408,2828,-534
37,-2154,3028,878
39,-1782,3734,866
40,-1032,2404,1104
41,-1376,3442,2014
43,-2994,4138,2066
44,-2060,3888,2220
45,-1456,1950,1500
47,-3828,4180,2334
48,-1654,2796,1842
50,-622,3176,752
51,-2830,3736,954
52,-1150,3134,568
54,402,3784,-664
55,-832,4118,-1050
56,112,2500,-2178
58,-502,3810,-1814
59,-452,3480,-3650
61,538,2906,-3872
62,-870,3998,-3740
63,-66,3352,-4632
65,312,3446,-4154
66,-662,4200,-4228
67,-520,3412,-4088
69,18,3242,-3684
70,-318,3618,-2810
71,-1098,3242,-2486
73,-1138,3138,-2176
74,-1238,3770,-1404
76,-1046,2914,-1106
77,-1830,3490,676
78,-2176,3860,802
80,-1402,3172,824
81,-2570,2874,1872
83,-2792,3704,1586
84,-2844,3450,2382
85,-1090,2016,1660
87,-2526,2892,2004
88,-1036,3560,1800
89,-196,2722,1436
91,-1858,3696,474
92,-838,2924,146
93,-142,4192,4
95,-64,3326,-1654
96,-976,3042,-1720
98,22,2874,-2540
99,-48,4310,-3354
100,208,3448,-4086
102,130,4114,-3908
103,-802,4068,-4082
104,316,3124,-4292
106,-204,4188,-4254
107,-822,3828,-4338
109,-58,3278,-4070
110,-678,3640,-3186
111,-1346,3488,-2586
113,-972,3244,-2160
114,-988,4142,-2044
115,-1056,3838,-670
117,-2160,2680,160
118,-2804,3786,924
119,-1972,2566,1068
121,-1028,2138,1034
122,-3088,3284,1820
124,-2138,4012,2876
125,-1168,3204,2354
126,-1364,1972,1864
128,-1870,4208,1712
129,-1074,3442,1780
130,-148,3288,1022
132,-1264,3126,0
133,-1144,3688,-404
135,-336,3768,-1442
136,-934,3556,-1476
137,-114,3398,-1626
139,-230,4522,-3052
140,-170,3936,-3548
141,742,3802,-3926
143,-1154,4628,-3688
144,-168,3568,-4398
145,-620,3934,-4380
147,-886,4196,-4130
148,-720,3076,-3928
150,-212,3434,-3886
151,-1044,3698,-2430
152,-1182,3046,-2176
154,-1274,4082,-1794
155,-1284,4020,-1134
156,-1400,2708,-406
158,-2334,3164,582
159,-2406,3662,1054
160,-910,2508,996
162,-1444,2220,1760
163,-3084,4350,2240
165,-1870,4110,2582
166,-714,2846,1900
167,-2946,3734,1392
169,-1644,3658,1890
170,-1500,3440,1082
172,-1980,3010,-150
173,-1422,3862,32
174,98,3476,-768
176,-492,4064,-1610
177,220,2450,-1970
178,-660,3846,-2102
180,-186,3498,-3752
181,476,2750,-4164
183,-1292,4540,-3618
184,-1078,2774,-4568
185,-210,3342,-4138
187,-818,4244,-4088
188,74,3344,-3766
189,-128,3284,-3760
191,-718,3298,-2980
192,-874,2964,-2106
193,-980,3442,-1886
195,-1486,4060,-1520
196,-954,2768,-790
198,-1562,3622,806
199,-2272,3796,876
200,-1288,2826,870
202,-518,3200,1800
203,-2816,4106,1788
204,-2742,4126,2212
206,-1674,2204,2156
207,-2944,3318,1412
209,-2332,3708,1918
210,-318,3336,1344
211,-2094,3482,-316
213,-734,3314,152
214,-184,4034,52
215,-48,3686,-1196
217,-366,2954,-2226
218,-262,3224,-2570
220,-154,3982,-3418
221,188,3144,-3694
222,-526,3566,-3542
224,-304,3802,-4290
225,570,2872,-4470
226,-764,4244,-4174
228,-694,3882,-3800
229,142,3272,-3842
230,-1050,3484,-3294
232,-1182,3150,-2630
233,-1090,3964,-1788
235,-1514,3916,-1534
236,-1150,3128,-356
237,-2048,3352,452
239,-2274,3772,866
240,-1850,2142,1006
241,-1438,2162,1448
243,-2984,3674,2182
244,-2910,3948,2406
246,-790,2146,1636
247,-2330,3754,1514
248,-1340,3658,1994
250,-984,3654,1910
251,-1308,3134,-194
253,-970,3202,490
254,32,3474,-140
255,-930,4070,-1012
257,-654,3176,-1554
258,242,3950,-3018
259,-170,4258,-2858
261,24,3424,-3264
262,-1150,4204,-3824
264,-690,3902,-3960
265,302,3542,-4510
266,-810,4222,-4166
268,-1144,4068,-3580
269,-470,3176,-3760
270,-368,3198,-3354
272,-1186,3416,-2486
273,-1032,3338,-1950
