timestamp,accX,accY,accZ
0,-3098,3860,2124
2,-3700,3156,2296
3,-1510,2270,1862
5,-2134,3664,1584
6,-1016,3598,2204
7,-1312,3262,1038
9,-1798,3342,316
10,332,3434,-622
11,322,3548,-1312
13,-1146,4072,-1562
14,168,2674,-1508
16,88,4562,-2842
17,-112,3736,-3980
18,804,2832,-3832
20,-1064,4762,-3592
21,-628,3158,-4046
22,144,4140,-4372
24,-832,4790,-4308
25,-412,3910,-3876
26,-244,3330,-3442
28,-1296,3504,-2726
29,-916,3150,-2272
31,-876,3624,-2132
32,-1458,3556,-1536
33,-1206,3048,140
35,-1934,3236,670
36,-2360,3734,1014
38,-1268,2502,872
39,-1000,1784,1218
40,-3236,4540,2208
42,-2714,4012,3086
43,-780,2464,1536
44,-2328,3738,896
46,-1398,3526,1912
47,-1196,3288,590
49,-2164,3816,692
50,50,2806,-1044
51,-526,4536,-194
53,-1206,4298,-1174
54,-250,2584,-1768
55,-264,4036,-2976
57,-412,4528,-4200
58,304,3436,-3470
60,-618,3960,-4002
61,-886,3062,-4254
62,-234,3678,-4606
64,-864,4706,-4606
65,-250,3194,-4060
66,-616,2990,-3690
68,-1124,3756,-2366
69,-530,3178,-2396
71,-836,3110,-2136
72,-752,3232,-904
73,-1206,2776,-478
75,-2116,3074,860
76,-2182,3874,1110
77,-1752,3276,860
79,-652,2494,1958
80,-2662,3666,1852
82,-3614,4698,2380
83,-1400,1976,1484
84,-2158,3470,946
86,-2110,3474,1904
87,-994,3072,1176
89,-2422,3592,122
90,282,3380,-310
91,304,4166,-482
93,-642,3542,-1580
94,-184,2828,-1336
95,62,3164,-2952
97,-430,4036,-4128
98,834,3208,-4168
100,-50,3784,-3706
101,-892,3308,-4308
102,-6,2704,-4528
104,-772,4866,-4266
105,-366,3894,-4410
106,-88,2856,-3776
108,-1470,3666,-2422
109,-1422,3486,-2096
110,-810,3302,-2328
112,-1018,3442,-1810
113,-1190,3254,252
115,-2054,3034,788
116,-2504,3418,1008
117,-2006,2716,836
119,-926,2022,1148
120,-2774,3076,2338
122,-2722,4072,3264
123,-904,2248,2078
124,-1772,4262,1036
126,-1288,3786,1640
127,-762,2680,606
129,-2802,4384,900
130,-218,2808,-122
131,674,4534,-734
133,-960,4556,-1494
134,-158,2788,-1724
135,146,4190,-2708
137,-438,4430,-3214
138,824,3638,-3754
140,-768,4302,-4216
141,-848,3456,-3872
142,-82,3848,-4146
144,-908,4672,-4180
145,-334,3762,-4186
146,-612,3214,-3778
148,-1094,3612,-2842
149,-1468,2952,-2324
151,-1040,3024,-2428
152,-898,3924,-1010
153,-1112,2932,-352
155,-2062,2904,468
156,-2480,3750,1266
157,-1922,4018,1238
159,-510,2102,1422
160,-2668,3346,1852
162,-3818,4868,3028
163,-1426,1902,2040
164,-2026,3544,788
166,-2496,4218,1668
167,-462,2680,1658
168,-2354,3878,1032
170,-2566,2762,-794
171,244,3992,-650
173,-16,4242,-1548
174,-1028,2410,-1598
175,-366,3064,-1636
177,-762,4746,-3978
178,1050,2838,-4318
180,2,3974,-4490
181,-1208,3218,-3944
182,138,2546,-4000
184,-1080,4200,-4572
185,214,3662,-4588
186,214,3262,-4040
188,-590,3654,-2416
189,-1360,2994,-1992
191,-840,2722,-2184
192,-1184,4030,-1742
193,-1006,3158,-1148
195,-1814,3120,800
196,-2636,3342,1302
197,-2084,3846,872
199,-586,1906,818
200,-2768,2802,1930
202,-2928,4140,3458
203,-984,2550,2400
204,-2246,2584,650
206,-1450,3926,1646
207,-226,2866,1600
208,-1356,3034,908
210,-770,3016,110
211,724,2774,-678
213,108,4652,-1598
214,-36,2760,-1816
215,304,2154,-2408
217,-616,4610,-2872
218,914,2810,-4390
219,548,4906,-4316
221,-840,4190,-3872
222,144,2698,-4154
224,-1078,4206,-4308
225,-460,3688,-4596
226,256,3566,-3888
228,-1180,3892,-2996
229,-1402,3464,-2304
230,-974,3024,-2088
232,-1274,4222,-1792
233,-1382,2996,-622
235,-2000,3072,370
236,-2318,3132,1230
237,-2116,3896,1326
239,-766,2292,784
240,-2522,3378,1822
242,-3624,4782,2832
243,-1496,3718,2178
244,-2052,3192,932
246,-2750,4138,1662
247,-680,2748,1390
249,-2096,3624,614
250,-2308,3556,-574
251,516,3426,-330
253,-330,4250,-1676
254,-1134,2382,-1948
255,180,2858,-1852
257,-850,4878,-3804
258,1040,2542,-4126
260,-90,3692,-3914
261,-1142,3558,-4048
262,260,2606,-4254
264,-938,4444,-4434
265,-228,3552,-4280
267,334,3076,-3942
268,-656,3786,-2646
269,-1250,3080,-2266
271,-732,2662,-2090
272,-1406,4068,-1506
273,-1070,3238,-1152
275,-1674,3146,626
