timestamp,accX,accY,accZ
0,-698,3714,-1424
2,498,4020,-1860
3,-596,4306,-2948
5,148,3048,-4332
6,674,4104,-4556
7,-1008,5076,-3794
9,-274,3846,-4424
10,-478,3470,-4764
11,-356,4072,-4710
13,440,3634,-3944
14,-1062,3802,-3286
15,-998,2858,-2764
17,-36,2772,-2340
18,-1724,4412,-2258
20,-1900,4442,-862
21,-1626,3168,-318
22,-2246,3290,284
24,-1946,3290,1588
25,-2158,3608,1566
26,-2100,2816,1586
28,-2938,3094,2684
29,-2284,3402,2374
31,-2872,4634,3080
32,-1586,3534,1368
33,-482,2052,1630
35,-1816,3804,1036
36,-1746,4036,1484
37,-564,3866,-622
39,-414,3048,-1318
40,-660,4056,-1458
41,-184,3316,-2176
43,-776,4012,-2234
44,-236,3246,-3908
46,-140,4602,-4092
47,44,4394,-4756
48,222,3188,-4406
50,-1734,4320,-4172
51,-498,4106,-4520
53,488,3616,-4794
54,-694,3330,-4298
55,-1278,3002,-2620
57,-844,3602,-2238
58,-974,3492,-2450
59,-1024,3516,-1140
61,-1636,3850,-674
62,-1698,3424,1020
63,-1654,2694,1232
65,-2650,3580,1772
66,-1830,3796,1260
67,-1048,1908,1812
69,-3640,3528,2934
70,-3270,3868,3184
72,-1794,4478,2390
73,-852,3224,920
74,-2278,3094,1610
76,-2178,3954,1604
77,-1732,3424,-102
79,478,2720,-1138
80,-492,3530,-1384
81,184,3188,-1880
83,-56,3274,-2016
84,-1398,3808,-3716
85,898,2538,-4672
87,766,3618,-4302
88,-374,3404,-3882
89,-822,2590,-3846
91,-1560,4348,-5018
92,1498,2898,-5082
94,420,3234,-4488
95,-2064,3814,-2242
96,-306,2374,-2184
98,-148,2878,-2558
99,-1144,3636,-1730
101,-1228,3042,-606
102,-1744,3536,790
103,-1738,2424,1036
105,-1896,2632,1392
106,-1738,3438,1248
107,-334,1934,1388
109,-2864,4092,2858
110,-3110,3098,2536
111,-2136,3822,1264
113,-602,2660,324
114,-1306,2158,1918
116,-2710,3848,1342
117,-660,3794,544
118,918,2762,-664
120,66,4244,-1282
121,-528,3616,-1544
123,592,3952,-2162
124,-1196,4694,-2854
125,196,3164,-4106
127,1236,4368,-4294
128,-308,4336,-4088
129,-422,2660,-3834
131,-1118,4746,-4552
132,726,4040,-5094
134,1538,3618,-4022
135,-2550,4208,-2872
136,-1758,3308,-2274
138,-614,3426,-2938
139,-1226,3950,-2732
140,-1306,3452,-462
142,-2126,3860,562
143,-1780,3026,1192
145,-2240,3062,1224
146,-2108,3758,1376
147,-944,2072,1934
149,-4026,4090,3210
150,-3866,3942,2594
152,-2256,4432,2334
153,-1040,4092,530
154,-830,2642,2546
156,-3040,3876,1552
157,-1404,4110,178
158,1488,2436,-1628
160,-796,3954,-1200
161,-1690,2672,-1356
162,430,2608,-2178
164,-1392,5346,-3240
165,-920,1736,-4926
167,624,3266,-4638
168,-822,3434,-3680
169,30,2136,-3620
171,-1834,4328,-4276
172,-826,2674,-5372
174,952,2876,-4346
175,-2364,4918,-2250
176,-568,2180,-2188
178,-58,2830,-2796
179,-928,3848,-1846
180,-1030,2602,-826
182,-2144,3528,852
183,-1710,2650,1156
185,-1442,2612,1236
186,-2226,3402,1296
187,-452,1888,1490
189,-2824,3054,3312
190,-2942,2942,2340
191,-1910,3272,2678
193,-1874,3088,570
194,-928,2010,1734
196,-2820,3466,1784
197,-2672,3702,488
198,1096,2980,-432
200,404,3264,-1574
201,-1168,3608,-1296
202,804,2406,-1736
204,-614,5318,-3210
205,356,2956,-4138
206,1604,2164,-4510
208,-766,4676,-4040
209,32,2438,-3790
211,-1278,5002,-4788
212,626,3672,-5192
213,1834,2264,-3926
215,-994,4872,-2798
216,-1686,3168,-1874
218,-20,3210,-3244
219,-1304,3862,-2582
220,-956,3648,-178
222,-1506,3700,324
223,-2010,2810,938
224,-1482,2370,1294
226,-1978,3888,1476
227,-1330,2552,1206
229,-1084,4078,3130
230,-3304,4144,2736
231,-2116,2856,2000
233,-1868,4296,716
234,-626,2364,836
235,-1654,3884,1436
237,-2306,3932,1166
238,312,3222,-1136
239,-582,4124,-1580
241,-1718,4504,-1230
242,-10,2342,-1908
244,-1448,5618,-2010
245,-286,4414,-3816
246,1718,3312,-4580
248,-866,5528,-4050
249,-314,3206,-3634
250,-1464,4506,-4510
252,-546,4788,-5170
253,1638,2902,-4446
255,-2550,5006,-3400
256,-2372,4026,-1930
257,-194,2786,-2788
259,-968,3904,-3400
260,-1114,2788,-926
261,-2260,3820,128
263,-2480,3632,870
264,-1280,2614,1048
266,-2024,3720,946
267,-2034,1674,1488
268,-2726,2898,2758
270,-4408,4702,1954
271,-2124,3332,2566
273,-2032,5086,1532
274,-1288,1690,2124
