timestamp,accX,accY,accZ
0,-1200,3308,-2588
2,-1100,3558,-2134
3,-628,3512,-2220
4,-1288,3742,-1440
6,-1304,2976,-48
7,-2166,3350,766
9,-2396,3808,964
10,-2030,2430,856
11,-1708,2302,1490
13,-2596,3272,2228
14,-2108,3748,2994
15,-1094,2092,1930
17,-2500,3934,1140
18,-786,3298,1704
20,-910,3500,1050
21,-1880,3110,152
22,-810,2554,-2
24,288,4584,-368
25,-48,3584,-2028
26,-810,2568,-1646
28,-290,3912,-2296
29,-56,4280,-3164
31,320,3506,-4080
32,-376,4064,-4332
33,-620,4002,-3664
35,70,3382,-4282
36,-818,4166,-4330
37,-752,4072,-4206
39,-160,3206,-3986
40,-762,3092,-3060
41,-1728,3178,-1806
43,-566,3486,-2346
44,-782,3754,-1694
46,-1636,2834,-226
47,-2086,3096,502
48,-2440,3788,1126
50,-1640,3186,806
51,-754,2072,1596
52,-2514,3752,2022
54,-3440,4522,3046
55,-1090,2964,2268
57,-2508,3788,1000
58,-1984,4108,1716
59,-496,3034,1398
61,-2268,3916,426
62,-1778,3300,-424
63,36,4048,-518
65,-652,4234,-1050
66,-464,2648,-1480
68,-418,3442,-2400
69,-346,4314,-3734
70,134,3276,-4012
72,-742,4152,-4034
73,-596,4208,-4088
74,228,3006,-4544
76,-1132,4152,-4086
77,-906,3552,-4366
79,52,3196,-3932
80,-346,3202,-2672
81,-1260,3268,-2204
83,-1066,2940,-2072
84,-910,4052,-1656
86,-1038,3028,-1066
87,-1716,2678,758
88,-2488,3574,1154
90,-2034,3784,1242
91,-1650,1922,1102
92,-2756,2756,1748
94,-2676,4222,3104
95,-688,2400,2242
96,-2886,3042,2136
98,-1830,3530,1704
99,-348,3648,1766
101,-1924,3446,112
102,-1610,3122,438
103,380,4134,-820
105,104,3670,-2128
106,-714,3406,-1756
108,-390,2838,-1714
109,-28,4360,-2740
110,400,3072,-4640
112,44,3222,-4078
113,-722,4332,-3702
114,246,2698,-4372
116,-692,4232,-4134
117,-480,4186,-4436
118,198,3668,-4150
120,-238,3176,-3342
121,-1328,3210,-2550
123,-1288,3640,-1942
124,-1136,3916,-1810
125,-1066,3312,-552
127,-1902,3166,470
128,-2404,3460,1150
130,-2324,3496,1140
131,-1084,2484,1246
132,-1592,2368,2166
134,-3388,4538,2472
135,-1580,3198,2492
137,-1838,3748,1150
138,-2060,3732,1410
139,-490,3310,1582
141,-1200,3580,184
142,-2266,3708,930
143,226,3596,-548
145,-234,4100,-1198
146,-816,3720,-1798
148,240,3300,-2432
149,-472,4436,-2524
150,-110,3710,-4254
152,-614,4056,-4066
153,-748,4822,-4034
154,-282,2764,-4430
156,-942,3864,-4274
157,-1020,4274,-4248
158,22,3384,-3724
160,-480,3428,-3610
161,-1166,3042,-2368
163,-880,2722,-2324
164,-1124,3814,-1308
165,-1092,3054,-990
167,-1464,2846,-280
168,-1962,3326,986
170,-2124,3618,1384
171,-1920,3086,1136
172,-850,2876,1852
174,-2424,4288,1750
175,-3006,4316,2202
176,-2866,3046,2328
178,-1950,3568,830
179,-1722,3606,1808
180,-1284,3296,800
182,-2042,3234,-438
183,160,3846,-504
185,-26,3878,-594
186,-256,3604,-1458
187,-96,2782,-2172
189,22,3534,-2854
190,28,3598,-4168
191,4,3194,-3914
193,-316,3960,-3830
194,180,3294,-4552
196,-390,3030,-4162
197,-1116,4278,-4550
198,10,3802,-3856
200,198,3080,-3258
201,-1678,3528,-2706
203,-1266,3028,-2058
204,-740,4138,-1714
205,-1360,3494,-1488
207,-1320,2824,438
208,-2122,3438,944
209,-2276,3614,1260
211,-2062,1912,1158
212,-2172,2550,1688
214,-2710,4154,2462
215,-976,2852,2244
216,-2224,2374,2566
218,-2616,3512,1662
219,-620,3688,1796
220,-1062,3264,-6
222,-1974,3542,1008
223,188,3122,-602
225,-148,4176,-1166
226,-992,4016,-1218
227,128,2778,-2494
229,-584,4570,-2582
230,-18,3790,-3686
232,370,4048,-4102
233,-900,4430,-3900
234,80,3356,-4450
236,-1026,4080,-4310
237,-1212,4426,-4056
238,-528,3310,-3884
240,-230,3106,-3614
241,-1080,3376,-2434
243,-1374,3010,-2108
244,-872,3838,-1886
245,-1314,3820,-1252
247,-1626,2756,-318
248,-1884,3344,538
249,-2140,3724,1354
251,-1876,2822,1270
252,-972,1812,1916
254,-2530,4554,2026
255,-2792,4346,2846
256,-688,2930,2094
258,-2068,3470,880
259,-1384,3520,2032
260,-1386,3394,166
262,-1988,2496,780
263,-678,4036,274
265,318,3578,-1118
266,-1126,3916,-2086
267,-992,2630,-1864
269,-154,3830,-2388
270,-290,4482,-3700
271,346,3018,-4302
273,-858,4348,-3546
274,-532,2944,-4584
