timestamp,accX,accY,accZ
0,286,3090,-4860
2,580,4824,-4994
3,-404,4298,-4276
4,-1544,3640,-3776
6,-590,4338,-4738
7,1082,3076,-4834
9,-1426,4394,-4006
10,-2042,4330,-2672
11,-886,2418,-2574
13,-1268,3654,-2594
14,-1414,4062,-688
15,-1218,3354,-498
17,-2086,3466,312
18,-1998,2566,1708
20,-2394,3390,1828
21,-2376,2306,1192
22,-1436,2230,2482
24,-3328,3638,2904
25,-3442,4148,3168
27,-1734,4280,1856
28,-484,2916,1148
29,-2428,3206,1310
31,-2622,3584,1536
32,-928,3860,-22
33,318,3230,-1006
35,-712,3174,-1898
36,-168,3970,-1578
38,188,3750,-2074
39,-362,3446,-4088
40,812,2804,-4466
42,860,4728,-4406
43,-328,3462,-4258
45,-910,3122,-4176
46,-1272,3812,-4956
47,1230,2796,-5156
49,-360,3880,-3520
50,-1612,3612,-2644
51,-304,2428,-2496
53,-666,4034,-2396
54,-1404,3404,-1350
56,-1196,3178,140
57,-1942,3330,728
58,-1884,2646,1272
60,-1954,3810,1886
61,-2000,3366,1546
62,-528,1734,3082
64,-3268,3446,2738
65,-3784,3588,2932
66,-2208,4524,1456
68,-86,2306,942
69,-2386,2780,1784
71,-1974,3486,1984
72,-260,4116,514
73,238,3210,-1772
75,-874,3846,-1760
76,-510,3972,-1414
78,604,4030,-2198
79,-756,4272,-3622
80,280,2780,-4884
82,-166,4800,-4548
83,-260,4260,-4432
84,-440,3776,-4250
86,-864,4480,-4814
87,1052,2894,-4824
89,714,4674,-3832
90,-1782,4346,-3058
91,-838,2758,-2882
93,-1150,3548,-2728
94,-1286,4060,-1714
95,-1200,3270,-304
97,-2162,3524,388
98,-2018,3052,1404
100,-2160,3498,1840
101,-2308,3854,1742
102,-1362,2100,2300
104,-3606,3446,3414
105,-2530,3030,3094
106,-1472,4406,1810
108,-810,2728,1014
109,-1214,3232,1316
111,-2170,3328,1574
112,-1350,3468,-64
113,-194,3202,-838
115,-168,3014,-2524
116,-938,4042,-1908
117,124,3296,-1502
119,-652,3824,-2910
120,-624,3378,-4512
122,1232,3700,-5104
123,30,4610,-4530
124,-1056,2828,-4146
126,-810,3928,-4298
127,244,3394,-4984
128,8,3346,-4806
130,-1590,4110,-2544
131,-1662,3008,-2110
132,-550,2966,-2648
134,-1170,3574,-1564
135,-1096,3318,-798
137,-1862,3634,670
138,-2212,2582,1300
139,-2084,3018,1424
141,-2178,3642,1582
142,-696,1676,1358
144,-2658,2784,3288
145,-3488,3480,2856
146,-2494,4650,2984
148,-1166,2500,1002
149,-2618,3086,1250
151,-1972,3370,2008
152,-310,4088,574
153,-330,3540,-2032
155,510,3716,-1908
156,-680,4716,-1632
158,194,3298,-2218
159,-1262,4306,-3346
160,-344,3904,-5148
162,854,4210,-4710
163,-596,4514,-4564
165,-634,3158,-3804
166,-776,4692,-4510
167,618,4104,-5222
169,1184,3390,-4164
170,-2132,4614,-3056
171,-1556,3752,-2382
173,-584,3032,-2762
174,-1390,3788,-2358
176,-1350,3324,-216
177,-1874,3660,514
178,-2238,2638,1342
180,-2318,3586,1722
181,-1932,4092,1320
183,-1066,1772,1922
184,-4332,3642,3482
185,-3012,4100,3288
187,-1036,4312,1906
188,-926,2976,660
189,-1014,3278,1682
191,-2200,3534,2118
192,-1534,3432,-144
194,260,2834,-672
195,14,3094,-1680
196,-504,4338,-1636
198,574,2710,-2014
199,-780,4198,-3928
201,440,3516,-4342
202,1578,3546,-4534
203,252,4014,-4310
205,-944,2676,-4192
206,-964,3364,-5082
207,938,3714,-5188
209,432,3338,-4812
210,-1368,3976,-2748
212,-998,3030,-2342
213,-364,2652,-2726
214,-1630,3868,-1608
216,-1072,3242,-1040
217,-1412,3358,682
218,-2452,2812,1448
220,-2390,3118,1870
221,-1594,3480,1590
223,-314,1722,1196
224,-2606,3504,3388
225,-3958,3722,3488
227,-2106,4240,1200
228,-182,2720,818
230,-2570,3258,1684
231,-1772,3366,2162
232,-330,3952,426
234,-454,3428,-1710
235,-900,3744,-2110
236,-756,4448,-1668
238,348,3248,-1768
239,-1128,3944,-3500
241,-562,3644,-4150
242,1252,4260,-4864
243,-424,4664,-4168
245,-600,3022,-3862
246,-340,3872,-4584
247,566,4030,-4972
249,804,3516,-4320
250,-1774,4020,-3118
252,-1348,3550,-2130
253,-680,3244,-2458
254,-1342,3906,-2226
256,-1458,3294,-488
257,-1578,3424,398
258,-1944,2872,1414
260,-2426,3414,1924
261,-2054,4014,1726
263,-1104,1664,1374
264,-3628,3108,3092
265,-3228,3474,3278
267,-3902,3808,2080
268,-844,2834,672
269,-1272,3054,1270
271,-1820,3156,1644
272,-1776,3530,1546
274,-476,3018,-586
275,-16,2834,-2382
