timestamp,accX,accY,accZ
0,58,2498,-1732
2,-1514,4750,-2542
3,-546,4410,-4016
4,718,3228,-4638
6,-918,4844,-4630
7,-890,4282,-3530
9,-744,3562,-3980
10,-930,3810,-4360
11,-538,3222,-4318
13,-644,4436,-3490
14,-1400,4480,-2250
15,-1012,2326,-2000
17,-1274,3066,-2168
18,-906,3368,-916
19,-1530,3106,-578
21,-2426,3350,1066
22,-1456,2772,1142
24,-1976,3514,1396
25,-2668,2110,1150
26,-1666,1782,1888
28,-2984,3762,2176
29,-2022,3102,2960
31,-2506,4014,1762
32,-1558,2592,810
33,-134,2070,1014
35,-2816,3758,176
36,-666,3718,24
37,1434,2922,-1614
39,174,4370,-1404
40,206,2398,-2014
42,-610,3280,-2706
43,-838,3848,-3992
44,1480,2444,-4188
46,82,3858,-4080
47,-378,3640,-4206
48,-40,3096,-3400
50,-994,3718,-4530
51,20,3300,-4328
53,390,3522,-3194
54,-1676,3872,-2536
55,-1514,2488,-1724
57,-1142,3718,-2018
58,-962,3614,-1404
59,-1036,3150,630
61,-2530,3266,1062
62,-1780,2730,1026
64,-1488,4114,1640
65,-2050,3096,1716
66,-1078,1660,2692
68,-2652,4396,2160
69,-2296,3382,2696
71,-1940,4442,1140
72,-1412,3676,780
73,358,1774,1578
75,-2890,5232,1218
76,-1418,3538,538
78,690,3762,-1952
79,-496,5026,-1654
80,38,3142,-1768
82,-1506,4528,-2750
83,-592,4548,-3160
84,1274,3024,-4292
86,-1120,4746,-4548
87,-986,4200,-3912
88,-416,3850,-3858
90,-798,3910,-4328
91,-1036,3314,-4082
93,-316,4002,-4000
94,-1088,4508,-2336
95,-1240,2430,-1964
97,-1350,3164,-2140
98,-992,3530,-1158
100,-1450,3228,-146
101,-2612,3590,944
102,-2092,2530,856
104,-1756,3620,1314
105,-2496,4134,1420
106,-2580,2354,2326
108,-3076,4296,2380
109,-2470,2648,2802
110,-2960,4132,1802
112,-2350,4296,888
113,480,1876,976
115,-2498,4030,1018
116,-2188,4664,-100
117,1478,2310,-1332
119,-538,4748,-2216
120,-930,1614,-1908
121,-366,3066,-2238
123,-1484,5530,-3932
124,2020,1878,-4202
126,-250,4034,-4736
127,-1792,3218,-4410
128,178,3156,-3704
130,-828,4268,-4624
131,-78,3018,-4146
132,-176,3380,-3992
134,-974,3974,-2760
135,-1036,2704,-1970
137,-1196,2626,-2006
138,-942,3560,-1292
139,-548,2888,-952
141,-2158,3620,1058
142,-1712,2506,962
144,-1146,2632,1518
145,-2234,3380,1920
146,-1260,1476,1508
148,-3504,4466,1896
149,-1946,3278,2408
150,-1562,3044,2446
152,-2798,3752,1148
153,196,1872,948
155,-662,2238,1226
156,-1964,4544,414
157,1056,1962,-864
159,548,5802,-1776
160,-250,3398,-1384
161,1100,1230,-2488
163,-1312,5462,-3192
164,1756,2524,-4106
165,1288,5072,-4622
167,-1584,4192,-4278
168,684,2600,-3822
170,-736,4488,-4604
171,-952,3536,-4744
172,176,3948,-3818
174,-1176,4296,-2832
175,-1210,3250,-1926
177,-1194,3348,-2114
178,-1330,3824,-1522
179,-664,3168,-324
181,-2650,3516,954
182,-2556,3362,1336
183,-1696,3218,940
185,-2450,4300,1778
186,-1564,2342,2338
187,-3474,3784,2690
189,-2700,3972,1554
190,-1460,3742,1736
192,-2434,4440,1206
193,-1398,3118,1038
194,-1726,2928,1004
196,-2346,5002,610
197,-1146,1534,-1324
199,-228,4364,-1984
200,-1530,5850,-2140
201,224,1956,-2088
203,-1598,5638,-2706
204,-390,4652,-4092
205,456,3614,-4754
207,-1980,5460,-4156
208,-586,2774,-3564
209,-970,4370,-4236
211,-868,4256,-4344
212,94,3190,-4132
214,-1128,4382,-3084
215,-1434,2486,-2374
216,-964,2574,-2262
218,-1272,3816,-1412
219,-502,2766,-1200
221,-1792,3030,204
222,-2762,3218,1258
223,-1352,2654,862
225,-1914,3828,1620
226,-2166,1788,1510
227,-3628,2968,3198
229,-2880,4190,2360
230,-1262,2982,2624
231,-1908,3482,886
233,-2344,3100,1538
234,-228,1616,1110
236,-1544,3612,568
237,676,2368,-550
238,1366,2112,-1788
240,-1302,4402,-1922
241,1522,858,-2328
242,-744,3368,-3048
244,676,3520,-3934
245,1952,1944,-4510
247,-720,4842,-4228
248,34,2944,-4050
249,-324,3362,-5060
251,-1216,4072,-4834
252,150,3106,-4150
254,-406,4136,-2894
255,-1280,3322,-2880
256,-824,2528,-2008
258,-982,3964,-1540
259,-1124,3458,-1196
260,-820,3210,804
262,-2878,3760,1398
263,-2034,2992,1002
265,-1978,3808,1508
266,-1396,2382,1248
267,-2126,3724,3028
269,-2852,4136,1984
270,-1698,3280,1692
272,-1994,3930,1112
273,-2150,3886,1652
274,-164,2380,1146
