timestamp,accX,accY,accZ
0,-2154,3666,1478
2,-1888,2364,1058
3,-2812,3384,2374
5,-2732,4200,2424
6,-1966,2790,2176
7,-2780,4344,1568
9,-1212,2320,686
10,-982,2582,980
11,-2326,4230,1058
13,468,2290,-402
14,736,3218,-1988
16,-1194,3280,-2072
17,594,2048,-1684
18,-1128,4356,-2606
20,-912,2752,-3600
21,846,3030,-4152
22,-890,4848,-4768
24,228,2976,-3916
25,-480,3666,-3664
26,-1268,3332,-4226
28,-156,3512,-4500
29,-316,4434,-3052
31,-876,3084,-2510
32,-1452,2644,-2228
33,-1534,3164,-1298
35,-754,3390,-1148
36,-1214,3014,-978
37,-1782,2784,892
39,-1950,3382,1642
40,-2164,3618,1204
41,-1752,2746,1066
43,-1666,2572,1398
44,-2934,3942,2182
46,-2092,2750,2242
47,-2244,3184,1940
48,-2398,3452,848
50,108,2172,728
51,-1548,2882,116
52,-1316,4150,780
54,1038,2530,-896
55,428,5184,-1350
56,34,2884,-2118
58,356,2386,-1782
59,-1082,4360,-3374
61,1014,2714,-3812
62,792,3284,-4116
63,-320,3674,-4598
65,50,2978,-3802
66,-860,3870,-4212
67,-976,3554,-4118
69,38,3626,-3504
70,-420,3962,-2652
71,-1650,2940,-2308
73,-1550,2708,-1864
74,-814,3394,-1032
76,-824,3376,-1228
77,-1618,2832,672
78,-1714,2648,1254
80,-2144,3344,1334
81,-2008,3288,1460
82,-1366,2198,982
84,-2646,4232,2380
85,-2494,3518,2186
87,-1810,2658,1538
88,-2644,4204,1002
89,-206,2610,772
91,-388,2044,712
92,-2300,4728,686
93,126,2432,160
95,908,5280,-1596
96,-114,4012,-1862
97,866,1910,-2244
99,-1332,5140,-2586
100,772,3102,-3602
102,1416,4520,-4296
103,-772,4142,-4508
104,40,2972,-4202
106,-336,4132,-4072
107,-972,3222,-4172
108,-440,3122,-3862
110,-920,4552,-3154
111,-1022,3418,-2464
113,-1374,2842,-2150
114,-862,3338,-1624
115,-756,3256,-912
117,-1846,3064,180
118,-1936,2502,714
119,-1888,3786,1342
121,-1982,3842,1432
122,-2004,2866,1204
124,-3418,3664,2598
125,-2524,4066,1980
126,-1942,3334,2116
128,-2484,4048,1170
129,-1348,3492,868
130,-946,2692,1076
132,-2110,3652,64
133,-1744,4578,-482
134,890,3222,-2266
136,-1106,5520,-1208
137,-120,1720,-1996
139,-1102,4434,-2240
140,-760,5146,-3570
141,1290,2592,-4746
143,-1178,4758,-4094
144,-760,3796,-3842
145,-900,4206,-3408
147,-924,4072,-4652
148,-660,3114,-4516
150,-912,4464,-3554
151,-1434,4450,-2296
152,-1288,2650,-1854
154,-1004,3056,-2316
155,-780,3530,-1020
156,-1602,3346,76
158,-1966,2930,1246
159,-2070,3358,1138
161,-1820,3848,1350
162,-1894,3476,1152
163,-2930,2826,2180
165,-3466,4170,2058
166,-1744,3048,2376
167,-2364,3898,1552
169,-2242,2976,1084
170,-626,2410,968
172,-1166,3186,548
173,-2274,3020,36
174,998,2436,-1470
176,-680,5116,-1706
177,942,1678,-2016
178,-460,3048,-2206
180,-1490,3766,-3586
181,1862,2200,-4238
182,-240,4150,-4270
184,-222,2984,-4182
185,-152,3682,-3772
187,-802,3564,-4500
188,-360,2740,-4342
189,-586,3678,-3862
191,-1188,3906,-2406
192,-824,2796,-2362
194,-1390,3346,-2082
195,-1086,3314,-1150
196,-968,3364,-764
198,-1752,2928,924
199,-2164,3138,910
200,-1920,3580,1304
202,-1902,2874,1530
203,-1826,2072,1408
205,-3676,4002,2056
206,-1718,3242,2158
207,-1674,3518,1094
209,-1492,3350,1146
210,-1024,3200,1120
212,-1386,3028,548
213,-1724,4780,256
214,56,2598,-2236
216,-970,5160,-1230
217,-482,4056,-2084
219,-736,3542,-2400
220,-1152,5240,-3460
221,860,2642,-4668
223,-862,4568,-4026
224,-1278,4118,-4162
225,-518,3600,-3698
227,-938,4656,-4524
228,-784,2866,-4286
230,-624,3550,-3490
231,-1344,4124,-2864
232,-1328,2850,-1990
234,-1032,3354,-1998
235,-1330,3396,-1298
236,-1268,3228,8
238,-1668,3130,736
239,-2430,3434,1212
241,-1688,3590,1300
242,-1142,3166,1204
243,-2770,2960,2400
245,-3684,4056,2898
246,-2158,3270,2294
247,-1886,3754,1566
249,-1846,3614,1438
250,-1036,2782,1362
251,-986,2868,214
253,-2140,3678,-622
254,568,2012,-1158
256,-364,4400,-1348
257,-1138,2374,-2268
258,16,2316,-2292
260,-1540,4736,-3846
261,1640,2528,-4046
263,478,3902,-4674
264,-1458,2976,-4248
265,-100,2764,-3658
267,-774,4408,-4636
268,14,3126,-4196
269,-242,3166,-3914
271,-1126,3766,-2532
272,-852,2984,-2162
274,-1104,3178,-1832
