timestamp,accX,accY,accZ
0,-1326,2708,-1288
2,-974,3354,624
3,-2234,3552,1686
4,-2440,3134,1328
6,-2236,3738,1490
7,-1232,3206,1080
9,-1056,3204,2746
10,-2760,2882,2298
11,-3626,4038,2782
13,-1188,2972,378
14,-978,3612,836
15,-2630,3668,2
17,-1494,3644,1442
18,-646,4910,-394
20,-306,2760,-2014
21,-598,4728,-1920
22,170,3956,-2560
24,544,3884,-2328
25,-980,4154,-3606
26,492,3168,-4884
28,38,4480,-4500
29,-518,3542,-4244
30,-770,3744,-3392
32,-690,4422,-4526
33,120,3678,-4334
35,-934,3468,-3256
36,-1898,3870,-2686
37,-1452,3328,-1660
39,-1202,3834,-1440
40,-1374,3184,-1498
41,-930,3124,166
43,-1968,3662,1178
44,-2384,3012,1300
45,-2484,3592,1588
47,-1636,3774,1310
48,-624,2740,2322
50,-3484,3618,2552
51,-3054,3184,2558
52,-2410,3768,1076
54,-786,3280,196
55,-1456,3462,902
56,-1204,2822,478
58,-1748,4680,832
59,-12,2092,-1868
61,-640,4474,-1866
62,-460,4642,-2152
63,-132,3220,-2602
65,-1516,4710,-2654
66,-142,2830,-4502
67,406,4460,-4964
69,-644,4538,-3790
70,-1136,3076,-3504
72,-1374,4158,-3758
73,-552,3264,-4300
74,12,3484,-4008
76,-1700,4086,-2144
77,-1190,2686,-1840
78,-942,3598,-1564
80,-1106,2898,-1454
81,-1086,2714,-620
83,-1994,3522,1528
84,-2084,2762,1342
85,-2364,3158,1412
87,-2322,4028,1164
88,-736,2202,1490
90,-3318,3362,2762
91,-2986,3456,3080
92,-1456,4018,1754
94,-974,3780,314
95,-1692,3068,1152
96,-1308,2478,598
98,-1970,4566,52
99,658,2380,-1570
101,446,3456,-1696
102,578,3040,-2382
103,192,2696,-2142
105,-1086,4102,-3276
106,932,2444,-3862
107,554,3854,-5004
109,-364,3406,-4406
110,-546,2706,-3248
111,-1420,3686,-4294
113,344,3510,-4504
114,550,3480,-4238
115,-706,3812,-2566
117,-1566,2706,-1648
118,-1168,2862,-1536
120,-906,3560,-1400
121,-966,2692,-1248
122,-1678,2904,1050
124,-1984,3010,1624
125,-2040,2938,1348
126,-2602,3890,1378
128,-892,2510,918
129,-1724,2770,2396
131,-3124,3056,2494
132,-2986,3720,2612
133,-1236,4020,416
135,-622,3236,632
136,-1676,2610,726
137,-1510,4752,1164
139,76,3804,-598
140,952,2446,-1764
141,-146,4088,-2284
143,496,2544,-1946
144,-126,4790,-2570
146,302,2958,-3804
147,812,2634,-4654
148,-440,4754,-4780
150,220,2912,-3968
151,-876,3892,-3608
152,-946,3870,-4482
154,494,3306,-4410
155,156,4308,-2966
157,-1938,3342,-2170
158,-1400,2424,-1836
159,-1134,4010,-1326
161,-962,3216,-1156
162,-1326,3086,210
163,-1834,3100,1176
165,-1924,2926,1500
166,-2752,3908,1864
167,-1804,3178,956
169,-790,3432,2524
170,-2496,3338,2148
172,-3674,3346,1780
173,-1972,3712,1078
174,-114,3508,492
176,-1644,3178,-20
177,-2226,3700,1142
178,-826,4668,304
180,98,3352,-2006
181,-946,4392,-1956
183,494,3288,-2082
184,-814,4524,-2356
185,-668,4040,-3120
187,638,2446,-4694
188,-344,4810,-4572
189,160,3890,-4730
191,-438,3426,-3854
192,-1456,3654,-4138
193,-318,3376,-4434
195,-462,4264,-3342
196,-1678,4142,-2794
198,-1592,2488,-2086
199,-1148,3732,-1514
200,-1142,3812,-934
202,-1616,2942,-156
203,-1768,3098,472
205,-1696,3160,1638
206,-2580,3750,1794
207,-2484,3668,920
209,-1070,2926,1996
210,-2896,3880,2370
211,-2620,3058,2830
213,-1524,3656,1276
214,-940,3406,736
216,-756,2800,112
217,-888,2160,662
218,-1984,4518,-60
220,744,2426,-1560
221,-190,3918,-2036
222,-686,2868,-2420
224,144,3174,-2302
225,-1242,4690,-3692
226,776,2578,-4084
228,170,4118,-4510
229,-436,3220,-4414
231,-510,3004,-3732
232,-1228,3834,-4134
233,-1298,3358,-4236
235,208,3488,-4056
236,-1074,3882,-2564
238,-1318,2542,-2032
239,-1070,3120,-1166
240,-1280,3188,-1060
242,-1158,2748,-584
243,-1568,3136,978
244,-2064,3114,1532
246,-2312,3428,1692
247,-2478,2846,1264
248,-1198,2360,1410
250,-3152,3632,1810
251,-3244,3646,2900
253,-2068,3844,2040
254,-1306,3078,992
255,-1322,3408,930
257,-548,2206,12
258,-1716,4728,-30
259,-208,2980,-576
261,864,2928,-1506
262,370,3882,-2362
264,478,2294,-2250
265,-392,4710,-3272
266,738,2944,-3584
268,776,3100,-4488
269,-480,4190,-4746
270,-104,2942,-3862
272,-640,3546,-3986
273,-610,3490,-4404
