timestamp,accX,accY,accZ
0,-2804,3658,2122
2,-2394,3792,1730
3,-2614,3996,1998
5,-1662,4052,1040
6,-160,2614,964
7,-2266,3414,1128
9,-2072,4516,272
10,-1272,2204,-1744
11,-642,3900,-1210
13,-1184,4688,-1572
14,294,3044,-1436
16,-1114,4794,-2612
17,-600,1996,-4080
18,-562,4174,-3926
20,-948,5404,-3934
21,12,2908,-3234
22,-1646,4028,-3908
24,-1226,3818,-4206
25,262,3738,-4048
27,-910,4550,-2656
28,-1292,2340,-2130
29,-1242,2698,-2040
31,-1140,3944,-1230
32,-772,3160,-1506
34,-1784,3226,-684
35,-1874,2930,728
36,-1898,3216,1270
38,-2336,3978,1050
39,-194,1660,462
40,-2394,2930,1882
42,-2566,3546,2258
43,-1648,3088,2608
44,-2550,4304,408
46,-776,2186,836
47,-1128,2874,1260
49,-2616,4390,888
50,964,2092,-380
51,492,2944,-1408
53,-1420,3444,-1862
54,844,2038,-1734
56,-1284,4436,-2528
57,508,2086,-3272
58,828,2270,-4172
60,-1498,4606,-4140
61,586,2434,-3572
62,-988,3488,-4298
64,-734,3354,-4072
65,826,3230,-3950
66,-516,4140,-3146
68,-1088,2542,-2468
69,-644,2290,-2100
71,-1244,4374,-1510
72,-1082,3368,-1190
73,-1110,2860,-218
75,-1872,3342,418
76,-1608,3256,1094
77,-2256,3514,1060
79,-1024,1872,432
80,-1278,2270,2186
82,-2850,4320,1978
83,-1748,2802,2514
84,-2296,4150,1112
86,-740,3012,684
87,50,2130,1214
88,-2280,4772,84
90,-944,3524,868
91,2166,4332,-1040
93,-1748,5044,-1436
94,556,2056,-1526
95,-86,5372,-2710
97,-666,3828,-2850
98,1832,1342,-3892
99,-1462,6002,-3852
101,116,2982,-3972
102,508,4060,-4282
103,-1394,4354,-4216
105,344,3146,-3822
106,-1196,4654,-3504
108,-1692,3306,-2726
109,-582,2038,-2220
110,-1364,4322,-2128
112,-1296,4210,-1290
113,-628,2926,-748
114,-2116,3456,286
116,-1692,3158,1282
117,-2300,3998,1208
118,-1772,2526,742
120,-584,3508,2084
121,-2652,4810,2102
123,-2488,3486,2268
124,-1582,3990,956
125,-1320,3696,770
127,42,2492,1194
128,-2718,4454,614
129,-2162,4378,724
131,1686,3120,-1116
132,-1790,5648,-904
134,-900,3222,-1580
135,-1252,4784,-2038
136,-1010,5264,-2568
138,1040,2328,-4044
139,-1778,5780,-3846
141,-780,4544,-3446
142,-762,3276,-4028
143,-1722,4404,-4148
145,-716,3186,-3696
146,-680,4468,-3610
148,-1506,2500,-2630
149,-468,2344,-2322
150,-1124,3682,-1762
152,-1056,3260,-1254
153,-1122,2656,-1298
155,-1932,3330,370
156,-1560,3450,1108
157,-2140,3850,1142
159,-1094,1834,574
160,-1734,2438,1678
162,-2844,4330,2092
163,-1508,2698,2352
164,-2340,4104,1074
166,-910,3000,992
167,-16,2306,1050
168,-2804,4468,382
170,-718,3262,372
171,1880,2016,-1006
173,-1684,4862,-1180
174,362,2000,-1710
175,-220,5320,-2556
177,-444,3694,-3076
178,1426,1650,-3802
179,-1384,5826,-3734
181,-2,3050,-3808
182,598,3714,-4148
184,-1448,4296,-4278
185,-10,3522,-3884
186,382,4352,-3674
188,-1536,3250,-2932
189,-848,2230,-2192
190,-1324,4228,-1990
192,-1040,4156,-1572
193,-934,2872,-1004
195,-1848,2960,224
196,-1828,3246,1248
197,-2268,3950,1112
199,-1996,3048,546
200,-320,3136,1910
202,-2708,4626,2170
203,-2786,2698,2494
204,-2664,4124,1016
206,-1052,3688,1040
207,-100,2946,1344
208,-3040,4348,796
210,-1944,4156,-368
211,580,2988,-1222
213,-1338,5304,-1110
214,-1218,1932,-1716
215,-1032,4228,-1886
217,-884,4982,-3406
218,900,2352,-3876
220,-1518,5548,-3982
221,816,2242,-3646
222,-330,2634,-3662
224,-1762,3936,-4068
225,596,3466,-3704
227,-174,4330,-3288
228,-1428,2658,-2692
229,-888,2332,-2164
231,-1286,4456,-1618
232,-1040,3534,-1244
234,-1132,2900,-404
235,-1670,3126,332
236,-1696,3470,1310
238,-2216,3548,1274
239,-1090,1938,444
240,-970,2160,2272
242,-2848,4514,2198
243,-1884,2736,2554
245,-2420,3958,848
246,-670,2982,722
247,116,2428,1264
249,-2314,4354,400
250,-1024,3360,646
251,1688,3998,-1372
253,-1568,4898,-1302
254,-124,2660,-1486
256,-1138,4874,-2528
257,-544,3782,-2910
258,1270,4098,-3898
260,-1250,5934,-3788
261,46,3414,-3526
263,-1450,3516,-4086
264,-1710,4176,-4080
265,-136,3818,-3838
267,-652,4442,-3928
268,-1414,3370,-2290
269,-1054,2818,-2148
271,-1478,4196,-1892
272,-1090,2900,-1302
274,-1412,2808,-1088
275,-1830,2966,620
