timestamp,accX,accY,accZ
0,702,3350,-4822
2,-392,3190,-4592
3,-1990,3918,-2210
4,-792,3100,-1584
6,-414,3296,-2496
7,-1212,3330,-1524
9,-1408,3172,-94
10,-1458,3200,1194
11,-2402,3078,1332
13,-1974,3132,1596
14,-2066,3078,1204
15,-1140,2212,1540
17,-3638,3082,2990
18,-3802,3940,2866
20,-1384,4184,530
21,-722,3026,902
22,-2334,3236,1232
24,-1974,3268,1452
25,-398,4138,-184
27,404,2634,-994
28,-130,4274,-1814
29,-330,4016,-1840
31,360,3448,-2590
32,-674,3468,-4122
33,-200,3650,-4116
35,1130,4024,-4254
36,-318,3844,-4496
37,-916,2958,-4234
39,-804,4058,-4368
40,-20,4364,-4506
42,396,3544,-3616
43,-1520,3740,-2732
44,-1316,3330,-2026
46,-818,3440,-2302
47,-1564,3794,-1484
48,-1396,3556,-92
50,-1534,3172,656
51,-1964,2964,1088
53,-2324,3200,1784
54,-2000,3488,1756
55,-868,2086,900
57,-1772,3432,3058
58,-3122,3404,2740
59,-3096,4250,922
61,-1152,2976,894
62,-1802,3250,782
63,-1704,3036,1562
65,-976,4420,648
66,-258,3184,-194
67,792,3872,-1602
69,-346,4242,-2140
70,52,3662,-2152
72,-552,3482,-3296
73,-726,3634,-3864
74,506,4086,-4276
76,-22,4380,-4548
77,-816,3608,-3930
78,-660,3246,-3956
80,-282,4310,-4340
81,110,3224,-4370
83,-1166,3666,-3260
84,-1568,3664,-2520
85,-1056,3098,-2380
87,-1134,3562,-1844
88,-1560,3552,-304
89,-1714,3210,236
91,-1822,2932,676
92,-2126,3298,1758
94,-2524,3752,1840
95,-1640,2896,1156
96,-2852,3272,2744
98,-2942,3536,2918
99,-3622,3866,2108
100,-860,3072,946
102,-1240,3388,850
103,-1754,3060,1466
105,-1610,4040,1504
106,-700,4226,-708
107,278,2708,-2212
109,-1098,4668,-1746
110,-130,3170,-1866
111,-226,3476,-2742
113,-750,3646,-4018
114,750,3898,-4362
116,438,4220,-4364
117,-520,3500,-4412
118,-810,3416,-3736
120,138,3464,-4442
121,56,3512,-4608
122,-658,3426,-4068
124,-1206,3396,-2242
125,-1184,3176,-2128
127,-922,3308,-1486
128,-1394,3570,-862
129,-1902,3616,220
131,-2040,2660,710
132,-2004,2966,1650
134,-2244,3744,1906
135,-1134,2072,1378
136,-1106,2022,1860
138,-3308,3966,2718
139,-2932,4052,3062
140,-834,3262,1022
142,-916,3528,980
143,-1238,2738,812
144,-2046,3388,518
146,-316,3294,-158
147,582,2332,-1796
149,-704,4316,-2202
150,-188,3714,-1776
151,100,3448,-3606
153,-778,3456,-4206
154,56,4112,-4354
156,716,3724,-4616
157,-1080,3588,-4530
158,-1016,3542,-3992
160,412,3682,-4318
161,136,3768,-4608
162,-430,3306,-3296
164,-1214,3626,-2072
165,-1092,3506,-1912
166,-1138,3496,-1960
168,-1492,3582,-1226
169,-1458,3368,422
171,-1968,2912,754
172,-1862,2826,1874
173,-2348,3956,1750
175,-1568,2986,1570
176,-626,1378,2714
178,-2910,3972,3024
179,-3488,3898,2616
180,-1568,3380,650
182,-746,3038,630
183,-2038,2898,972
185,-2370,3932,1486
186,-460,4308,-706
187,138,2968,-2164
189,-988,4128,-1786
190,-512,3678,-1694
192,-358,3652,-2512
193,-494,3266,-4212
194,-92,4430,-4334
196,164,4766,-4086
197,164,3512,-4186
198,-984,3604,-3982
200,-26,3942,-4162
201,548,3610,-4430
202,-970,3558,-3846
204,-1076,3096,-1890
205,-894,3270,-1982
207,-1220,3740,-1630
208,-1274,3480,-1000
209,-1924,3352,56
211,-2046,3400,940
212,-1936,2854,1330
214,-2368,3618,1712
215,-2386,2250,1128
216,-1486,2240,1968
218,-2900,2954,2830
219,-2984,4708,3118
220,-1066,3238,1232
222,-372,3600,550
223,-1458,2910,1374
225,-1676,3140,1076
226,-576,3552,-362
227,996,1902,-1964
229,-420,4700,-1396
230,158,3382,-2034
231,-14,3212,-1902
233,-460,3546,-3828
234,146,3888,-4158
236,472,4470,-4366
237,-634,3356,-4626
238,-1278,3664,-4012
240,-788,3660,-4316
241,334,3580,-4632
242,-178,3500,-3238
244,-1174,3264,-2406
245,-1168,3010,-1882
247,-1304,3510,-1878
248,-1182,3330,-1646
249,-1618,3484,324
251,-1878,2954,746
252,-2080,2700,1142
254,-2146,3914,1824
255,-1626,3414,1518
256,-594,2010,2450
258,-2632,3210,2666
259,-4102,4566,3154
260,-1528,2762,798
262,-788,3090,854
263,-2282,3452,1528
265,-1598,3984,1406
266,-976,4452,414
267,252,2296,-1788
269,-790,4444,-1792
270,-492,4420,-2088
271,-184,2984,-2594
273,-802,3824,-3534
274,-760,4370,-4612
