timestamp,accX,accY,accZ
0,-1822,4164,-2584
2,40,2774,-2634
3,-956,3320,-2058
4,-1812,3012,-630
6,-988,2582,120
7,-2092,3346,1100
9,-1754,2874,912
10,-1148,2524,1276
11,-1538,3182,2084
13,-3132,3402,3108
14,-3296,4052,2134
16,-1806,2488,1932
17,-2260,4120,1496
18,-2350,2538,1876
20,-1138,2650,762
21,-2110,4300,-242
22,624,2714,-512
24,-540,3820,-464
25,-842,4500,-1194
27,1042,2204,-2334
28,-634,4300,-3444
29,-640,3122,-4254
31,926,2970,-4000
32,-532,4122,-3938
34,-36,2732,-4538
35,-142,3462,-4776
36,-394,4170,-4896
38,162,2902,-4336
39,-720,3086,-3026
40,-1342,3828,-2616
42,-150,2898,-2446
43,-446,3538,-1982
45,-1614,3974,-1060
46,-1032,2644,42
47,-2808,3698,1176
49,-2622,3702,1034
50,-1272,2840,1246
51,-2048,2778,1584
53,-3264,3074,2926
54,-2692,4168,2702
56,-970,2126,1810
57,-2524,4612,1704
58,-1358,3220,1846
60,-290,2136,968
61,-1920,4198,-268
62,28,2582,60
64,786,4702,-946
65,-566,3638,-1942
67,440,2016,-1940
68,-624,5246,-2828
69,202,3738,-3558
71,1508,4012,-4352
72,-770,4856,-4222
73,-256,3250,-4400
75,-1060,4172,-4892
76,-752,4472,-4798
78,130,3278,-3930
79,-1196,3870,-3890
80,-1892,3860,-2574
82,-1064,2782,-2452
83,-800,3640,-2246
84,-1594,2942,-988
86,-1264,2550,250
87,-2040,3178,1064
89,-2608,3124,1136
90,-1302,2762,1260
91,-1530,2690,1884
93,-3126,3530,2940
94,-3402,4292,3078
95,-1580,2338,2022
97,-2614,4342,1420
98,-2204,4204,1700
100,-1460,2788,1146
101,-2370,4436,1082
102,-1006,2578,-360
104,-668,4274,-500
105,-584,4286,-1338
107,892,2408,-2012
108,-982,4832,-2196
109,-570,2562,-4224
111,942,2958,-4356
112,-814,4776,-3910
113,-804,2606,-4358
115,-46,3138,-4598
116,-956,4682,-4704
118,314,3158,-4396
119,-672,3434,-3762
120,-1438,3658,-2574
122,-346,2778,-2604
123,-728,3020,-1944
124,-1354,3914,-1184
126,-1004,2724,-302
127,-1356,3480,1166
129,-2394,3566,1034
130,-1368,2832,1392
131,-2014,2740,1570
133,-3226,3100,2272
134,-2660,4244,2886
135,-1152,2374,2038
137,-2760,3158,1726
138,-2612,3200,1766
139,-172,2296,1720
141,-2250,3760,322
142,-364,2600,24
144,648,3720,-486
145,-542,3278,-2096
146,302,2192,-1982
148,-390,3606,-2850
149,106,3984,-3438
150,1546,2354,-4924
152,-36,4830,-4300
153,-492,3848,-3998
155,250,2952,-5032
156,-542,4188,-4700
157,-294,3642,-4970
159,108,3488,-3878
160,-1478,3832,-3180
161,-1240,3006,-2578
163,-748,3668,-2106
164,-1442,3930,-1630
166,-1072,3182,34
167,-1912,2918,874
168,-2508,3498,1244
170,-1796,3098,1336
171,-1530,2762,1636
172,-2522,2906,2894
174,-3000,4010,2854
175,-1720,3134,2658
177,-1994,4258,1820
178,-2048,3886,1872
179,-314,2314,1098
181,-2246,4314,1056
182,-1304,3580,352
184,602,4204,-554
185,-392,4158,-1642
186,-330,2724,-1970
188,-1288,4764,-2280
189,-496,4856,-3350
190,1058,2802,-4370
192,-1018,4670,-4308
193,-886,4328,-4234
195,230,3410,-4568
196,-770,4390,-4974
197,-524,3144,-4472
199,-668,3682,-3630
200,-1042,4242,-2728
202,-478,2688,-2662
203,-804,2886,-2318
204,-1520,3962,-1252
206,-1120,3136,-258
207,-1470,2578,874
208,-2294,3546,1100
210,-1622,3244,1482
211,-1854,2508,1530
213,-3164,2748,2270
214,-2560,3398,2534
215,-2766,2756,2586
217,-2788,3120,1942
218,-2500,4246,1758
219,300,2158,1606
221,-2190,3418,924
222,-2150,2942,468
224,1124,3044,-702
225,-1108,5088,-2304
226,356,1842,-2030
228,-176,3416,-1854
229,-1086,4048,-3336
230,1566,2062,-4752
232,156,3700,-4268
233,-292,3714,-4254
234,166,3148,-4264
236,-362,3818,-4772
237,-198,3516,-4666
239,28,3482,-4180
240,-900,3838,-3252
241,-1088,3160,-2646
243,-980,2770,-2298
244,-1384,3792,-1602
245,-882,3220,-1318
247,-1506,3186,788
248,-2408,3300,1218
250,-1890,3152,1374
251,-1750,3002,1712
252,-1846,2362,1876
254,-3124,3052,2654
255,-2260,3722,2798
256,-1400,2480,2458
258,-2646,4340,1880
259,-728,2628,1554
260,-578,2086,1116
262,-1824,4224,452
263,192,2682,26
265,232,4670,-1448
266,-582,3642,-1512
267,1016,1668,-2286
269,-872,5370,-2868
270,906,3134,-4014
271,1388,2246,-4690
273,-1344,4862,-4070
274,290,2896,-4330
