timestamp,accX,accY,accZ
0,-520,2366,236
2,-1274,3326,944
3,-1432,3254,-288
4,752,2468,-1184
6,-1022,4626,-2256
7,1022,2194,-2310
9,58,3622,-2766
10,-1308,3060,-3804
11,916,2378,-4146
13,-146,4194,-4512
14,136,3118,-4170
15,-74,3076,-4448
17,-1158,3894,-4594
18,-262,3098,-3682
20,-302,3572,-3202
21,-1260,3660,-2696
22,-480,2464,-2376
24,-1016,2772,-1642
25,-1508,3416,-330
26,-1064,2918,-416
28,-1514,2956,626
29,-1874,3146,1210
30,-2440,3804,1996
32,-2014,2596,1578
33,-1212,1746,1300
35,-3562,3966,2098
36,-3040,3880,2918
37,-1678,3638,1768
39,-1686,3586,1382
40,-1268,3498,816
41,-688,2308,606
43,-1586,5138,-84
44,556,2678,-616
45,706,5382,-1670
47,-4,3624,-2290
48,808,2026,-2730
50,-588,4930,-3800
51,982,2520,-3952
52,830,2828,-4290
54,-664,4238,-4376
55,422,2562,-4432
56,-600,4300,-4672
58,-690,3552,-4168
59,28,3064,-3668
61,-1640,4316,-2942
62,-1234,2902,-2408
63,-748,3454,-1804
65,-1496,3482,-1242
66,-1358,3116,172
67,-1658,2966,634
69,-1854,2748,826
70,-2096,3334,1970
72,-1820,3144,1932
73,-1066,1452,1226
74,-2774,4288,2518
76,-2256,3794,2580
77,-2220,3176,798
78,-1834,3284,1100
80,-1442,3492,1814
81,-800,3266,666
83,-1932,4666,130
84,58,2272,-1196
85,-1198,5050,-1054
87,-774,4636,-2194
88,24,3308,-3008
90,-1326,5400,-2710
91,584,2164,-4346
92,-296,4266,-4556
94,-1354,5028,-4414
95,214,2942,-4336
96,-1042,4236,-4312
98,-974,4052,-3920
99,-448,3778,-3528
101,-1386,4440,-3126
102,-1378,2494,-2256
103,-848,3012,-2038
105,-1394,3882,-656
106,-1116,2792,-546
107,-1698,2752,182
109,-2092,3154,1270
110,-2302,3802,1746
112,-2160,3922,1402
113,-1934,1710,1436
114,-3434,3524,2630
116,-2372,3850,3012
117,-1702,3566,1748
118,-1426,3066,1484
120,-1332,3660,996
121,-664,2262,548
123,-1926,3126,8
124,424,3084,-772
125,714,2850,-1686
127,-1088,3474,-2188
128,472,2276,-2484
129,-698,4354,-3634
131,1026,2548,-4188
132,692,3280,-4708
134,-360,4070,-4104
135,90,2652,-4168
136,-804,3310,-4678
138,-260,3846,-4232
139,192,3340,-4066
140,-696,3806,-3112
142,-1280,2772,-2448
143,-1024,3182,-1648
145,-1134,3514,-1634
146,-1074,2936,-944
147,-1384,3070,914
149,-2180,3018,1072
150,-2030,3032,1388
151,-2304,3570,1546
153,-828,1900,1282
154,-2386,2526,2530
156,-2652,3696,2674
157,-2304,3710,2740
158,-1342,3442,750
160,-1376,3336,1526
161,-972,2658,1258
163,-1532,4350,142
164,-598,3318,-288
165,720,4458,-1282
167,-380,4276,-2276
168,580,2344,-2280
169,-516,4890,-2878
171,416,3166,-3532
172,1006,2650,-4576
173,-890,4874,-4534
175,162,2992,-3978
176,-390,3924,-4260
178,-840,3870,-4722
179,130,3478,-3646
180,-1400,4352,-3180
182,-1372,3162,-2704
183,-784,3088,-1608
184,-1460,3896,-1710
186,-1274,3856,-848
187,-1432,3012,-110
189,-2388,3372,1082
190,-2038,3496,1906
191,-2260,3900,1560
193,-1780,2834,1340
194,-3120,3418,2510
195,-2840,4166,2490
197,-3074,3472,1934
198,-1560,3588,902
200,-908,3400,948
201,-1382,2722,710
202,-2138,3390,380
204,-1376,4146,-1140
205,814,3046,-1514
206,-942,4386,-2210
208,92,2576,-2000
209,-398,4132,-2314
211,-1034,4592,-4384
212,736,3044,-4876
213,0,4754,-4636
215,-602,2868,-3640
216,-960,3084,-3982
217,-1292,3934,-4696
219,452,3446,-4030
220,-434,3876,-3814
222,-1992,3054,-2166
223,-1116,2758,-1956
224,-950,3770,-1442
226,-1400,2988,-1192
227,-1186,2934,-154
228,-1814,3190,1452
230,-1982,2976,1326
231,-2198,3414,1612
233,-1884,2242,1146
234,-2112,2596,2170
235,-3468,3946,2318
237,-2618,3536,2840
238,-1650,3928,1278
240,-1250,2648,880
241,-1114,2700,618
242,-1942,3790,420
244,-502,3046,-98
245,830,2792,-1400
246,-372,4312,-2164
248,630,2518,-2038
249,-640,3536,-2756
251,280,3362,-3562
252,1066,2982,-4666
253,-590,4512,-4694
255,-60,3040,-3786
256,-444,3878,-4016
258,-1120,3866,-4470
259,158,3462,-3892
260,-86,4346,-3192
262,-1648,3534,-2416
263,-1050,2654,-1832
264,-1196,3950,-1612
266,-1170,3802,-1042
267,-670,2704,-8
269,-2400,3484,1154
270,-2004,3118,1888
271,-2320,3900,1508
273,-1882,2940,974
274,-798,3470,2680
