timestamp,accX,accY,accZ
0,-3746,3848,2908
2,-2712,3688,2176
3,-1648,3858,1622
5,-1912,4134,798
6,-1152,2820,796
7,-1646,3806,958
9,-1800,4526,678
10,-454,3134,-1254
11,-766,4464,-1712
13,-528,4736,-1834
14,776,3120,-2044
16,-1552,4866,-2616
17,110,3634,-4044
18,428,4080,-4586
20,-1266,4910,-4070
21,-536,2998,-3740
22,-976,4044,-3928
24,-724,3978,-4226
25,-242,3734,-3874
26,-1246,4414,-3134
28,-1168,3452,-2276
29,-1360,2908,-1828
31,-1126,3494,-2022
32,-1220,2922,-954
33,-1618,2970,-296
35,-2354,3344,1034
36,-2036,3344,1546
37,-2056,3702,1266
39,-1922,1936,902
40,-2844,3108,2508
42,-3172,4378,2186
43,-1600,2946,2176
44,-2076,4320,1080
46,-1174,2558,986
47,-1264,2840,1266
48,-2294,3804,624
50,-1514,3246,-384
51,1142,2960,-2090
52,-830,4642,-1854
54,442,2112,-1830
55,-776,3824,-2046
57,-890,3240,-3904
58,1378,2648,-4748
59,-496,4652,-3986
61,62,2578,-3950
62,-906,3270,-3442
64,-1264,3766,-4588
65,350,3472,-4282
66,-312,3990,-2812
68,-1552,2796,-2300
69,-1394,2776,-1504
70,-1056,3582,-1734
72,-930,3256,-1240
73,-1316,2860,824
75,-2378,3190,1560
76,-1932,3084,1118
77,-1978,3462,1256
79,-1296,2384,1176
80,-1772,2446,1864
81,-3234,3824,2352
83,-1664,2644,2354
84,-2272,3928,606
86,-676,2780,174
87,-312,2312,1378
88,-2084,4144,1092
90,-930,3272,-40
91,1042,2508,-2038
92,-448,4724,-1644
94,274,2524,-1956
95,-366,4776,-2546
97,46,3892,-3386
98,1354,2296,-4602
99,86,5022,-4374
101,-162,3294,-4152
102,148,2942,-3826
103,-1462,4006,-4480
105,-414,3262,-4246
106,-678,4494,-3412
108,-1318,3564,-2564
109,-1316,3076,-1660
110,-828,3852,-1810
112,-824,3370,-1266
113,-744,3060,-70
114,-2158,3006,964
116,-2074,3170,1300
117,-2146,3782,1342
119,-1854,2896,1282
120,-1194,3498,2640
121,-2748,4214,2182
123,-2140,2966,2230
124,-2350,4304,1242
126,-1100,3486,888
127,-1266,3012,1172
128,-2384,3602,316
130,-1734,4244,-298
131,1350,2826,-2498
133,-904,4854,-2082
134,540,2056,-1802
135,-1076,4140,-2070
137,-684,2960,-3366
138,1188,2724,-4996
139,-898,4886,-4146
141,-712,2474,-3852
142,-788,3466,-3516
144,-1412,4282,-4220
145,376,3302,-4372
146,-142,3988,-3828
148,-1286,2804,-2128
149,-1216,2580,-1660
150,-1492,3396,-1788
152,-638,3370,-1384
153,-1072,2842,-900
155,-2270,3246,1494
156,-1720,2834,1124
157,-1894,3520,1374
159,-1384,2512,980
160,-1758,2328,1652
161,-2884,3754,2430
163,-2020,2680,2680
164,-2584,3864,768
166,-378,2888,474
167,-400,2722,676
168,-1848,3218,776
170,-992,3432,586
171,988,2500,-1466
172,-2,4570,-1692
174,610,2296,-2218
175,-518,3042,-2564
177,32,3720,-3302
178,1368,2254,-3974
179,-56,5056,-4170
181,76,3214,-4292
182,188,2816,-3692
183,-1482,4040,-4192
185,-332,3420,-4002
186,334,4358,-3460
188,-1418,3558,-2660
189,-1288,2318,-1658
190,-1836,3796,-1444
192,-822,3480,-1554
193,-858,3084,-180
194,-2112,3086,1034
196,-2110,3062,1258
197,-2110,3636,1510
199,-1876,3064,1206
200,-1206,3326,2326
201,-2654,4100,2026
203,-2264,3194,2378
204,-1958,4328,1590
205,-1106,3578,548
207,-36,2482,1194
208,-1922,3882,22
210,-2172,4460,1060
211,454,3042,-1980
212,-914,5114,-1272
214,-178,3386,-1948
215,466,4288,-2462
216,-862,4830,-2892
218,836,2844,-4384
219,-950,4728,-4312
221,-550,4068,-3616
222,-574,3534,-3656
223,-1168,3926,-4320
225,-1112,3332,-4364
226,-174,4094,-3612
228,-1062,4148,-2320
229,-1326,2660,-1944
230,-1356,3182,-1816
232,-944,3622,-1216
233,-1176,3000,-784
234,-1762,2662,1154
236,-2242,3344,1458
237,-2096,3534,1498
239,-1832,2758,1046
240,-1778,2624,1404
241,-2868,3804,2584
243,-2626,2754,2234
244,-2374,3404,1988
245,-2228,4420,748
247,-50,2338,402
248,-1774,3012,838
250,-2076,4048,736
251,970,2548,-1090
252,-50,3818,-1532
254,328,2736,-2182
255,102,2828,-1864
256,-1268,3998,-3366
258,1044,2600,-3776
259,538,3506,-4100
261,-482,3598,-4420
262,152,2980,-3698
263,-842,3794,-4150
265,-926,3622,-4046
266,82,3424,-4134
267,-412,3938,-2590
269,-1660,3034,-2114
270,-1332,3178,-1442
272,-1016,3544,-1462
273,-930,3442,-866
274,-1462,2700,770
