timestamp,accX,accY,accZ
0,1098,2410,-5042
2,-1444,3466,-2370
3,-1272,3568,-2052
5,192,2754,-2452
6,-512,3752,-2420
7,-1470,3112,-542
9,-1558,3350,574
10,-2018,2956,1248
11,-1846,2454,1370
13,-2454,3456,1034
14,-602,2056,1306
16,-2768,3664,3206
17,-3446,2820,2762
18,-2510,3872,2796
20,-1614,4438,1052
21,-1566,2520,2048
22,-2772,3606,1716
24,-2670,3466,764
25,1198,2474,-734
27,-202,3638,-1104
28,-230,3272,-1670
29,332,3230,-1430
31,-154,4086,-3002
32,-218,3472,-4098
33,626,3598,-4578
35,804,3850,-4422
36,-364,2778,-4124
38,-1442,4764,-4264
39,290,4724,-5168
40,1594,3022,-5386
42,-412,3886,-2958
43,-2278,4038,-2010
44,-214,3154,-2844
46,-916,3462,-2724
47,-1656,2978,-1568
49,-1464,3870,662
50,-1772,3274,556
51,-1886,2410,1364
53,-1942,3614,1698
54,-1032,2444,1020
55,-1188,4580,3272
57,-2614,2924,2612
58,-2898,2888,2226
60,-1144,3608,546
61,22,1916,1312
62,-2370,4126,1624
64,-1746,3282,1284
65,674,3112,-10
66,830,4052,-1600
68,-1510,4092,-1124
69,114,2920,-1970
70,-976,4756,-2496
72,-586,4126,-3876
73,646,3462,-4932
75,-220,4686,-4204
76,-214,3314,-4130
77,-326,4288,-4004
79,-726,5148,-4966
80,1244,3504,-5028
81,-1704,3714,-3598
83,-2920,4386,-2346
84,-1074,2946,-2584
85,-380,3444,-2900
87,-1402,3418,-604
88,-1122,3576,380
90,-1994,3666,662
91,-2000,2818,1078
92,-2312,3560,1598
94,-1690,3450,1334
95,-868,3590,2826
96,-3742,4084,3224
98,-2580,2426,2930
99,-1800,4644,1112
100,-166,2638,768
102,-1284,2474,1890
103,-2760,4110,1050
105,-306,3366,992
106,1084,3508,-1304
107,-1998,4742,-1208
109,-330,3222,-1488
110,-182,4000,-2530
111,-838,4144,-2978
113,166,3872,-4316
114,646,4184,-4812
116,176,3322,-4186
117,-1734,3816,-3964
118,-806,4462,-4526
120,648,4008,-5292
121,-666,3314,-4500
122,-2214,3720,-2016
124,-1984,3346,-2308
125,-230,3256,-2968
127,-794,3054,-1820
128,-1776,3752,-50
129,-1778,3510,878
131,-1956,2686,1102
132,-2112,3150,1334
133,-2018,3678,1110
135,-1202,2334,1850
136,-4074,4326,3488
138,-2392,3010,3042
139,-1858,4576,2016
140,-1368,3746,1514
142,-2654,3128,2326
143,-2812,3760,1426
144,-1976,3660,234
146,912,2776,-1422
147,-1044,4152,-1386
148,-1546,2876,-1588
150,-198,3530,-1426
151,-474,4034,-3526
153,80,3602,-4450
154,484,4102,-4696
155,652,2998,-4266
157,-1300,3154,-3928
158,-1640,4108,-4182
159,-50,3844,-5136
161,782,2998,-5226
162,-1554,3304,-2404
164,-1226,3708,-1688
165,-212,3436,-2468
166,-250,2992,-2320
168,-1462,3704,-1040
169,-2004,3988,618
170,-2090,2622,992
172,-2048,2702,1232
173,-2092,3432,1576
175,-672,1988,1082
176,-2568,3348,3228
177,-2518,2604,2742
179,-2840,4180,2934
180,-1632,2622,362
181,-1480,2662,1886
183,-2490,3598,1684
184,-456,3502,658
186,498,2590,-532
187,382,3108,-1256
188,-442,3544,-1390
190,142,3102,-1920
191,-600,3740,-3416
192,34,2692,-4220
194,246,3848,-4426
195,524,3502,-4480
197,-774,3256,-3902
198,-1598,3874,-4456
199,932,3386,-4852
201,874,3608,-4248
202,-1536,3854,-2944
203,-1132,3230,-2194
205,-336,3086,-2860
206,-948,2948,-2136
208,-1474,3648,-40
209,-1780,3614,-24
210,-1800,2612,240
212,-2046,2974,1710
213,-2144,3606,1880
214,-1304,2104,1170
216,-1402,4284,3300
217,-1532,2604,2392
219,-3326,3458,2020
220,-1254,3044,708
221,-272,2368,1954
223,-2522,3990,1032
224,-1550,3940,1146
225,526,2974,-768
227,-1244,4144,-1058
228,-802,3542,-1310
230,454,4036,-2044
231,-784,4528,-2684
232,218,2748,-4222
234,-350,4872,-4198
235,104,4290,-4280
237,418,3196,-4328
238,-2134,5152,-4236
239,22,4430,-4588
241,464,3092,-4642
242,-1532,3308,-4008
243,-1702,3232,-2086
245,-196,3834,-2426
246,-500,3438,-2138
248,-1334,3146,-1070
249,-2520,4278,424
250,-1896,2794,682
252,-2366,3274,824
253,-2580,3900,1610
254,-1562,1432,1208
256,-2988,3194,2684
257,-3514,3638,2768
259,-2526,4422,3048
260,-1590,4326,872
261,-188,2592,2016
263,-2208,3634,1762
264,-2832,4176,734
265,566,2730,-524
267,392,3298,-1494
268,-1480,3180,-1158
270,198,2866,-1618
271,-670,4366,-3206
272,714,2656,-4350
274,104,4146,-4362
