timestamp,accX,accY,accZ
0,-1444,2396,1760
2,-3092,3058,2886
3,-3446,4212,3028
4,-1206,3640,1032
6,-1676,3346,1890
7,-2294,3212,1218
9,-2446,3432,842
10,-206,3628,-230
11,498,2832,-930
13,-726,4038,-1554
14,-126,3394,-1518
15,406,3372,-2646
17,-450,3486,-4070
18,-608,4252,-3960
19,434,3556,-4552
21,-324,3088,-4226
22,-1438,3636,-4278
23,-1404,4054,-4540
25,816,3880,-4820
26,464,3152,-3878
28,-1608,3120,-2406
29,-1242,3632,-2148
30,-658,3758,-2488
32,-1446,3408,-2232
33,-1506,3532,-952
34,-1686,3452,818
36,-2270,3012,1058
37,-2226,2748,1732
39,-1476,3512,1448
40,-932,2180,1224
41,-1854,3540,3526
43,-3246,3618,3078
44,-2658,3936,794
45,-706,3224,1280
47,-1918,3320,1326
48,-2080,4044,1762
50,-502,3746,470
51,400,2622,-644
52,-106,3904,-1762
54,-374,4020,-1736
55,168,3700,-2502
56,-772,3642,-3236
58,-452,3342,-4398
59,262,4366,-4808
61,192,3644,-4488
62,-622,2912,-4006
63,-926,4494,-4224
65,858,3820,-5014
66,1000,3278,-4374
67,-1720,3668,-2816
69,-1314,3414,-2078
70,-504,3512,-2362
72,-1210,3254,-2102
73,-1424,3186,-198
74,-1754,3826,292
76,-2234,3292,1050
77,-2218,3074,1798
78,-2278,3738,1740
80,-1362,2940,1600
81,-2960,3182,3276
83,-3182,3280,3070
84,-3314,3186,1658
85,-554,3022,1110
87,-1926,3734,966
88,-2046,3088,1672
89,-1018,3992,924
91,-732,2652,-810
92,-506,3136,-1598
94,-1026,4592,-1748
95,666,2918,-2318
96,-564,3720,-2610
98,-814,3572,-4094
99,520,4494,-4336
100,568,4264,-4404
102,-996,3038,-4500
103,-1446,4122,-3680
105,166,4034,-4394
106,500,3178,-4696
107,-598,2666,-2538
109,-1356,3516,-1930
110,-784,3760,-1820
112,-954,3256,-2018
113,-1298,3454,-1088
114,-1634,3580,702
116,-1870,3084,1196
117,-2480,2754,1596
118,-2562,3238,1382
120,-750,2150,1050
121,-2274,3196,2938
123,-3606,3496,3124
124,-2598,4112,2976
125,-1102,2792,1126
127,-1994,3340,1146
128,-1920,3366,1656
130,-406,3686,698
131,162,2614,-466
132,-282,3110,-1536
134,162,3680,-1856
135,378,3542,-2082
136,-242,3204,-3406
138,-792,3742,-3848
139,88,4568,-4928
140,468,3438,-4734
142,-854,3300,-4632
143,-1430,3932,-4008
145,-110,4770,-4444
146,706,3784,-4718
147,-10,2938,-3232
149,-1930,3918,-2302
150,-944,3104,-2164
152,-1250,3238,-2266
153,-1772,3740,-496
154,-1284,3318,90
156,-2030,3358,980
157,-2502,2866,2054
158,-2046,3426,1654
160,-1182,2936,1806
161,-2790,3152,2718
163,-3094,3346,3260
164,-4062,4374,1842
165,-384,2712,1174
167,-1246,3242,962
168,-2092,3364,1614
169,-1040,3910,1298
171,-320,2650,-1122
172,-702,3364,-1510
174,-728,4170,-2212
175,174,3398,-2018
176,-100,3152,-3168
178,-1466,4034,-3970
179,1080,3444,-4886
180,1000,3588,-4684
182,-782,3246,-4256
183,-1242,3384,-3738
185,-234,4670,-4878
186,136,2328,-5206
187,-684,2582,-3690
189,-2110,4302,-1804
190,-208,2990,-1994
192,-306,2836,-2002
193,-1342,3636,-882
194,-1278,3224,212
196,-1406,3180,1184
197,-2238,2760,1766
199,-2260,3144,1406
200,-1106,2536,1166
201,-2042,3080,2414
203,-2702,3848,3196
204,-2860,4260,2864
205,-910,2994,1314
207,-322,3488,1170
208,-2240,3596,1214
210,-2106,3852,304
211,-86,3192,-218
212,-120,2842,-1534
214,-784,4370,-1676
215,588,3468,-2232
216,212,3112,-3284
218,-1210,4300,-3726
219,914,3274,-4656
220,1364,4374,-4522
222,-808,3414,-4572
223,-950,2754,-4046
225,-64,5104,-4782
226,1208,3180,-4948
227,274,3866,-3126
229,-2168,4292,-2228
230,-280,3252,-2516
231,-1346,3340,-2422
233,-1748,3538,-1526
234,-1194,3578,242
236,-2256,3508,886
237,-2412,2798,1700
238,-2018,3432,1712
240,-1538,3110,1214
241,-1404,2894,3010
242,-2966,2952,2908
244,-4238,4368,3304
245,-1644,2686,1062
247,-1140,3078,1512
248,-2614,3500,1262
249,-770,3554,1020
251,-84,3552,-50
252,378,2786,-1254
253,-922,4186,-1318
255,-4,3900,-1814
256,632,3494,-3048
257,-1298,4530,-3330
259,32,3908,-4732
260,878,3608,-4668
262,-766,4032,-4584
263,-860,3420,-3946
264,-360,4932,-4654
266,434,4394,-5006
267,-1108,2848,-3628
269,-2550,4312,-2552
270,-1464,2844,-2288
271,-406,3124,-2730
273,-1826,3572,-654
274,-1378,3254,318
