timestamp,accX,accY,accZ
0,-600,3210,-4140
2,-784,4450,-3878
3,-1420,4232,-2746
4,-1082,2614,-1854
6,-1332,3092,-2280
7,-1076,3526,-1040
8,-760,3176,-368
10,-1940,3074,400
11,-1994,2748,1374
13,-2036,3810,1466
14,-2152,3634,1436
15,-1306,2602,1742
17,-3336,4080,2528
18,-2484,3876,2632
19,-2106,3434,1280
21,-2176,3936,1264
22,-968,3304,844
23,-1468,2944,796
25,-2400,5126,446
26,-636,1804,-1398
28,-690,5164,-1196
29,-1208,4974,-2270
30,1080,2740,-1416
32,-1490,5456,-2942
33,-164,3784,-4258
34,-14,4114,-4232
36,-1260,4878,-4110
37,2,3052,-3430
38,-1126,4486,-4362
40,-1024,3830,-4304
41,-314,3668,-4046
43,-1294,4698,-3458
44,-1302,3768,-1968
45,-1142,3084,-2314
47,-1286,3396,-1894
48,-704,3266,-510
49,-1786,3454,78
51,-1990,2630,1018
52,-2018,3722,1136
53,-1888,3872,1448
55,-1808,2030,1086
56,-3516,3470,2594
58,-2612,4036,2366
59,-1774,3500,2070
60,-2022,3546,1016
62,-1652,2882,1228
63,-534,2292,1116
65,-1680,3784,996
66,972,2252,-1240
67,632,3016,-1098
69,-1530,5994,-1940
70,402,1476,-1784
71,-736,4262,-2656
73,1412,2672,-4078
74,916,2658,-4228
76,-834,3802,-4124
77,208,2608,-3744
78,-896,3942,-3864
80,-1208,3220,-4460
81,42,3008,-4068
82,-888,4358,-2700
84,-864,3122,-2310
85,-1118,2740,-1976
86,-1134,3156,-1598
88,-672,2956,-1058
89,-1258,3314,-348
91,-2216,2730,730
92,-2014,3172,1200
93,-1786,3804,1490
95,-1306,2238,1194
96,-2072,2440,1888
97,-3624,3772,1824
99,-2038,3356,2658
100,-1612,3596,1030
102,-1208,3304,1248
103,-552,2486,1040
104,-1260,4690,42
106,-732,3742,198
107,1354,2090,-1584
108,-350,5160,-1552
110,672,2070,-2008
111,-158,2458,-2874
112,-270,4146,-3400
114,1826,2164,-4230
115,120,4960,-4050
117,-374,3042,-4236
118,-198,2844,-4224
119,-886,4006,-4394
121,-30,3146,-4230
122,-216,4558,-3360
123,-1322,3720,-2504
125,-1012,2772,-1910
126,-1182,3430,-2246
128,-890,3214,-1240
129,-832,3144,190
130,-2374,3196,822
132,-1904,2924,916
133,-1902,3856,1260
135,-1946,3270,1484
136,-1064,1914,2628
137,-2904,4128,2148
139,-2242,3460,2238
140,-1752,3704,976
141,-1570,3476,938
143,-1022,3020,686
144,-1622,3942,856
146,-2026,4314,916
147,646,3196,-928
148,-890,5298,-1872
150,-160,3660,-2018
151,-782,3788,-2602
152,-1256,4898,-2630
154,996,3098,-3828
155,-320,4380,-4630
156,-978,3846,-4044
158,-218,3618,-3932
159,-1004,4264,-4148
161,-508,3634,-3910
162,-552,3804,-3918
163,-1378,3878,-3054
165,-1206,3130,-1682
166,-1138,3456,-2058
167,-1056,3230,-1374
169,-806,3182,-446
170,-1966,3448,684
172,-2180,3116,1096
173,-1758,3444,1020
174,-1818,3628,1324
176,-1150,2512,2052
177,-3622,3898,2622
178,-2550,3826,2474
180,-1530,3734,1386
181,-1894,3816,894
182,-1280,2392,1076
184,-1318,2890,780
185,-2088,4784,114
187,1174,1914,-1642
188,-394,4490,-1556
189,-1302,5144,-1994
191,-198,2532,-1686
192,-1292,4806,-3312
193,-512,2432,-4186
195,266,3928,-4280
196,-1214,4720,-4188
198,-210,2726,-3324
199,-888,3994,-4186
200,-982,3522,-4368
202,-112,3608,-3992
203,-1048,4084,-2654
204,-1210,2976,-1866
206,-1118,3092,-1852
207,-1038,3516,-1212
209,-782,3032,-1112
210,-1662,3058,-94
211,-2062,3044,1302
213,-2136,3536,1320
214,-1768,3720,1162
215,-960,1930,910
217,-3092,3378,2494
218,-3210,3174,2086
219,-1758,3334,2142
221,-2062,4138,696
222,-768,2432,618
224,-848,2694,996
225,-2242,4318,892
226,552,2686,-870
228,406,3016,-1636
229,-850,3666,-1696
230,316,2506,-1474
232,-954,4086,-2964
233,920,2848,-3990
234,982,3164,-4096
236,-360,4082,-4036
237,-126,2694,-3828
239,-748,3266,-3982
240,-834,3964,-4190
242,-114,3676,-3992
243,-408,3754,-2948
244,-1378,3186,-2330
246,-1408,3120,-1770
247,-732,3018,-1830
248,-1036,3302,-1380
250,-1098,2902,436
251,-2006,2908,994
253,-2282,3288,1294
254,-1714,3614,1252
255,-1256,2570,994
257,-1794,3842,2546
258,-2706,3832,2000
259,-1942,3068,1840
261,-1770,3972,548
262,-526,2468,758
264,-536,3668,816
265,-2360,5066,856
266,-252,2876,292
268,1096,5060,-1414
269,-752,4344,-1592
270,728,2280,-1492
272,-1294,4996,-2800
273,198,3132,-3068
