timestamp,accX,accY,accZ
0,-1458,4214,-2936
2,-1452,2908,-1822
3,-910,3610,-2006
4,-1002,3702,-1676
6,-714,3146,0
7,-2460,3674,906
9,-2358,3336,978
10,-1600,3210,1184
11,-2464,3976,1914
13,-1366,2446,2384
14,-2778,3648,2458
15,-2408,3514,2974
17,-2486,4056,1852
18,-1820,4198,950
20,-660,2178,1394
21,-2136,3398,694
22,-2552,5032,70
24,-284,2322,-2020
25,-972,5292,-1022
26,-746,4038,-1982
28,-700,3282,-2066
29,-1356,5624,-2992
30,128,1898,-4794
32,-856,4284,-4268
33,-1076,4994,-3888
35,26,3220,-3396
36,-868,3884,-4784
37,-1194,2898,-4462
39,272,3462,-3776
40,-974,4326,-2790
42,-1046,2682,-1914
43,-1010,2734,-2186
44,-1264,3980,-1574
46,-992,2940,-792
47,-2086,3266,970
48,-1908,2958,902
50,-1342,2838,1036
51,-2032,3378,1492
53,-1098,1798,1460
54,-2868,3032,2104
55,-2448,3330,2688
57,-1912,3080,2410
58,-2400,3822,1008
59,-142,2594,1182
61,-1184,2576,996
62,-2442,4488,628
64,682,2940,-366
65,932,3178,-1422
66,-298,2984,-2520
68,392,1824,-1738
69,-1148,5254,-2964
70,842,2506,-3984
72,1146,2416,-4176
73,-630,4576,-4266
75,282,2928,-3596
76,-632,3872,-4688
77,-594,3574,-4172
79,680,3120,-3668
80,-1320,4128,-3158
81,-1366,2960,-2516
83,-1152,3614,-1880
84,-1282,3800,-1660
86,-702,3124,-1734
87,-1490,3712,886
88,-2408,3386,1178
90,-1650,2618,1140
91,-2354,4072,1854
92,-1394,2478,1460
94,-1906,3652,2282
95,-2226,3464,2020
97,-1976,3110,1956
98,-2042,4266,942
99,-922,3094,906
101,-372,3132,624
102,-2628,5254,1064
103,-718,3366,-1666
105,-750,4942,-1302
106,-680,4678,-1584
108,700,2910,-2202
109,-1650,5448,-2676
110,64,3828,-3356
112,1794,4204,-4498
113,-1470,5014,-4348
114,-6,3230,-3486
116,-984,4216,-4342
117,-934,3814,-4634
119,-60,3378,-3956
120,-894,4430,-3050
121,-1324,3652,-2388
123,-1146,2700,-2042
124,-1474,3952,-1756
125,-1096,2734,-1238
127,-2036,3274,-14
128,-2986,4058,1024
130,-1274,2604,1024
131,-2088,3804,1286
132,-2318,1808,1518
134,-2856,3098,2578
135,-2684,4402,2292
137,-1406,2584,2526
138,-2272,3842,1206
139,-2084,2872,1146
141,-412,2210,1076
142,-2244,3600,836
143,-2242,3086,18
145,1478,2630,-1994
146,-894,5130,-1950
148,992,1308,-2034
149,-734,3472,-3440
150,316,3610,-3456
152,1740,1978,-4810
153,-978,5122,-4248
155,206,3020,-4066
156,-268,3292,-4706
157,-1212,3862,-4580
159,382,2988,-4096
160,196,4418,-2642
161,-1488,3304,-2684
163,-870,2176,-2100
164,-776,4482,-1438
166,-964,3676,-1280
167,-992,3286,794
168,-2932,3820,1344
170,-1916,3008,1184
171,-1248,3704,1610
172,-1366,2322,1236
174,-2476,2574,2702
175,-2474,3964,1946
177,-1388,2746,2800
178,-2272,4174,1098
179,-1666,3586,1358
181,32,2320,658
182,-2388,4842,710
183,-886,3622,-208
185,1156,4548,-1762
186,-1466,5354,-984
188,744,2016,-2016
189,-1558,5362,-2732
190,-392,4504,-3588
192,1946,1848,-4660
193,-1942,5228,-3906
194,-442,3476,-4454
196,474,4350,-4124
197,-1128,4134,-4724
198,-270,3124,-3592
200,-772,4268,-3074
201,-1516,4040,-2860
203,-646,2260,-2170
204,-1376,3942,-1668
205,-1598,4428,-1252
207,-1366,2498,-340
208,-2790,3926,942
210,-2682,2694,844
211,-1750,3416,1228
212,-2218,3366,1476
214,-3260,3130,2918
215,-2588,4242,1950
217,-2214,2790,2400
218,-2230,3668,1208
219,-2076,3188,1528
221,-386,2228,954
222,-1724,3148,240
223,-2262,3096,-310
225,1352,2070,-1844
226,-1180,5398,-2002
228,1140,1234,-1840
229,-586,3362,-2364
230,-1230,3480,-3770
232,1852,2054,-4648
233,-1078,4728,-4308
234,100,2602,-3966
236,-146,3212,-3820
237,-1014,4168,-4556
239,312,3062,-4046
240,-192,3484,-2910
241,-1202,3172,-2674
243,-462,2096,-2078
244,-932,4472,-1364
245,-1222,3714,-1308
247,-768,2448,362
248,-3216,4074,1466
250,-2172,3296,1146
251,-1386,3740,1524
252,-1344,2514,1124
254,-2142,2254,2860
255,-2526,4014,1998
257,-1590,3054,2710
258,-1904,3880,902
259,-1962,3800,1512
261,-368,2742,576
262,-2020,4646,684
263,-1168,4154,32
265,1258,3988,-1328
266,-1462,5496,-1374
268,584,2418,-1910
269,-1292,5014,-2652
270,-718,4558,-3456
272,1676,3554,-4458
273,-1532,5312,-3988
275,-714,3510,-3712
