timestamp,accX,accY,accZ
0,-3282,3620,2116
2,-1396,3546,908
3,-562,3194,556
4,-1830,2854,254
6,-1968,3584,1312
7,-1022,4162,-844
9,314,3312,-1456
10,-304,4250,-2074
11,82,3042,-2470
13,-956,4182,-1912
14,-522,4162,-3902
16,544,3372,-4672
17,-276,4708,-4552
18,-470,3114,-3876
20,-856,3116,-3764
21,-1162,3710,-4232
22,-290,3746,-3888
24,-736,4234,-3444
25,-1508,3774,-2328
27,-1280,2768,-1758
28,-1256,3774,-1260
29,-1416,2906,-1068
31,-1276,2804,-314
32,-1892,3292,1334
33,-1954,3024,1472
35,-2174,3430,1568
36,-2464,2318,964
38,-1618,2360,1968
39,-3374,4142,2060
40,-2514,3286,2790
42,-1684,3882,1390
43,-1342,2888,730
44,-1142,2774,994
46,-1752,3186,818
47,-412,3786,-148
49,1072,2680,-1720
50,-490,4134,-2540
51,366,2596,-1978
53,-278,3518,-2758
54,-938,3430,-3656
55,1168,2602,-4496
57,128,4104,-4530
58,-130,3444,-3944
60,-608,3012,-3674
61,-1140,3890,-4188
62,172,3544,-4428
64,-64,3962,-3116
65,-1212,3434,-2400
66,-1330,2616,-1782
68,-1086,3204,-1452
69,-864,3308,-1284
70,-948,2756,-626
72,-1622,3196,1136
73,-2068,3092,1466
75,-1886,3134,1678
76,-1890,3346,1068
77,-920,1866,1216
79,-2956,4182,2242
80,-2866,3188,2668
81,-2120,3644,1082
83,-1764,3138,458
84,-884,2496,1078
86,-1280,4132,1010
87,-1064,3764,424
88,578,2632,-972
90,-8,4476,-1802
91,336,2852,-2230
92,98,2952,-2156
94,-444,4132,-3132
95,1032,2562,-3914
96,484,3496,-4482
98,-200,3886,-4320
99,-320,3258,-3502
101,-766,3854,-4142
102,-412,3394,-4442
103,166,3678,-3486
105,-1568,4018,-2828
106,-1298,2768,-2326
107,-1328,3676,-1784
109,-1112,3804,-1186
110,-716,3136,-286
111,-1712,2830,458
113,-1936,2830,1148
114,-2196,3328,1408
116,-2362,3776,1456
117,-1532,2568,1010
118,-1552,4030,2762
120,-2382,3458,2050
121,-2996,3222,1418
122,-1520,3818,832
124,-198,2846,784
125,-1128,2926,700
127,-1826,4274,604
128,-618,3930,-1970
129,-500,4278,-1552
131,-362,3994,-2736
132,770,3874,-1884
133,-1022,5004,-2676
135,78,3240,-4806
136,1454,4102,-4264
138,-544,4804,-4538
139,-132,3386,-3660
140,-1084,3680,-4200
142,-1002,3444,-4584
143,62,3942,-4168
144,-1324,4878,-3174
146,-1742,2472,-2272
147,-1186,3048,-2048
149,-1118,3426,-1232
150,-1188,3228,-290
151,-1598,3022,158
153,-1726,2540,1146
154,-2062,3332,1592
156,-1980,3776,1566
157,-2400,2164,1228
158,-2902,3098,2340
160,-2692,3364,2500
161,-2474,3822,2274
162,-1852,3864,814
164,-832,2704,1384
165,-978,2734,164
167,-2054,3844,134
168,-92,2996,-360
169,400,3740,-1722
171,-896,2850,-2406
172,226,2822,-2154
173,-1000,4750,-3216
175,1042,2430,-3668
176,650,3196,-4702
178,-476,4072,-4456
179,-90,3298,-3770
180,-776,3706,-4370
182,-1068,3030,-4424
183,-74,3346,-4294
184,-718,4426,-2670
186,-1250,3096,-2282
187,-936,2346,-2406
189,-1182,4072,-1302
190,-1084,3428,-542
191,-1304,2856,470
193,-1888,2720,726
194,-1840,3160,1682
195,-2068,3800,1696
197,-2060,2918,1198
198,-1448,2302,2720
200,-2116,3502,1950
201,-3152,3448,2804
202,-1702,3552,1146
204,-780,3560,1302
205,-1278,2904,250
206,-1706,3536,362
208,-1088,4880,250
209,876,2776,-1766
211,-1130,4778,-2030
212,520,2742,-2136
213,268,4758,-2388
215,-538,4224,-3502
216,1200,2324,-4632
217,-646,5070,-4404
219,-190,3598,-4376
220,-512,3548,-3920
222,-1050,3894,-4444
223,-354,3358,-4300
224,-1100,4470,-3306
226,-1882,4220,-2668
227,-1112,2636,-2156
228,-1188,3558,-1572
230,-1466,3674,-514
231,-1242,2958,190
233,-1636,2772,632
234,-2144,2970,1780
235,-2268,3724,1848
237,-2158,3498,1136
238,-2698,3006,2458
239,-2792,3890,2314
241,-2744,3816,2458
242,-1480,3218,1006
244,-1384,3544,1374
245,-374,2530,-54
247,-1630,3440,1280
248,-954,3208,8
249,722,2870,-1620
251,-974,4746,-2308
252,-132,2320,-2558
253,-158,3686,-2436
255,-1182,3170,-3424
256,794,2886,-4326
257,-116,4206,-4674
259,-718,3052,-4284
260,-538,3364,-4070
262,-1024,4014,-4298
263,-190,3282,-4072
264,-374,3712,-3812
266,-1294,3580,-2462
267,-764,2620,-2140
268,-1072,2810,-1264
270,-1466,3496,-426
271,-846,2778,-644
273,-1392,2888,672
274,-2116,3182,1572
