timestamp,accX,accY,accZ
0,320,2226,-5310
2,-440,3410,-4258
3,-2710,3732,-1854
5,-50,2548,-2354
6,-160,3056,-3328
7,-1024,3610,-1464
9,-1358,3334,-148
10,-2192,3794,860
11,-1620,2394,782
13,-1500,3016,1166
14,-1982,2738,1278
15,-980,1738,1604
17,-4180,4256,2714
18,-2274,2572,2622
20,-2010,4344,2130
21,-1948,2196,1132
22,-1910,2580,2696
24,-2820,4004,1198
25,408,3128,40
26,932,2998,-782
28,-190,3940,-1026
29,-336,2910,-1308
31,332,2746,-1684
32,-1346,4630,-3698
33,1214,2242,-4424
35,992,3184,-4054
36,-470,3368,-3868
37,-390,2290,-3656
39,-1464,4412,-5000
40,1610,2898,-5310
41,1076,2350,-4898
43,-2130,4676,-2416
44,-798,2870,-1810
46,370,2680,-3300
47,-1140,3496,-2552
48,-1076,3362,-786
50,-1850,3696,520
51,-2050,2562,862
52,-1370,2380,1262
54,-1738,3878,1358
55,-1138,1854,1334
57,-2334,4590,3566
58,-1758,2568,2324
59,-2472,3336,1354
61,-1964,3190,574
62,-534,1900,2240
63,-2704,3486,1238
65,-830,3110,822
66,782,3146,-436
68,584,4254,-1532
69,-798,3526,-1026
70,0,3056,-1878
72,-870,3990,-3178
73,-102,3386,-4252
74,398,3914,-4410
76,-30,3616,-3952
77,-662,2756,-4066
78,-1482,4324,-4216
80,688,4044,-5128
81,1034,3380,-4710
83,-1902,3642,-3004
84,-1910,3878,-2036
85,-664,3176,-2818
87,-766,3200,-3102
88,-1336,3652,-1932
89,-1572,3616,216
91,-1964,3052,716
92,-1938,2522,1248
94,-1810,3862,1396
95,-1148,3030,1410
96,-640,4076,3448
98,-2848,3710,2704
99,-2556,2544,2196
100,-1932,4452,782
102,156,2290,1000
103,-2134,4030,1412
105,-2666,3732,1418
106,582,3110,-642
107,-242,3680,-1750
109,-1758,4208,-1212
110,-126,3334,-1734
111,-752,3986,-2262
113,-1028,3718,-4112
114,120,4218,-4422
116,526,4092,-4334
117,-126,3150,-3990
118,-1568,3976,-3762
120,-70,4242,-4600
121,1074,3210,-5112
122,-1050,3260,-4080
124,-2134,3838,-1984
125,-316,3404,-2560
126,-562,3176,-2734
128,-1040,3716,-1156
129,-1550,3648,-20
131,-1622,3456,478
132,-1850,2552,982
133,-2168,3418,1606
135,-1588,3802,1164
136,-1512,2342,1940
137,-4740,4702,3494
139,-2182,3222,3050
140,-1320,4474,1410
142,-1492,3492,1746
143,-2754,3246,2114
144,-2786,4248,1376
146,-1476,2936,-594
147,354,2926,-1148
148,-1132,4176,-1070
150,134,3066,-1714
151,-142,3804,-1910
153,-1150,2802,-4166
154,324,3150,-4168
155,618,4340,-4774
157,-474,3578,-3938
158,-1016,3146,-4152
159,-828,3546,-5132
161,704,3726,-4478
162,-240,3986,-4304
164,-1424,3204,-2576
165,-370,2450,-2644
166,-288,2850,-2304
168,-1676,4180,-1652
169,-1770,3844,-548
170,-1500,2998,190
172,-1964,3050,812
173,-2404,3436,1806
175,-1422,2398,1216
176,-802,1660,1204
177,-3442,4054,2432
179,-2794,3046,3126
180,-2090,4084,2408
181,-2070,2324,1260
183,-1972,2932,2422
184,-2280,4050,770
186,310,3282,332
187,534,2704,-654
188,-446,4234,-848
190,130,2898,-1464
191,150,3374,-2586
192,-370,3522,-3512
194,510,2484,-3918
195,82,5256,-3968
197,-292,4132,-4062
198,-102,2814,-4448
199,-922,4068,-4850
201,502,3516,-4604
202,342,3484,-3684
203,-1474,3414,-3016
205,-408,2244,-2790
206,-250,3906,-2304
208,-1768,4516,-2004
209,-1616,3644,-770
210,-2052,3274,-126
212,-1824,3130,606
213,-1860,3682,1744
214,-2022,3044,1564
216,-930,1470,2090
217,-2996,4616,2886
219,-1858,3154,2410
220,-2556,4322,1800
221,-1152,2924,1006
223,-314,2236,1540
224,-2286,4138,982
225,-1240,3782,720
227,508,2788,-1250
228,-1630,4272,-900
230,-590,3298,-1480
231,324,4334,-2208
232,-916,4486,-3124
234,500,2578,-4128
235,-604,4780,-4114
236,-1134,4892,-3948
238,178,3282,-4528
239,-862,3898,-4654
240,-418,3922,-4796
242,644,3586,-3838
243,-1120,3844,-3366
245,-806,2856,-2912
246,-670,3210,-2476
247,-1580,4308,-1926
249,-1560,3322,-680
250,-1578,3114,-568
251,-2218,3290,862
253,-1938,3412,1556
254,-2118,3462,1632
255,-1530,2100,1752
257,-2818,3980,2588
258,-2130,3710,2324
260,-1984,4250,2552
261,-1790,3594,1234
262,-360,2062,2190
264,-2702,4352,848
265,-1946,3854,384
267,-144,2868,-642
268,-760,3858,-1274
269,-1350,3860,-1574
271,-234,3560,-1868
272,-884,4702,-2666
273,-176,2448,-3886
