timestamp,accX,accY,accZ
0,-1976,2902,1804
2,-1206,3262,2618
3,-2208,3388,2600
4,-2484,2996,3486
6,-2502,3976,2022
7,-374,2134,1260
9,-1526,3886,1490
10,-2384,3874,1086
11,-1018,3866,-214
13,442,3388,-1156
14,-1642,4236,-566
15,-208,2980,-1728
17,-468,4502,-2484
18,-132,3894,-3400
20,132,3120,-4574
21,-1050,5338,-3962
22,-60,4770,-4702
24,-332,2834,-4978
25,-1244,4078,-4920
26,-420,3932,-4434
28,90,3578,-4378
29,-900,3244,-3118
31,-280,2714,-2498
32,-760,3808,-2348
33,-1356,3480,-1492
35,-1436,3596,-796
36,-1954,3644,-170
37,-1530,2940,1286
39,-2406,3210,1696
40,-2654,2366,1562
42,-874,1794,1778
43,-2640,3548,2750
44,-2710,3270,3214
46,-3050,4094,3216
47,-1964,3624,1066
48,-1348,2944,1998
50,-2746,4064,1234
51,-2218,3368,868
53,766,2548,-614
54,-854,3842,-1058
55,230,2804,-1872
57,56,3730,-1784
58,-288,4242,-3394
59,42,3412,-3940
61,90,3832,-4690
62,314,3560,-4668
64,-202,3196,-4414
65,-1176,4444,-4438
66,212,4382,-4692
68,1222,3058,-5362
69,-234,3610,-3058
70,-1560,3864,-2364
72,-712,3596,-2766
73,-1008,3220,-2300
75,-1416,3392,-1716
76,-1836,3698,398
77,-1800,2926,576
79,-1906,2670,1800
80,-2128,3392,1724
81,-916,2136,1350
83,-1892,4134,2874
84,-3090,3426,2942
86,-2764,3498,2274
87,-836,3040,674
88,-858,2178,1586
90,-2412,3484,1506
91,-1444,3748,1158
92,460,2826,-60
94,764,4296,-1298
95,-1210,3910,-1110
97,528,2882,-1930
98,-222,4272,-3266
99,-356,3800,-3556
101,522,3898,-4844
102,572,3972,-4466
103,-110,3234,-4142
105,-1478,4178,-4504
106,-196,4594,-5028
108,1264,2896,-5184
109,-1538,3498,-3562
110,-2390,3826,-2174
112,-196,3380,-2688
113,-414,3332,-2772
115,-1556,3540,-806
116,-1856,3732,388
117,-1748,3404,1246
119,-2090,2780,1336
120,-2148,3306,1700
121,-1396,1994,1756
123,-3188,3586,2884
124,-3714,4208,2974
126,-2412,3630,3018
127,-1954,4354,1372
128,-500,2366,2344
130,-3070,3766,1908
131,-2568,3420,790
133,1450,2292,-892
134,-290,3752,-1404
135,-1780,2906,-1522
137,394,2744,-1720
138,-532,4506,-3024
139,670,2868,-4314
141,950,2884,-4768
142,50,4170,-4364
144,68,2534,-3812
145,-978,3212,-4808
146,502,4314,-5232
148,1890,2662,-5278
149,-706,4406,-2960
150,-1852,3448,-2032
152,-78,2790,-2558
153,-1054,3584,-2520
155,-1370,3142,-1650
156,-1702,3784,446
157,-1804,2994,850
159,-1680,2468,1218
160,-2088,3478,1694
161,-1110,2358,1390
163,-1732,2518,3272
164,-3038,3386,2816
166,-2426,2944,2978
167,-2410,3704,728
168,-458,2068,1448
170,-2324,3086,1564
171,-1658,3858,994
172,616,2884,48
174,1238,4536,-1090
175,-1484,4004,-1048
177,382,2598,-1850
178,-500,4728,-3032
179,-484,4036,-3564
181,1072,3728,-4696
182,-54,4508,-4314
184,74,3036,-3946
185,-1576,4572,-4524
186,-264,4888,-5180
188,1690,2654,-5058
189,-2166,4140,-3498
191,-2552,3152,-1956
192,172,3116,-3094
193,-624,3396,-2440
195,-1274,3548,-694
196,-2190,3906,594
198,-1926,2592,1202
199,-1756,2758,1006
200,-2058,3524,1502
202,-774,1750,1680
203,-3330,3648,3064
205,-3812,2580,2804
206,-2240,3632,2740
207,-2194,4814,684
209,-1282,2164,2402
210,-2954,3778,1416
212,-2976,3406,758
213,1196,2650,-766
214,168,3492,-1446
216,-946,3290,-1132
217,432,2656,-1856
218,-406,4888,-3422
220,428,3346,-4082
221,1194,2860,-4714
223,-366,4230,-4068
224,74,2484,-4098
225,-1366,5112,-5096
227,786,4094,-5356
228,1910,2456,-4358
229,-2914,4604,-2870
231,-1936,3618,-1890
232,142,3454,-3200
234,-882,3418,-3046
235,-1140,3016,232
236,-2208,3998,740
238,-2058,2882,734
239,-1882,3000,1240
241,-1786,3822,1796
242,-1226,2528,1936
243,-4524,4526,3810
245,-2434,3000,2682
246,-2622,4594,2244
247,-1628,3798,542
249,-214,2092,2368
250,-2758,3918,1760
252,-2022,3668,1118
253,512,2752,-1284
254,-1092,4402,-1466
256,-1400,3856,-1614
257,106,3836,-1534
258,-376,3940,-3026
260,-124,3808,-4268
261,368,4614,-4734
263,656,3832,-4278
264,158,3258,-4276
265,-1436,4080,-4516
267,296,4206,-5012
268,480,3408,-5462
270,-1416,3200,-2570
271,-1968,3788,-2012
272,-442,3690,-2566
274,-484,3006,-2646
275,-1560,4026,-934
