timestamp,accX,accY,accZ
0,-320,3226,-874
2,406,2590,-1718
3,422,4056,-2366
4,818,2406,-2324
6,-490,3768,-3368
7,698,2942,-3900
9,848,3288,-4446
10,-404,4010,-4566
11,-88,2476,-4230
13,-946,3598,-4058
14,-396,3944,-4294
15,-108,2986,-3918
17,-660,3286,-2770
18,-1300,3334,-2262
19,-656,3318,-2016
21,-1242,3242,-1400
22,-1628,2934,-376
24,-1222,3086,866
25,-2152,3204,1146
26,-2504,3310,1314
28,-2438,3128,1452
29,-996,2242,1314
30,-2816,3064,2404
32,-3298,3278,2366
33,-2146,3954,2376
34,-1144,3510,690
36,-1936,3618,1532
37,-1282,3180,366
39,-736,3760,122
40,-514,3782,-872
41,-68,2932,-1504
43,-392,4456,-1990
44,748,2672,-2290
45,88,4586,-2730
47,-40,3508,-3728
48,746,2944,-4040
49,284,4710,-4210
51,-182,2804,-4074
52,-558,2984,-3722
54,-648,4308,-4784
55,62,3336,-3748
56,-384,3708,-2994
58,-1416,3462,-2558
59,-608,3100,-1476
60,-926,3934,-1552
62,-1752,3170,-642
63,-928,2486,274
65,-2228,3720,1210
66,-2286,3276,1364
67,-2242,3610,1486
69,-1434,2892,1150
70,-1264,2464,2538
72,-2574,3090,2300
73,-3116,3612,2360
74,-1542,3062,440
76,-828,3324,642
77,-2580,4074,600
78,-910,2950,1078
80,-1172,5224,150
81,-80,2456,-1948
82,-680,4702,-2004
84,106,4082,-2418
85,-548,3638,-2722
87,-1008,4210,-3224
88,398,3610,-4564
89,-268,4832,-4376
91,-342,3500,-4114
92,-396,3904,-3496
93,-1050,4678,-4108
95,-90,3770,-4234
96,-774,3418,-3622
98,-1636,3768,-2792
99,-1306,3440,-1612
100,-1240,3722,-1510
102,-1290,3052,-814
103,-1240,3150,-44
104,-2086,3686,1150
106,-2238,3142,1248
107,-2566,3724,1730
109,-1768,3684,1350
110,-930,2702,2198
111,-3110,3460,2234
113,-3068,3316,2506
114,-1146,3642,1300
115,-642,3110,350
117,-1992,3040,382
118,-1054,2906,1148
120,-1068,4002,-880
121,358,2852,-1112
122,-302,3838,-1854
124,-160,2922,-2236
125,-106,3142,-2598
126,-1182,4182,-3692
128,24,3376,-4020
129,268,4306,-4846
130,-326,4350,-3944
132,-814,3310,-3952
133,-1480,4326,-3504
135,-506,3404,-4018
136,-132,3308,-3806
137,-1296,3758,-2282
139,-894,2840,-1948
140,-1350,3418,-1292
141,-1334,2956,-1304
143,-804,2546,-980
144,-1930,3462,394
145,-2398,2724,1382
147,-2258,3068,1388
148,-2626,4026,1028
150,-828,2168,1452
151,-2902,3242,2288
152,-2814,3518,2676
154,-1684,4206,2060
155,-964,3392,432
157,-2238,3770,1050
158,-750,2390,-42
159,-1404,5098,-80
161,-146,3112,-842
162,830,2404,-2024
163,-688,4230,-2168
165,572,2578,-2312
166,-668,3580,-3350
167,380,3242,-3786
169,1036,3506,-4714
170,28,3862,-4434
172,-518,2742,-3940
173,-1362,3574,-4036
174,-160,3766,-4404
176,364,3054,-4326
177,-680,4022,-2698
178,-1642,3084,-1800
180,-918,2990,-1342
181,-1538,3192,-1890
183,-1092,2786,-946
184,-1412,3254,1090
185,-2460,3136,1524
187,-1876,2492,910
188,-2444,3950,1570
189,-848,2552,1126
191,-1822,2476,2118
192,-2850,3284,2578
194,-2726,3892,2756
195,-1166,3248,454
196,-1028,3262,608
198,-1588,3062,848
199,-1606,4020,840
200,-520,3780,-910
202,350,3732,-1820
203,-370,4554,-2090
205,228,3046,-2696
206,-58,4276,-2534
207,-162,3804,-3608
209,656,3084,-4848
210,-622,4598,-4568
211,-348,3410,-3874
213,-430,3836,-3494
214,-978,4042,-4592
215,20,3390,-3936
217,-1050,4050,-2972
218,-1678,3630,-2390
220,-1308,3064,-1570
221,-1152,4000,-1300
222,-1114,3260,-886
224,-1810,3326,292
225,-2164,3362,1244
227,-1920,3178,1460
228,-2758,3960,1784
229,-1502,3054,1012
231,-894,3414,2364
232,-2684,3584,2094
233,-3028,3136,2000
235,-1520,3812,1086
236,-522,3210,132
237,-1256,2684,620
239,-1672,3340,296
240,-1542,4798,-1338
242,840,2790,-2032
243,-1088,4904,-1696
244,166,2328,-2120
246,-550,4102,-2748
247,-1210,4832,-3802
249,816,2946,-4684
250,-462,4992,-4614
251,-518,2686,-3500
253,-1002,3328,-3578
254,-1530,4140,-4396
255,-626,3314,-4282
257,-338,4172,-3504
258,-1736,4200,-1956
260,-1356,2416,-1834
261,-998,3880,-1548
262,-1124,3094,-1110
264,-1476,2818,-220
265,-2072,3084,1400
266,-1956,3024,1376
268,-2636,3666,1652
269,-2332,2678,824
271,-1660,2828,1894
272,-2786,3580,2282
273,-3312,3772,2776
