timestamp,accX,accY,accZ
0,-2484,4646,1126
2,-1742,2174,-1122
3,390,3428,-1072
5,-568,5252,-2142
6,-114,1932,-1908
7,-792,3804,-2768
9,-1198,4940,-4396
10,1150,2952,-4034
11,-508,4790,-4662
13,-1554,2636,-4016
14,-100,3426,-4104
15,-1014,4692,-4716
17,-92,2742,-4104
18,-622,3670,-4002
20,-1174,3852,-2036
21,-740,2264,-2034
22,-1378,2580,-1746
24,-1320,3470,-766
25,-1006,3264,-400
26,-2024,3146,1142
28,-1878,2882,1196
29,-1808,3522,1368
31,-2130,2216,1446
32,-1742,1622,1456
33,-4058,3878,1964
35,-2086,3442,2832
36,-2144,4048,1598
37,-2454,2492,856
39,-230,2232,1086
40,-1878,3856,826
42,-728,3604,-246
43,774,2504,-714
44,786,3700,-1102
46,166,3032,-1970
47,150,2312,-1824
48,-1388,4168,-4116
50,1806,2560,-3802
51,702,3662,-4012
52,-618,3548,-4428
54,156,2678,-3778
55,-686,4208,-4784
57,-292,3176,-4372
58,-88,3074,-3436
59,-1076,4292,-2822
61,-1214,2840,-2186
62,-936,2862,-2006
63,-1074,3342,-1754
65,-994,3258,-472
66,-1788,3208,1076
68,-2206,2814,1068
69,-1626,2986,1480
70,-2014,3806,1988
72,-1244,1538,1548
73,-3088,4248,2684
74,-2192,4094,2182
76,-1558,3652,2644
77,-2240,3594,754
79,-922,2144,1378
80,-104,2340,1708
81,-1350,4210,62
83,106,2276,-806
84,916,5152,-1960
85,-440,4284,-1240
87,576,1902,-2582
88,-1118,4958,-3166
89,1394,3112,-4234
91,1382,4682,-4716
92,-1608,4442,-4018
94,104,2638,-3960
95,-110,4446,-4758
96,-668,3596,-5010
98,56,2930,-3616
99,-1430,4450,-3040
100,-1248,3600,-2550
102,-738,2750,-2154
103,-1282,3898,-1776
105,-998,3482,-574
106,-2198,3208,554
107,-2594,3384,1324
109,-1882,3230,1138
110,-2148,4292,1800
111,-1586,2508,1816
113,-1544,3512,3104
114,-2806,4410,2084
116,-2042,3606,1624
117,-2376,3992,962
118,-1254,2772,914
120,-530,3528,1498
121,-2450,4458,982
122,-626,3346,-840
124,778,3370,-2558
125,-790,4718,-1774
127,-142,2514,-1704
128,-1004,4300,-2768
129,-168,3944,-4304
131,776,3704,-4692
132,-1082,5014,-4106
133,-1136,3800,-3930
135,-438,3656,-4318
136,-754,4290,-4550
137,-184,3196,-4046
139,-828,3980,-3666
140,-1640,4260,-2284
142,-936,2710,-2154
143,-1224,3126,-2080
144,-1190,3310,-530
146,-1510,3256,60
147,-2316,3242,1330
148,-1532,2628,908
150,-1728,3858,1634
151,-2100,4182,1394
153,-2816,1972,2460
154,-3472,3984,2584
155,-2492,3852,2690
157,-1962,3914,1204
158,-1578,3276,1344
159,-544,2668,774
161,-2344,4576,1726
162,-1216,2540,-676
164,924,2676,-1928
165,-660,4826,-1510
166,-414,2252,-2018
168,-958,3688,-2566
169,-1070,4684,-4046
170,1242,3016,-4386
172,-476,4572,-4630
173,-1272,2742,-3926
174,-110,3296,-3990
176,-650,4162,-4970
177,-48,3220,-4110
179,-544,3846,-3658
180,-1420,3542,-2526
181,-740,2414,-2416
183,-1122,2672,-1772
184,-1406,3738,-872
185,-1070,3096,-538
187,-1878,2982,1316
188,-1914,2676,1258
189,-1776,3268,1460
191,-2198,2678,1398
192,-1200,1276,1372
194,-3582,3276,2290
195,-2340,3652,2714
196,-1972,4072,1920
198,-1992,2516,436
199,-834,2398,1322
201,-1790,3688,1258
202,-2192,3756,-62
203,248,2944,-702
205,976,2880,-1420
206,-320,3842,-1804
207,40,2632,-1842
209,-882,4196,-4010
210,1308,2932,-4000
211,948,3390,-4154
213,-984,4216,-4262
214,270,2602,-3886
216,-400,4012,-4608
217,-422,3684,-4476
218,16,3402,-3524
220,-1610,4362,-2714
221,-1428,2898,-2256
222,-888,3408,-2054
224,-1158,3726,-1484
225,-1238,3478,200
227,-1986,3008,606
228,-2230,2886,1304
229,-1694,3920,1792
231,-2222,3978,2082
232,-1134,1708,2150
234,-3412,3936,2680
235,-2524,3874,2340
236,-2354,4138,1488
238,-1066,2838,380
239,-848,2298,1166
240,-1100,4376,1536
242,-1518,3928,798
243,42,2994,-1262
245,58,4076,-2314
246,-604,4332,-1000
247,154,3446,-2482
249,-664,4310,-2866
250,596,3538,-3836
251,-40,4254,-4962
253,-1168,4500,-4090
254,-168,3154,-3828
256,-568,3774,-4120
257,-780,3580,-4312
258,-494,4038,-4126
260,-966,4304,-2938
261,-1554,3624,-2424
262,-1100,2810,-2184
264,-892,3856,-1474
265,-1432,3292,-598
266,-1850,2938,148
268,-1854,2880,1214
269,-1976,3624,1514
271,-2370,3902,1842
272,-1520,1782,1276
273,-3242,3516,2884
