timestamp,accX,accY,accZ
0,-2072,4364,186
2,-408,3514,-1948
3,-420,4788,-1724
4,-754,4282,-2188
6,594,1848,-2166
7,-1008,5254,-3020
9,388,3586,-3746
10,1262,4108,-4352
11,-1208,4710,-4228
13,30,3290,-3886
14,-864,3984,-4346
16,-986,3642,-4226
17,-166,3678,-3786
18,-1054,4364,-2942
20,-1514,3482,-1922
21,-1220,3146,-1738
22,-1266,3380,-1726
24,-1134,3382,18
25,-1780,3038,658
26,-2144,2788,1146
28,-2128,3558,1612
29,-1638,3712,1942
31,-1786,2050,1780
32,-3454,3656,2632
33,-2028,3954,2084
35,-2278,3668,1638
36,-2076,3502,794
37,-1342,3196,730
39,-940,3492,792
40,-1840,3966,544
42,-1042,2584,-882
43,-80,3992,-1648
44,-724,5080,-2374
46,436,2466,-2698
47,-1152,4584,-2386
48,-252,4322,-3800
50,318,3308,-4786
51,-1044,4682,-4200
52,-848,3070,-4192
54,-586,3826,-4100
55,-736,3940,-3800
57,-188,3242,-3668
58,-862,4224,-3358
59,-1214,2920,-2448
61,-1104,2556,-1692
62,-1472,3474,-1014
63,-1106,3322,-612
65,-1574,3222,-8
66,-1860,3020,944
68,-2086,3430,1474
69,-2142,3980,1692
70,-1840,1712,1196
72,-2606,2662,2142
73,-3280,4278,2046
74,-2052,3648,2314
76,-1840,3690,840
77,-1816,3018,1204
78,-708,2838,800
80,-1484,3242,56
81,-1716,3400,-54
83,1106,2156,-2054
84,-558,4754,-2224
85,930,1914,-2222
87,-534,3210,-2174
88,-1192,3510,-3560
89,1736,2258,-4696
91,-546,4304,-4276
92,-182,3112,-3898
94,10,2966,-3906
95,-864,4116,-4222
96,0,2996,-3940
98,-382,3442,-3432
99,-1326,3556,-2498
100,-748,2530,-2040
102,-1056,3194,-1534
103,-1396,3374,-964
104,-1310,3346,52
106,-1716,2880,874
107,-2084,2848,1008
109,-2036,3498,1914
110,-1604,2710,1552
111,-1454,1768,1570
113,-3542,3502,2086
114,-2070,3630,2644
116,-1686,3948,782
117,-1984,2892,936
118,-998,2390,1034
120,-964,3560,794
121,-552,3214,-402
122,568,2298,-1148
124,-562,5006,-1746
125,450,2634,-1936
127,168,2686,-2468
128,-178,4144,-3764
129,1398,2352,-3932
131,212,4854,-4360
132,-906,3886,-3960
133,194,3030,-4404
135,-1018,4172,-4602
136,-302,3366,-4104
138,-248,4096,-3308
139,-1482,3960,-2864
140,-654,2882,-1796
142,-1348,3726,-1942
143,-1698,3642,-1102
144,-1032,3148,152
146,-2108,3368,732
147,-2392,3172,1022
149,-1806,3760,1470
150,-2204,3716,1886
151,-1182,1758,2300
153,-3346,4134,2386
154,-2124,3910,1922
155,-1836,3852,1042
157,-1756,3422,792
158,-1216,2902,1032
160,-1302,3170,882
161,-1690,4900,246
162,-224,1962,-2432
164,-682,4670,-1214
165,-928,4684,-2024
167,-548,3232,-2212
168,-1090,5200,-3388
169,172,2318,-4670
171,-572,4436,-4040
172,-1350,4882,-3854
173,38,2826,-3860
175,-694,4050,-4556
176,-1036,3124,-4156
177,-472,3364,-3300
179,-1260,4156,-2304
180,-752,2852,-2040
182,-916,3138,-1956
183,-1458,3498,-1184
184,-1450,3308,40
186,-1694,3138,614
187,-2422,3026,938
188,-1790,3326,1236
190,-1768,3900,1554
191,-1356,1680,1690
193,-3362,3202,2594
194,-2468,3630,2556
195,-1520,3812,1824
197,-1830,3740,794
198,-1016,2396,1058
200,-1128,3650,908
201,-1810,3476,-428
202,604,2434,-1084
204,-276,3812,-1572
205,178,2876,-1970
206,-8,2628,-2588
208,-1336,4634,-3768
209,1242,2472,-3916
210,320,3540,-4586
212,-1176,3762,-3960
213,430,2700,-3992
215,-680,3656,-4514
216,-524,3464,-4184
217,14,3378,-3582
219,-1100,3948,-2786
220,-822,2696,-2406
221,-856,2578,-1802
223,-1188,3954,-1030
224,-1126,3214,-674
226,-1384,3152,612
227,-2474,3398,1020
228,-1736,3352,1542
230,-2016,3738,1456
231,-1456,2032,1130
233,-1878,3992,2518
234,-2396,3816,2148
235,-2334,3594,1238
237,-1350,3344,276
238,-876,2826,928
239,-1512,2982,874
241,-1752,4722,568
242,-242,3646,-292
244,1018,4232,-1566
245,-534,4176,-2386
246,424,2632,-2038
248,-980,4776,-3130
249,216,3210,-3652
250,1374,4496,-3964
252,-862,4658,-4360
253,-298,3134,-3692
254,-910,3820,-4258
256,-936,3922,-4116
257,240,3902,-3446
259,-1282,4254,-3106
260,-1618,3206,-2084
261,-1018,3344,-1742
263,-1310,3548,-1608
264,-1110,3258,-68
266,-1500,3016,306
267,-2316,3042,1126
268,-1902,3260,1608
270,-2010,3982,1818
271,-2042,3346,1388
272,-2798,2880,2284
274,-2816,4144,2254
