timestamp,accX,accY,accZ
0,-148,2428,-1710
2,-1568,4934,-4174
3,1876,2310,-4104
5,446,3994,-5070
6,-1632,3290,-4316
7,214,2560,-3756
9,-604,3986,-4880
10,-1080,3224,-4366
11,-102,3282,-4244
13,-1016,4402,-2990
14,-976,2750,-2486
15,-930,2870,-2024
17,-1270,3502,-1740
18,-942,3346,-570
20,-1464,3214,1124
21,-2392,2922,1010
22,-1424,2722,924
24,-1604,3938,1952
25,-1302,1642,1474
26,-3098,2162,2564
28,-2484,4240,2480
29,-1494,3658,2564
31,-2440,3928,660
32,-1012,2136,1350
33,-426,2408,1080
35,-2412,4244,390
36,12,2204,-920
37,762,2762,-1578
39,-244,4146,-1394
40,354,2056,-1766
41,-1038,4762,-3046
43,1490,3068,-4204
44,1246,3080,-4640
46,-1420,4380,-4192
47,252,2536,-3910
48,0,3306,-4478
50,-616,3756,-5092
51,56,3024,-4080
52,-504,4662,-3006
54,-1376,3672,-2496
55,-468,2256,-2076
57,-1338,3768,-1770
58,-1250,4024,-990
59,-940,3008,200
61,-2612,3306,1100
62,-1902,2750,988
63,-1660,4324,1832
65,-1582,2432,1162
66,-1546,1462,2670
67,-2958,4578,2340
69,-1934,3512,2852
70,-1960,3960,1112
72,-1090,2558,574
73,-410,2140,1524
74,-2490,4356,1188
76,-570,3176,-40
77,306,3274,-2088
78,-464,4256,-2070
80,-326,3772,-1458
81,-172,4006,-2802
83,-408,3934,-3710
84,1508,2976,-4478
85,-722,4776,-4400
87,-1126,4102,-4048
88,232,3408,-4322
89,-992,4308,-4390
91,-386,3692,-4062
92,-588,4024,-3842
93,-1608,4436,-2674
95,-1330,2316,-2428
96,-1104,3262,-1870
98,-1098,3742,-1666
99,-1226,3158,-24
100,-2018,3094,748
102,-2334,3114,872
103,-2010,3832,1796
105,-2078,3832,1894
106,-1066,2224,2488
107,-3178,3974,2524
109,-2730,4036,2654
110,-2516,4108,1534
111,-1276,3116,532
113,-974,2752,1324
114,-2310,4598,1244
115,-1592,4220,-1046
117,792,2738,-1474
118,-574,4558,-1480
120,-468,2520,-1750
121,-720,3486,-2654
122,-810,4528,-4290
124,848,3106,-3910
125,-192,4304,-4762
127,-1130,4348,-3834
128,-24,3216,-4056
129,-666,3898,-4302
131,-644,3384,-4326
132,-334,3878,-4028
133,-1288,4448,-2406
135,-836,2328,-2602
136,-1122,2712,-2048
138,-1050,4150,-758
139,-1088,3090,-880
140,-1828,2628,980
142,-1910,3006,1252
143,-1906,3610,1692
144,-2054,2302,1136
146,-1340,1838,1396
147,-3254,3580,2512
149,-2294,3484,2554
150,-2212,3684,1934
151,-1916,2618,884
153,-604,2360,1346
154,-2082,3642,1448
155,-2400,3758,96
157,758,2832,-780
158,604,3258,-1418
159,-596,3584,-1774
161,144,2662,-1742
162,-964,4140,-4008
164,1148,2862,-4220
165,660,3500,-4092
166,-834,3982,-4192
168,112,2584,-4032
169,-656,3794,-4750
171,-436,3630,-4568
172,-24,3874,-3610
173,-1418,3992,-2666
175,-1402,2492,-2360
176,-1014,3746,-1954
177,-962,3874,-1240
179,-1002,3462,-4
180,-1852,2826,578
182,-1966,2850,1358
183,-1682,4004,1810
184,-1876,3338,1558
186,-1204,1710,2376
187,-2500,4300,2806
188,-2692,3696,2574
190,-2238,3562,1718
191,-712,2872,380
193,-550,2150,1352
194,-1436,4226,948
195,-1700,4044,1122
197,630,2966,-1170
198,-128,3884,-2124
199,-912,3884,-1022
201,62,3602,-2240
202,-476,4312,-3002
203,498,3328,-4336
205,1040,4472,-4446
206,-914,4492,-3940
208,-132,3254,-3864
209,-654,3668,-4314
210,-742,3678,-4700
212,-12,4364,-3984
213,-998,4338,-2934
214,-1372,3202,-2498
216,-984,2764,-2254
217,-900,4018,-1774
219,-1118,3220,-692
220,-1740,2412,-160
221,-1880,2748,1438
223,-2178,3776,1588
224,-2240,3730,1566
226,-2022,1682,1024
227,-3072,3570,2688
228,-2976,4450,2480
230,-2728,3846,2358
231,-2034,4048,924
232,-400,2392,1018
234,-2274,3894,1320
235,-2488,4054,1292
236,-572,3636,-844
238,310,3350,-1972
239,-236,3578,-1190
241,100,3318,-1684
242,-604,4180,-2216
243,-214,2846,-4412
245,560,3254,-4258
246,-242,4792,-3808
247,194,2692,-4628
249,-720,3422,-3892
250,-710,3464,-4706
252,-242,3786,-4324
253,-688,4406,-4060
254,-1328,2764,-2434
256,-1306,2424,-2448
257,-886,3280,-1568
258,-1126,3764,-748
260,-1944,3412,188
261,-1850,2552,1002
263,-1506,3100,970
264,-2360,4118,1856
265,-1412,1650,1160
267,-2438,2380,2046
268,-3050,3858,2526
269,-1898,3324,2634
271,-3334,4446,256
272,-378,1902,1362
274,-886,3040,1808
