timestamp,accX,accY,accZ
0,-854,3270,-1408
2,-1138,3338,-74
3,-1622,2646,398
5,-1608,2554,1278
6,-2320,3882,1686
7,-2384,3958,1732
9,-1758,2546,1706
10,-3004,3614,2066
11,-2052,3266,2754
13,-1482,3744,1436
14,-1442,3110,774
16,-868,2966,986
17,-182,2352,-484
18,-2422,4450,1208
20,-176,2756,-940
21,-106,4356,-1408
22,-572,4154,-2368
24,-76,3048,-2226
25,-916,4896,-2576
27,-404,2486,-4184
28,-150,3866,-4368
29,-538,4358,-4142
31,-616,3378,-3708
32,-1110,3762,-4190
34,-964,3134,-4146
35,-510,3998,-3640
36,-1198,4320,-2628
38,-1240,2848,-1918
39,-968,2958,-2134
40,-1242,3324,-1064
42,-1200,3258,-470
43,-1418,3038,540
44,-1642,3030,1220
46,-2176,3414,1472
47,-2384,3730,1352
49,-1230,2326,1212
50,-2832,3220,1892
51,-2470,3418,2412
53,-2172,3900,2052
54,-1366,3428,838
56,-1312,3580,1202
57,-500,2386,468
58,-1484,4364,382
60,64,3196,-812
61,204,4712,-1958
63,52,3700,-2414
64,390,2442,-2558
65,-1288,4748,-2708
67,500,2962,-3984
68,552,4348,-4376
69,-688,4424,-4406
71,-224,3276,-4056
72,-1156,3830,-3822
74,-794,3710,-4098
75,-266,3946,-3690
76,-1172,3996,-3104
78,-1190,3468,-1968
79,-1158,3080,-1684
80,-1438,3454,-1170
82,-1064,3126,-286
83,-1526,2868,358
85,-1768,2752,1558
86,-2390,3628,1600
87,-2182,3848,1746
89,-1654,2306,1452
90,-3402,3590,2370
92,-2014,3256,2798
93,-1424,3674,1674
94,-1336,2982,622
96,-1110,3388,898
97,18,2120,-478
99,-2120,4128,-580
100,-14,2628,-734
101,202,4026,-1250
103,-858,3008,-2594
104,232,2664,-2220
105,-740,4602,-2850
107,1094,2284,-4294
108,158,3578,-4270
110,-514,3914,-4270
111,-254,2902,-3770
112,-1152,3742,-3952
114,-166,3314,-4066
115,-406,3718,-3656
117,-1100,3638,-2988
118,-1122,2972,-1994
119,-916,3096,-1278
121,-1344,3228,-1176
122,-1324,3252,-548
123,-1370,2752,382
125,-2118,3128,1170
126,-2418,3508,1700
128,-2082,3486,1548
129,-1004,2254,1008
130,-2676,3850,1976
132,-2556,3424,2418
133,-2246,3988,1066
135,-1452,3302,990
136,-1368,3524,1276
137,-580,3410,388
139,-1508,4308,430
140,62,3250,-768
142,-844,4520,-1660
143,62,3786,-2130
144,450,3812,-2688
146,-1202,4684,-2630
147,438,2874,-4050
149,-176,4290,-4328
150,-922,4702,-4230
151,-132,3206,-4336
153,-1278,3974,-3904
154,-738,3726,-3450
155,-756,3908,-3622
157,-1306,3992,-2384
158,-1134,2770,-1990
160,-1012,3254,-1758
161,-1490,3292,-752
162,-1362,3156,14
164,-1448,2982,156
165,-1752,3398,1156
166,-2196,3652,1324
168,-2304,3832,1254
169,-1288,2060,1420
171,-3480,3658,2288
172,-1976,3962,2746
173,-1310,3784,1470
175,-1446,3432,1160
176,-1764,3568,1402
178,-60,2190,742
179,-726,4364,-504
180,246,2666,-1184
182,272,4646,-2016
183,406,3254,-2532
185,130,2558,-2904
186,-912,4412,-2812
187,962,2504,-4350
189,192,4794,-4188
190,-620,4162,-4122
192,-118,2784,-4414
193,-1244,4060,-4040
194,-226,3620,-4176
196,-942,3872,-3384
197,-1442,3554,-3002
199,-1130,2962,-1986
200,-1208,3598,-1454
201,-1370,3278,-1180
203,-1340,3216,132
204,-1894,3150,786
206,-1820,3122,1232
207,-2494,3872,1806
208,-1924,3318,1542
210,-952,3088,2298
211,-2934,4112,2058
212,-2440,3374,2280
214,-1412,3418,1016
215,-1332,3202,1490
217,-906,2778,596
218,-1076,3180,324
219,-1598,3314,-1252
221,382,2942,-1066
222,-740,4530,-2128
224,300,2414,-1928
225,104,3272,-2870
226,-1138,3472,-3916
228,804,2586,-4184
229,-230,4178,-4306
230,-1048,3150,-3846
232,-672,3028,-4134
233,-1210,3994,-4400
235,240,3266,-3714
236,-582,3696,-3040
237,-1372,3420,-2336
239,-1038,2814,-1734
240,-858,3536,-1500
242,-1202,3140,-974
243,-1260,2828,-238
244,-1904,3214,1078
246,-1924,3084,1104
247,-2082,3508,1712
248,-1554,2728,1226
250,-1274,2128,2416
251,-2256,3306,2088
253,-2968,3878,2616
254,-1434,2894,426
255,-1030,3490,1082
257,-2052,3750,1424
258,-268,3708,1006
260,-750,4564,-640
261,190,2940,-1472
262,-846,4322,-2042
264,-90,3430,-2190
265,40,4212,-2726
266,-810,4360,-3106
268,974,2768,-4498
269,-340,4576,-4246
271,-688,3870,-3818
272,-354,3630,-3922
273,-1080,4148,-4306
275,-38,3702,-3696
276,-1056,3758,-3326
