timestamp,accX,accY,accZ
0,56,3456,-4234
2,-1296,3906,-2538
3,-1076,2512,-1902
5,-950,2918,-1792
6,-1020,3456,-1652
7,-958,3204,-470
9,-1962,3064,1022
10,-2362,3024,1182
11,-1306,2852,1636
13,-2218,3790,1792
14,-1388,1864,1270
16,-2744,3858,2230
17,-2406,3470,2520
18,-2516,4198,1132
20,-766,2584,184
21,-764,2528,938
23,-1976,3836,856
24,-1680,4214,918
25,260,3152,-2290
27,-492,4346,-1434
28,-64,3552,-1910
29,-130,4098,-2582
31,-504,4378,-3234
32,1072,3068,-4796
34,1018,4600,-4398
35,-886,4340,-4328
36,18,3142,-3836
38,-660,3648,-4390
39,-676,3384,-4740
40,234,4546,-3602
42,-1458,4698,-2602
43,-1410,2946,-2356
45,-1106,3408,-2148
46,-1014,3746,-1526
47,-846,3124,-58
49,-2086,3048,618
50,-2198,3206,1094
51,-1578,3240,1306
53,-2590,4202,2022
54,-2030,2840,1820
56,-3126,3512,2810
57,-2416,3902,1934
58,-2496,4248,1982
60,-1432,3578,730
61,-410,2358,1626
62,-2188,3510,900
64,-1714,3514,714
65,-938,3122,-1478
67,378,3332,-2252
68,-840,4114,-1856
69,-246,3368,-1962
71,-684,4568,-2330
72,168,2586,-4210
73,212,3502,-4890
75,-848,4858,-4002
76,-40,3038,-3766
77,-852,3538,-4176
79,-634,3254,-4384
80,240,3680,-4380
82,-1466,4802,-2568
83,-1172,2364,-2194
84,-910,2454,-2296
86,-912,3734,-1300
87,-994,3072,-730
89,-1974,2942,874
90,-1946,2900,1022
91,-1246,2722,1006
93,-2102,4096,1960
94,-1522,2100,1074
96,-2408,2488,2378
97,-2828,3420,2126
98,-2864,4158,2772
100,-2186,2606,286
101,-710,2568,1374
102,-1914,3282,942
104,-1470,4060,656
105,0,3760,-602
107,660,3216,-1660
108,-470,3590,-1458
109,-108,2958,-1860
111,-622,4502,-2864
112,844,3384,-4036
113,922,2970,-4550
115,-654,4286,-4184
116,-248,3496,-3796
118,-522,3708,-4348
119,-434,2982,-5016
120,60,3118,-3840
122,-1440,4668,-2626
123,-1728,3226,-2316
124,-1140,3014,-2182
126,-800,3586,-1924
127,-1098,3410,-34
129,-2134,3058,560
130,-2040,2962,904
131,-1374,3294,1370
133,-2556,4280,2002
134,-2098,2854,1818
135,-1612,3468,2768
137,-2478,4194,2056
138,-2184,3192,2222
140,-1952,4048,864
141,-598,2478,782
142,-500,3414,1090
144,-1908,4324,374
145,-840,3808,-1560
146,-18,4146,-1876
148,-1036,4532,-1050
149,116,2842,-1928
150,-872,4826,-2936
152,36,4302,-3580
153,1374,3394,-4762
155,-1108,4620,-4210
156,-436,3704,-3440
157,-810,4004,-4302
159,-800,3776,-4804
160,-190,3304,-4326
161,-1106,4726,-3270
163,-1756,4362,-2290
164,-780,2222,-2218
166,-958,3448,-2310
167,-920,4028,-770
168,-1980,3026,198
170,-2398,3184,948
171,-1890,2864,970
172,-2070,3966,1610
174,-2748,1726,1248
175,-2610,2538,2436
177,-2992,4286,2258
178,-2300,3146,2540
179,-2904,4514,1538
181,-1104,3490,990
182,-1010,2786,1544
184,-2668,4004,526
185,-1650,3100,-190
186,1098,3196,-2168
188,-538,4828,-1570
189,568,1966,-1858
190,-1048,3918,-2130
192,-706,3408,-3750
193,1396,2664,-4510
195,-634,4136,-4342
196,20,3284,-4068
197,-320,3718,-3604
199,-852,3370,-4736
200,232,2736,-4532
202,-252,3828,-3042
203,-1646,3602,-2128
204,-1088,2502,-2386
206,-1096,3544,-1908
207,-710,3314,-1362
208,-1520,3480,776
210,-2174,3118,1106
211,-1430,2510,758
212,-1260,3068,2090
214,-2218,3122,1740
215,-1516,1436,1702
217,-3284,4336,1964
218,-2124,3320,2818
219,-2054,3592,1096
221,-948,2958,616
222,-186,1988,1482
223,-1520,4748,698
225,-1098,3602,44
226,996,2260,-1856
228,-966,4924,-1028
229,374,2172,-2164
230,-114,5098,-2816
232,4,4684,-3448
233,1762,2460,-4978
234,-1590,4580,-4174
236,-654,3826,-4394
237,110,4170,-4388
239,-822,3964,-5038
240,-268,2930,-4776
241,-1064,4546,-3162
243,-1608,4412,-2764
244,-1124,2274,-2250
245,-1222,3250,-1950
247,-1180,4180,-932
248,-804,3116,-96
250,-2576,3256,1022
251,-2432,2982,922
252,-1604,3756,1234
254,-2314,4120,1720
255,-1462,2114,2356
256,-3256,4178,2624
258,-2186,3808,2668
259,-2540,4226,1466
261,-2086,3936,750
262,-596,2468,1358
263,-2136,3676,1416
265,-2036,4106,-114
266,1048,2770,-1532
267,240,4236,-2508
269,-818,4464,-1758
270,-630,3152,-2054
272,-1144,5096,-2926
273,496,2430,-4402
274,-82,3966,-4734
