timestamp,accX,accY,accZ
0,-392,3484,-4694
2,-1340,3828,-3816
3,-74,3860,-3720
5,146,3400,-3890
6,-482,2988,-2866
7,-1270,3094,-1932
9,-1104,3516,-1520
10,-1224,3184,-1542
11,-1180,2598,-900
13,-1890,3154,894
14,-2096,3520,1034
16,-1968,3330,1260
17,-1776,2346,1476
18,-2920,3630,1846
20,-2500,4416,2474
21,-2028,2534,2456
22,-2848,3418,1640
24,-1826,3536,1886
25,-904,3292,1176
27,-1710,2968,198
28,-134,3842,30
29,448,3430,-578
31,-30,3932,-1204
32,-122,3028,-1830
33,-142,3404,-2912
35,122,3696,-3444
36,320,2810,-4142
37,-562,3974,-3804
39,224,3388,-4414
40,42,2680,-4404
42,-978,4608,-4128
43,-560,4124,-4044
44,342,3286,-3674
46,-1276,3396,-3118
47,-1442,2996,-2182
48,-1046,2986,-2202
50,-1060,4014,-1578
51,-1264,2934,-1158
53,-1576,3406,688
54,-1926,3422,928
55,-1912,3446,1218
57,-1440,2110,1168
58,-2918,3096,1834
59,-2254,4316,2494
61,-776,2284,2354
62,-3450,2926,1108
64,-1606,3618,1740
65,140,3624,1890
66,-1882,3258,-200
68,-1570,3670,756
69,1056,3236,-354
70,-56,4472,-1304
72,-578,3426,-1564
73,262,2498,-2798
74,-616,4646,-2672
76,638,2814,-4110
77,-340,4746,-3936
79,-254,3878,-4172
80,686,2518,-4776
81,-1720,4352,-4112
83,-950,4266,-4174
84,-250,3554,-4352
85,-766,3222,-3386
87,-1162,2946,-2100
88,-1282,3682,-1946
90,-986,4040,-1488
91,-1056,3160,-756
92,-1800,2906,176
94,-1888,3588,944
95,-2236,3152,1080
96,-1610,2084,1318
98,-2256,2670,1870
99,-2828,4582,2282
100,-1200,2914,2268
102,-2192,2274,1712
103,-1884,3510,1484
105,-424,3560,1932
106,-1060,3014,584
107,-1758,3464,-414
109,-274,3594,-1266
110,-722,4280,-526
111,-1434,4344,-1378
113,356,3454,-2230
114,-78,4898,-3060
116,230,3636,-4372
117,-1170,4198,-3730
118,-748,4596,-3902
120,744,3186,-4544
121,-1234,4080,-4726
122,-1312,3988,-3994
124,-46,3786,-4032
125,-604,3704,-4018
127,-1026,2882,-2570
128,-1108,3088,-1774
129,-994,3694,-1370
131,-1016,2860,-1084
132,-1444,2682,-330
134,-2184,3690,752
135,-1912,3474,1414
136,-1646,2236,1536
138,-3250,3352,1920
139,-2180,4268,2672
141,-2458,2392,2132
142,-3234,2722,2230
143,-2312,3444,2000
145,-412,3944,2052
146,-1714,3496,958
147,-1594,3396,-48
149,194,3662,-262
150,124,3468,-732
152,-830,3316,-1830
153,-38,2908,-2258
154,224,4502,-3242
156,184,3468,-3534
157,-168,2960,-3858
158,-286,4030,-4116
160,530,3306,-4578
161,-328,3944,-4614
163,-1218,4244,-3892
164,-286,3808,-3882
165,-24,3342,-3446
167,-1194,3080,-3066
168,-1244,3102,-2230
169,-824,3914,-1480
171,-1000,3078,-1398
172,-1468,3174,436
174,-1908,3578,928
175,-1882,3254,974
176,-1642,2112,1324
178,-2310,2626,1900
179,-3062,4582,2426
181,-1312,3184,2314
182,-1814,2134,1774
183,-1902,3422,1538
185,-778,3380,2050
186,-1264,3072,470
187,-1354,3008,-226
189,-312,3660,-908
190,-380,3936,-556
192,-1282,4064,-1062
193,-250,3222,-2250
194,148,4412,-3362
196,178,2916,-4028
197,-730,3810,-3916
199,-938,4198,-4560
200,224,3094,-4550
201,-1058,4350,-4490
203,-1200,4378,-4268
204,32,3488,-3982
205,-620,3526,-3544
207,-1026,2982,-2476
208,-952,3062,-2122
210,-824,3788,-1596
211,-1070,2722,-1026
212,-1732,2564,-288
214,-2290,3766,1076
215,-1518,3542,1138
216,-1980,3174,1034
218,-3000,2810,1986
219,-2494,4008,2384
221,-3020,2598,2388
222,-2834,2612,1988
223,-2036,3548,1840
225,-356,3666,1782
226,-1884,3222,1136
228,-1614,3742,544
229,968,3466,-588
230,-110,3480,-1428
232,-870,3384,-1500
233,246,2718,-1802
234,-320,4336,-3502
236,676,2924,-4170
237,168,3280,-3832
239,-966,3946,-3994
240,372,2532,-4800
241,-308,3212,-4420
243,-1080,4596,-4080
244,-352,3754,-4040
245,-80,3478,-3354
247,-1162,3186,-2742
248,-1288,3000,-2282
250,-778,3600,-1798
251,-790,3124,-1498
252,-1440,3252,464
254,-1926,3308,976
255,-1942,3466,944
256,-1790,2666,1388
258,-1588,2108,1454
259,-3324,3480,2346
260,-2140,3622,2544
262,-1284,2364,2382
263,-3110,3460,1182
265,-1040,3262,1846
266,-854,3438,316
267,-1894,3562,806
269,-218,3620,-244
270,846,3950,-964
271,-1558,4436,-1216
273,74,2448,-2244
274,-408,4908,-2774
