timestamp,accX,accY,accZ
0,-1754,3726,1410
2,-652,3818,-476
3,-116,3444,-1740
4,340,3836,-2502
6,72,3602,-2772
7,-726,4370,-2226
9,48,3554,-3456
10,244,2978,-4598
11,-98,4352,-4686
13,-80,3984,-4356
14,-328,3548,-3778
15,-1076,3480,-4110
17,-718,3424,-4126
18,-830,4282,-3552
19,-1106,3980,-2886
21,-1306,3076,-2214
22,-1290,3536,-1434
24,-1196,3444,-772
25,-1050,2996,-24
26,-1716,2814,396
28,-1658,2554,1602
29,-2818,3948,1984
30,-2482,3636,1726
32,-1350,3348,1968
33,-2356,3426,2060
35,-3066,3386,2896
36,-1842,3098,1230
37,-636,2914,1014
39,-1926,2748,184
40,-1236,2088,236
41,-1080,4350,-316
43,-1000,2462,-1036
44,-178,3812,-1972
46,-408,4588,-2586
47,496,3276,-2526
48,-916,4782,-3770
50,-92,2430,-4316
51,48,3950,-4490
52,-486,4742,-4462
54,-376,3124,-4050
55,-1234,3714,-4032
57,-1008,3536,-4184
58,-452,3826,-3886
59,-1138,4196,-2554
61,-1272,2640,-2218
62,-1048,3150,-1844
63,-1356,3150,-796
65,-1138,2722,-268
66,-1646,2976,982
68,-2022,2870,1644
69,-2250,3378,1598
70,-2718,2792,1350
72,-1672,2618,1730
73,-3434,3846,2392
74,-2372,3758,3158
76,-2038,3650,1880
77,-1330,2820,1552
79,-1430,3492,806
80,44,2398,-112
81,-1768,4090,-578
83,-416,3418,-332
84,194,3460,-2058
85,214,3792,-2272
87,630,2696,-2768
88,-524,4262,-3368
90,664,2806,-3870
91,454,3266,-4548
92,-432,4076,-4560
94,-14,3164,-4512
95,-588,4032,-4196
96,-714,3618,-4354
98,-638,3598,-3976
99,-726,3982,-3162
101,-1344,3320,-2386
102,-1030,3518,-1446
103,-1348,3380,-734
105,-1150,2842,34
106,-1586,2984,560
108,-1878,2896,1256
109,-2276,3746,1832
110,-2418,3634,1796
112,-1428,2464,2294
113,-2728,3488,2114
115,-2682,3210,2724
116,-2710,3284,1388
117,-1108,2802,1002
119,-1966,4196,32
120,-448,1826,684
121,-1470,4630,528
123,-766,2704,-980
124,-68,3392,-2090
126,-540,4712,-2398
127,398,2890,-2560
128,-1036,4628,-3190
130,-218,2672,-4362
131,232,4064,-4380
132,-800,4820,-4568
134,-434,2726,-4318
135,-1028,3994,-4136
137,-910,3578,-4160
138,-392,3482,-3810
139,-1106,3924,-3186
141,-1196,2860,-2038
142,-912,3096,-2000
144,-1548,3206,-906
145,-1202,2930,-366
146,-1388,3128,1016
148,-2294,3100,1518
149,-2370,3502,1702
150,-2370,2762,1522
152,-1458,2350,1824
153,-3632,3704,1964
155,-2238,3746,2950
156,-1852,3856,1908
157,-1416,2808,1392
159,-1724,3664,1240
160,-170,2130,-390
161,-1638,4474,-416
163,-218,3004,-856
164,100,3200,-2232
166,292,3940,-2036
167,622,2526,-2530
168,-474,4334,-3252
170,876,2640,-4186
171,710,3318,-4362
172,-626,4056,-4552
174,8,2628,-4384
175,-420,4458,-4032
177,-400,3708,-4516
178,-374,3212,-3892
179,-696,4088,-2902
181,-876,3342,-2338
182,-804,2582,-1790
183,-1630,3704,-692
185,-1372,3126,-650
186,-1214,2972,510
188,-2006,3090,1266
189,-2576,3546,1746
190,-2162,3330,1794
192,-1134,2150,1286
193,-2790,3694,2500
194,-2502,3266,2296
196,-2596,4258,1218
197,-966,2620,958
199,-2124,4208,1844
200,-1204,1892,672
201,-1464,4414,420
203,-468,4316,-1004
204,-50,3508,-2060
205,-782,4624,-1998
207,542,3266,-2380
208,-984,4504,-3422
210,-352,3768,-4380
211,1188,4222,-4286
212,-922,4934,-4244
214,-46,3042,-4244
215,-906,4270,-4002
216,-958,4480,-4122
218,-138,3060,-3788
219,-1122,3732,-3178
221,-1406,3742,-2036
222,-778,3344,-2020
223,-1734,3530,-1170
225,-1518,2938,-214
226,-1418,2988,182
227,-1694,3082,1556
229,-2416,3550,1502
230,-2020,3576,1968
232,-1320,2356,1898
233,-3590,3676,2776
234,-2354,3478,3142
236,-2816,3776,1732
237,-1070,2656,740
238,-1636,3598,1500
240,-556,2320,-18
241,-1462,3502,928
243,-786,2880,-1176
244,-70,3442,-858
245,-1010,4552,-2106
247,404,2454,-2324
248,-88,3752,-3256
249,-1240,2918,-4286
251,560,3390,-4144
252,-304,4854,-4398
254,90,2322,-4258
255,-634,3552,-4174
256,-1322,4814,-4682
258,-106,3088,-3662
259,-892,3556,-3566
260,-1642,3234,-2226
262,-726,2860,-1918
263,-1250,3490,-1014
265,-1388,2982,-648
266,-1048,2572,-452
267,-1648,3588,1642
269,-2452,3480,1606
270,-2112,3354,1462
271,-890,2260,1314
273,-2620,3146,2330
274,-2750,3302,2500
