timestamp,accX,accY,accZ
0,-328,3230,-4962
2,58,3234,-3918
3,-1180,4562,-3000
4,-1336,3444,-2334
6,-776,2828,-2494
7,-820,3412,-1858
9,-992,4046,32
10,-1658,3038,48
11,-2224,2644,768
13,-1564,2806,1682
14,-2532,4382,2086
15,-1664,2094,1316
17,-1988,3506,2492
18,-2586,4294,2400
20,-1716,3150,2332
21,-2180,4094,1154
22,-654,2098,832
24,36,4180,1734
25,-2720,4220,1384
26,-520,3006,-1066
28,82,4108,-1964
29,-270,3566,-1864
31,-308,3274,-1480
32,-828,4498,-2678
33,116,3814,-3554
35,1508,3754,-4418
36,-742,4650,-4168
37,-820,3872,-3994
39,-558,3938,-4322
40,-764,3988,-4796
42,-158,3426,-4356
43,-594,4126,-4070
44,-1150,4180,-1856
46,-1018,2646,-2722
47,-980,2958,-2110
49,-1174,3606,-762
50,-2168,3646,428
51,-2316,2598,920
53,-1160,2708,468
54,-2276,4340,1926
55,-2366,1438,1408
57,-3006,2314,2482
58,-2982,3812,2508
60,-1530,3324,2816
61,-3212,4522,612
62,-232,1634,1302
64,-732,2636,1294
65,-2682,4564,608
67,454,2274,-190
68,964,3102,-1412
69,-434,3508,-1332
71,610,1728,-1814
72,-1410,4056,-3222
73,1358,3040,-3866
75,1578,2574,-4586
76,-1298,4326,-4340
78,168,3006,-3900
79,-356,3784,-4918
80,-702,3322,-4956
82,462,2620,-4730
83,-700,4726,-3270
84,-1382,3614,-2566
86,-706,2394,-2560
87,-1150,3600,-2164
89,-514,3708,-1506
90,-1164,3534,526
91,-2698,3182,972
93,-1560,2460,1150
94,-2154,4674,2012
95,-2028,2782,1572
97,-1356,3166,2900
98,-2658,4582,2004
100,-1802,3436,2122
101,-3016,4492,1226
102,-1700,3566,572
104,426,2880,1784
105,-3474,4882,1488
107,-1672,3524,-932
108,434,3942,-1716
109,-412,5174,-2152
111,-288,1612,-1644
112,-1396,4500,-2408
114,-650,5098,-4050
115,1218,2790,-4710
116,-1094,4734,-4580
118,-1572,2756,-3912
119,-330,3768,-3862
120,-932,4420,-4808
122,404,2668,-4496
123,-400,4096,-4002
124,-1052,3540,-1866
126,-1090,2032,-2292
127,-1210,2982,-2330
129,-772,3606,-1344
130,-1726,3508,152
131,-2656,3468,1340
133,-1284,2616,846
134,-1520,3722,1786
136,-1180,1586,1274
137,-2992,2252,2604
138,-3244,4058,2296
140,-1278,2876,2836
141,-2668,3938,1096
142,-2484,2406,1132
144,342,1776,742
145,-2648,3978,304
147,-380,2422,438
148,1630,2014,-1992
149,-818,4802,-1216
151,1372,1044,-2138
152,-1130,3188,-3334
153,818,3462,-3798
155,2234,2072,-4446
156,-480,4876,-3992
158,136,2672,-4546
159,96,3268,-3650
160,-598,3832,-4624
162,226,2612,-4632
163,-538,3582,-3562
164,-1068,3752,-2936
166,-720,2652,-2024
167,-1462,3600,-2274
168,-806,3296,-1506
170,-484,3184,592
171,-2818,3552,1012
173,-1784,2402,1016
174,-1252,4462,1624
175,-1866,2972,1712
177,-1340,1308,2962
178,-2720,4528,2010
179,-1726,3514,2766
181,-1378,4344,1226
182,-2150,3564,1084
184,200,1612,1686
185,-848,4806,1360
186,-1584,4028,242
188,416,2150,-2430
189,-1164,5692,-1390
191,-122,3402,-1594
192,598,4416,-2502
193,-1076,5132,-3740
195,1804,2738,-4642
196,-1410,5044,-4212
197,-1742,4264,-4354
199,608,3876,-4016
200,-640,4490,-4936
202,-874,3458,-4356
203,-850,4100,-3634
204,-1090,4514,-3210
206,-1020,2522,-1976
207,-1516,3100,-2326
209,-1084,3206,-1354
210,-1138,3244,-436
211,-2536,3744,1128
213,-2558,2620,864
214,-1546,3716,1186
216,-2164,1678,1432
217,-2588,2028,2390
218,-3696,4164,2844
220,-2432,3096,2752
221,-2428,4172,1866
222,-2534,4098,748
224,94,1830,1144
225,-2430,4082,736
227,-910,3008,720
228,1644,1732,-1994
229,-766,4950,-1510
231,862,1840,-1596
232,-840,3120,-3192
233,-1680,3604,-3934
235,2432,2118,-4424
236,-208,4380,-4070
238,-378,2784,-4442
239,104,3256,-3700
240,-454,3860,-4942
242,-276,2934,-4382
243,-386,3644,-3174
244,-586,3440,-3156
246,-848,2664,-2254
247,-1392,3604,-2022
249,-904,3302,-1516
250,-328,3106,402
251,-2774,3414,992
253,-2314,2732,1004
254,-1172,4338,1372
256,-1686,2968,1638
257,-1300,1204,3334
258,-3010,4546,2152
260,-1750,3658,2626
261,-1038,4224,1186
263,-2270,3572,1190
264,-360,1834,1776
265,-2866,4690,998
267,-1686,4316,182
268,692,2712,-2072
269,-1084,5862,-1408
271,-626,3782,-1686
272,-1516,4002,-2246
274,-998,5168,-3862
275,1694,2670,-4800
