timestamp,accX,accY,accZ
0,-1322,3648,-1286
2,-1050,3380,-1462
3,-1078,3586,-1390
4,-1042,3442,-1452
6,-1066,3332,-1440
7,-1084,3444,-1318
9,-1002,3342,-1426
10,-1028,3574,-1134
11,-1264,3614,-1284
13,-998,3336,-1238
14,-1164,3692,-1090
16,-1068,3498,-1194
17,-732,3720,-976
18,-1016,3850,-1028
20,-634,3060,-1062
21,-678,3670,-1098
22,-1136,3514,-1064
24,-968,3304,-1138
25,-1256,3642,-1208
26,-1020,3340,-1284
28,-1032,3766,-1030
29,-978,3600,-1162
31,-1052,3332,-1228
32,-1006,3438,-1258
33,-1020,3362,-1194
35,-1032,3518,-1148
36,-1154,3510,-1290
38,-1118,3464,-1156
39,-1104,3640,-1184
40,-1150,3572,-1170
42,-1080,3394,-1002
43,-960,3346,-1056
45,-1004,3474,-1054
46,-826,3320,-1022
47,-908,3352,-942
49,-1098,3340,-1002
50,-1186,3386,-990
51,-1162,3610,-970
53,-1146,3350,-998
54,-1024,3370,-1048
56,-1140,3470,-828
57,-1086,3246,-872
58,-1110,3212,-908
60,-1084,3308,-920
61,-1224,3328,-970
63,-1410,3430,-922
64,-1198,3212,-1032
65,-1358,3482,-892
67,-1158,3442,-946
68,-958,3108,-1058
69,-1330,3772,-816
71,-650,3072,-844
72,-790,3202,-890
74,-900,3372,-866
75,-774,3370,-854
76,-948,3638,-960
78,-820,3216,-986
79,-784,3556,-912
80,-1002,3562,-1114
82,-692,3326,-1202
83,-912,3484,-1220
85,-820,3408,-1234
86,-914,3384,-1332
87,-1156,3400,-1496
89,-1028,3362,-1366
90,-1220,3766,-1540
92,-1382,3558,-1526
93,-1146,3292,-1496
94,-1144,3504,-1452
96,-1210,3466,-1544
97,-1016,3280,-1390
98,-1062,3298,-1374
100,-1228,3478,-1288
101,-1260,3544,-1246
103,-1190,3590,-1202
104,-1108,3488,-1204
105,-1158,3520,-1250
107,-1096,3656,-1000
108,-864,3292,-1064
110,-998,3262,-1118
111,-858,3288,-948
112,-1074,3608,-986
114,-1138,3496,-1086
115,-1122,3354,-1270
116,-1152,3566,-1204
118,-1414,3814,-1366
119,-1060,3030,-1320
120,-1356,3726,-1180
122,-1108,3126,-1066
123,-862,3202,-1334
125,-1414,3650,-1038
126,-750,3256,-944
127,-1146,3752,-952
129,-1182,3200,-1152
130,-896,3474,-920
132,-1008,3866,-870
133,-690,3178,-924
134,-892,3404,-980
136,-874,3340,-828
137,-830,3408,-722
138,-1014,3614,-898
140,-1050,3404,-810
141,-1142,3704,-770
142,-1234,3676,-1086
144,-1204,3366,-898
145,-1128,3482,-882
147,-1152,3458,-992
148,-1124,3442,-1124
149,-980,3238,-968
151,-1276,3410,-1092
152,-1334,3446,-1062
154,-1200,3588,-1020
155,-1312,3612,-1094
156,-1182,3254,-1224
158,-1262,3590,-1042
159,-1276,3630,-1042
160,-1096,3160,-1256
162,-1082,3372,-1218
163,-1018,3554,-922
165,-1146,3430,-1012
166,-1250,3462,-1132
167,-1092,3290,-1292
169,-1256,3888,-980
170,-1064,3716,-1214
171,-780,3510,-1052
173,-1124,4012,-1138
174,-612,3306,-1234
176,-1032,3570,-1326
177,-1226,3666,-1102
178,-718,3484,-1026
180,-1392,3836,-1304
181,-1132,3470,-1272
182,-1028,3758,-1196
184,-1066,3694,-1228
185,-1032,3346,-1390
187,-1036,3576,-1264
188,-860,3448,-1236
189,-1208,3468,-1342
191,-1220,3456,-1340
192,-1182,3570,-1242
193,-1220,3644,-1274
195,-1226,3536,-1350
196,-1070,3480,-1164
198,-1004,3446,-1220
199,-1116,3500,-1198
200,-768,3220,-1180
202,-804,3312,-1180
203,-1156,3420,-1204
205,-1110,3324,-1022
206,-1158,3684,-1210
207,-1044,3336,-1314
209,-1044,3334,-1148
210,-1222,3670,-962
211,-1046,3392,-968
213,-926,3186,-1178
214,-1180,3378,-1078
215,-1084,3466,-990
217,-1226,3518,-1074
218,-1270,3346,-1032
220,-1138,3232,-882
221,-1490,3936,-700
222,-732,3038,-1206
224,-1150,4076,-906
225,-846,3448,-780
226,-456,2824,-1000
228,-1110,3750,-700
229,-810,3274,-708
231,-684,3438,-726
232,-1050,3436,-1106
233,-810,3202,-784
235,-1038,3886,-682
236,-892,3352,-900
238,-716,3678,-870
239,-876,3652,-930
240,-850,3376,-1032
242,-1132,3474,-1250
243,-1046,3430,-1172
244,-1092,3446,-1248
246,-1386,3528,-1286
247,-1120,3370,-1418
249,-1154,3524,-1198
250,-1234,3488,-1348
251,-1176,3420,-1486
253,-876,3362,-1286
254,-1136,3440,-1194
255,-1086,3302,-1186
257,-1168,3470,-1216
258,-1218,3708,-1272
259,-1138,3306,-1318
261,-1114,3396,-1212
262,-1194,3568,-1036
264,-952,3410,-1198
265,-894,3320,-1240
266,-988,3426,-1174
268,-998,3428,-1082
269,-1246,3558,-1194
271,-1110,3284,-1348
272,-1036,3302,-1388
273,-1446,3620,-1334
275,-898,2926,-1386
