timestamp,accX,accY,accZ
0,-750,3106,-1138
2,-1072,4098,-896
3,-814,3384,-1012
4,-348,2718,-1110
6,-1356,3950,-930
7,-818,3244,-954
9,-590,3892,-1074
10,-1162,3548,-1430
11,-822,3042,-1242
13,-996,4028,-1052
14,-768,3354,-1216
15,-746,3014,-1260
17,-1100,3790,-1112
18,-764,3296,-1188
20,-874,3626,-1236
21,-1022,3280,-1380
22,-1036,3328,-1256
24,-1360,3620,-1400
25,-1162,3256,-1516
26,-1092,3362,-1216
28,-1138,3496,-1346
29,-1098,3550,-1368
31,-856,3330,-1390
32,-1042,3394,-1286
33,-1092,3314,-1296
35,-1232,3436,-1174
36,-1228,3656,-1182
37,-1200,3268,-1434
39,-1152,3458,-1270
40,-1244,3600,-1050
42,-1060,3388,-1168
43,-1048,3390,-1204
44,-922,3390,-1312
46,-1056,3486,-1164
47,-1268,3584,-1156
48,-1002,3144,-1242
50,-1170,3460,-1250
51,-1288,3524,-1162
53,-986,3142,-1184
54,-1290,3676,-1044
55,-694,3112,-974
57,-726,3138,-1054
58,-1220,3512,-1016
60,-838,3278,-864
61,-986,3578,-870
62,-1002,3334,-1034
64,-862,3286,-848
65,-1072,3662,-792
66,-1018,3342,-848
68,-798,3350,-886
69,-930,3592,-888
71,-894,3320,-914
72,-1014,3578,-870
73,-984,3358,-1046
75,-1052,3392,-964
76,-1304,3478,-998
77,-1264,3466,-1038
79,-1014,3502,-1004
80,-1088,3448,-1174
82,-1326,3568,-1084
83,-1094,3298,-1136
84,-1050,3336,-1108
86,-1146,3444,-1132
87,-1112,3410,-960
88,-1232,3624,-1098
90,-1208,3276,-1236
91,-1178,3510,-1186
93,-1166,3630,-980
94,-998,3306,-1118
95,-1032,3326,-1196
97,-1098,3392,-1084
98,-964,3394,-1066
100,-1200,3484,-1214
101,-1106,3242,-1184
102,-1184,3552,-1176
104,-1310,3346,-1266
105,-946,3242,-1290
106,-1346,3806,-1166
108,-762,3116,-1042
109,-852,3224,-1158
111,-1184,3426,-1102
112,-818,3360,-1054
113,-1016,3738,-1100
115,-878,3232,-1336
116,-982,3424,-1040
117,-1160,3464,-1168
119,-902,3284,-1108
120,-854,3500,-1222
122,-942,3426,-1244
123,-878,3410,-1278
124,-1146,3586,-1386
126,-970,3304,-1186
127,-1032,3494,-1312
128,-1156,3464,-1358
130,-1140,3516,-1290
131,-1104,3612,-1318
133,-1064,3306,-1316
134,-1156,3486,-1280
135,-1102,3450,-1094
137,-1018,3390,-1202
138,-1084,3390,-1142
139,-1050,3314,-1094
141,-1310,3628,-940
142,-1254,3264,-1240
144,-1046,3358,-990
145,-1146,3612,-944
146,-1192,3242,-1032
148,-1044,3276,-986
149,-1170,3422,-982
151,-970,3324,-980
152,-1212,3436,-998
153,-1300,3382,-960
155,-1098,3466,-968
156,-1268,3590,-1024
157,-1008,3156,-1044
159,-1316,3684,-886
160,-772,3320,-794
162,-778,3184,-1002
163,-1006,3396,-790
164,-874,3358,-884
166,-986,3628,-838
167,-1222,3324,-1168
168,-1010,3448,-910
170,-980,3754,-970
171,-892,3346,-926
173,-680,3168,-1094
174,-916,3590,-1044
175,-894,3444,-1094
177,-1024,3544,-1182
178,-1082,3368,-1120
179,-1056,3330,-1056
181,-1156,3630,-1234
182,-1012,3440,-1282
184,-1120,3396,-1316
185,-1236,3498,-1230
186,-1126,3440,-1168
188,-1040,3434,-1132
189,-1206,3434,-1314
191,-1142,3356,-1244
192,-1098,3460,-1254
193,-1288,3604,-1124
195,-1182,3302,-1274
196,-1042,3454,-1220
198,-998,3558,-1102
199,-1080,3462,-1230
200,-998,3328,-1218
202,-998,3448,-1176
203,-1108,3460,-1082
204,-1128,3440,-1232
206,-1088,3354,-1194
207,-1130,3476,-1276
209,-1214,3508,-1264
210,-968,3284,-1338
211,-1170,3582,-1254
213,-746,3278,-1138
214,-934,3228,-1252
215,-1088,3430,-1126
217,-804,3334,-1060
218,-1038,3526,-1150
219,-1302,3398,-1254
221,-1102,3460,-1114
222,-1022,3694,-964
224,-862,3402,-1036
225,-988,3398,-1066
226,-792,3476,-938
228,-988,3464,-880
229,-990,3414,-994
230,-1072,3508,-954
232,-1008,3506,-976
233,-1054,3472,-992
235,-1162,3492,-868
236,-1154,3456,-838
237,-876,3442,-972
239,-1164,3470,-1070
240,-1072,3368,-1024
241,-1148,3464,-1056
243,-1290,3478,-1018
244,-1226,3296,-940
246,-1196,3436,-948
247,-1210,3514,-1048
248,-1110,3356,-1018
250,-1060,3402,-1090
251,-1144,3456,-1150
252,-954,3334,-1044
254,-1168,3458,-1016
255,-1152,3332,-998
256,-1038,3312,-1054
258,-1142,3402,-1130
259,-1164,3468,-1038
261,-1248,3604,-1008
262,-1092,3276,-1148
263,-992,3298,-1120
265,-1324,3786,-992
266,-802,3122,-1050
268,-862,3286,-1090
269,-1220,3316,-1012
270,-962,3396,-916
272,-1132,3706,-1208
273,-948,3300,-1268
274,-910,3492,-1078
