timestamp,accX,accY,accZ
0,-1890,2248,2854
2,-2248,3380,3166
3,-2814,3356,3820
5,-3120,3794,3768
6,-2316,4190,2558
7,-374,2984,1644
9,-2282,4040,1372
10,-1720,3528,856
11,-1134,3208,-1232
13,-524,4044,-1220
14,224,3324,-2528
15,-720,3978,-2778
17,-456,4218,-3478
18,-130,3644,-4946
19,-244,3924,-5374
21,-200,4228,-5820
22,636,4020,-5094
24,-640,3590,-5300
25,-658,3178,-5178
26,344,3600,-5278
28,-176,3928,-4414
29,-864,3692,-2582
30,-1196,3084,-2702
32,-770,2968,-1368
33,-1646,4034,-432
35,-1808,3208,-28
36,-1450,2442,1574
37,-2454,3306,2374
39,-2554,3828,2940
40,-1916,3056,2520
41,-2104,2888,2718
43,-2474,2554,3740
44,-2914,3174,3992
46,-3180,4444,2014
47,-1088,2506,1678
48,-1250,3676,1480
50,-2574,3858,942
51,-614,3184,434
52,-294,4016,-1234
54,-88,2914,-2194
55,-26,3362,-2890
57,-718,4122,-3792
58,92,3374,-4108
59,40,3344,-5266
61,-342,4292,-5638
62,322,3970,-5728
63,-308,3660,-5036
65,-928,3154,-5120
66,182,3260,-5304
68,358,4172,-3828
69,-914,3554,-3300
70,-1182,2934,-2318
72,-960,3538,-1752
73,-994,4276,-734
74,-1514,2452,-106
76,-1934,2484,1248
77,-2438,3376,1912
79,-2016,3928,2686
80,-1972,3248,2400
81,-2066,2474,3136
83,-2452,3242,3986
84,-1946,2338,3564
85,-3484,4306,2724
87,-436,2684,1746
88,-226,2872,1240
90,-2238,3670,872
91,-1196,2846,1332
92,-30,3192,-1476
94,-82,3594,-1924
95,678,2446,-2902
96,-516,4440,-3344
98,-48,3530,-3804
99,210,3256,-5460
100,-96,4210,-5600
102,462,3676,-5832
103,-6,3970,-4992
105,-512,3192,-5010
106,-222,3202,-5282
107,254,3888,-4542
109,-648,3898,-3486
110,-1012,3468,-2362
111,-982,2956,-2186
113,-950,3904,-686
114,-1176,2754,-518
116,-1706,2220,644
117,-2582,3060,2338
118,-2390,3618,2424
120,-2248,3730,2306
121,-2142,2894,2966
122,-2466,3654,3802
124,-2102,2546,3568
125,-3610,4504,3478
127,-1564,4174,2226
128,76,2392,1262
129,-2840,4200,1242
131,-1788,3396,944
132,-498,3928,-1406
133,-712,4496,-1678
135,530,2954,-2402
136,-872,4248,-2746
137,-650,4090,-3570
139,100,3514,-5190
140,-318,4448,-5372
142,164,4098,-5606
143,-376,4038,-5398
144,-782,3600,-4904
146,-504,3302,-5184
147,170,3984,-5286
149,-112,4056,-3438
150,-1300,3228,-2444
151,-1482,3084,-2202
153,-1066,4116,-1064
154,-932,3280,-792
156,-1472,2436,1278
157,-2710,3566,1910
158,-2192,3546,2818
160,-2224,3270,2262
161,-1922,2138,2602
162,-2480,3270,3968
164,-1990,2274,3726
165,-2928,2930,3764
166,-3438,4680,1688
168,408,2266,1542
169,-1682,4020,1480
171,-2420,2766,1692
172,236,2526,-422
173,-472,4598,-1854
175,814,2302,-3050
176,-584,3676,-2446
177,-1012,3290,-3748
179,342,3048,-4678
180,-434,4330,-5584
182,324,3388,-5882
183,20,4344,-5332
184,-606,2932,-5028
186,-568,3092,-4850
187,-154,3616,-4784
189,-152,3792,-3874
190,-666,3326,-3204
191,-1586,3056,-2286
193,-1048,3958,-1084
194,-862,3694,-676
195,-1986,2362,724
197,-2408,2934,1448
198,-2664,3786,2300
200,-2188,3606,2488
201,-1918,2708,2958
202,-2734,3806,3790
204,-2008,2988,3718
205,-1908,4156,3590
207,-2184,4180,2344
208,-236,2500,1566
209,-2408,4254,1340
211,-1850,3462,774
212,-984,3444,-1112
213,-264,4358,-1908
215,166,3340,-2782
216,-1066,4238,-2348
217,-552,3894,-3544
219,402,3090,-5082
220,-256,4182,-5578
222,-124,4084,-5540
223,128,4232,-5418
224,-300,3428,-5340
226,-370,2904,-5042
227,-96,3776,-5206
228,18,4010,-4288
230,-570,3272,-2832
231,-1390,3056,-2146
233,-1028,2916,-1204
234,-1300,4298,-218
235,-1148,2494,-228
237,-1982,3258,1828
238,-2440,3886,2552
239,-2248,3914,2308
241,-2572,2616,2608
242,-2446,2994,2898
244,-2250,2782,4078
245,-2818,3024,3708
246,-3522,4292,3108
248,-1342,2398,1572
249,-1512,4100,1460
251,-2100,2770,1718
252,-384,2740,98
253,-638,4288,-1698
255,650,2604,-3084
256,-400,3842,-2446
258,-724,3282,-3806
259,284,3074,-4566
260,-250,4012,-5404
262,84,3798,-5760
263,90,4210,-5644
264,-336,3960,-5204
266,-470,3110,-4828
267,-344,3436,-5168
268,-8,3908,-3944
270,-652,3792,-3294
271,-1160,3078,-2270
273,-1298,3690,-1440
274,-1350,3976,-678
