timestamp,accX,accY,accZ
0,-2212,4174,3126
2,-1026,2278,3418
3,-3088,3428,4184
5,-3436,3810,3238
6,-834,2972,1546
7,-776,3084,830
9,-1400,3462,580
10,-138,2856,-278
11,-1194,3844,-158
13,-1076,2820,-2590
14,192,3660,-3272
16,562,4486,-4434
17,300,2732,-4522
18,-596,2916,-4710
20,-1966,4772,-6030
21,1902,3178,-6586
22,1250,3120,-5262
24,-1156,3654,-4506
25,-8,2982,-4294
26,144,3322,-4778
28,-854,3634,-3824
29,-862,3718,-2930
31,-1294,3746,-1102
32,-2354,3954,-132
33,-2064,3056,294
35,-1426,2928,602
36,-788,1890,1316
37,-3186,3600,3608
39,-3688,3138,3588
40,-2038,3862,2650
42,-1932,2390,2882
43,-2618,2266,3972
44,-3486,3602,3850
46,-838,3114,2802
47,-528,3224,860
48,-1088,3888,142
50,-462,3222,682
51,-358,3588,-368
53,-826,2996,-2192
54,188,2824,-3050
55,816,4920,-4742
57,320,3450,-4758
58,-508,2588,-4434
59,-1226,5178,-5082
61,894,4498,-6430
62,1978,3032,-6130
63,-1322,3998,-4782
65,-1178,3722,-4100
66,322,2912,-4966
68,-406,3816,-4278
69,-1176,3792,-2932
70,-1222,3434,-1544
72,-1836,3418,-1002
73,-2692,3334,546
74,-1632,3202,856
76,-676,2082,1788
77,-3944,3944,4066
79,-3088,3250,3644
80,-3382,4156,3116
81,-1180,3188,2346
83,-1090,2426,4178
84,-3586,3828,3798
86,-2170,3322,3518
87,-766,3178,1206
88,-1562,3836,-16
90,-726,3754,-274
91,110,3732,-84
92,-1250,4226,-838
94,-506,2630,-3710
95,584,4372,-4450
97,258,5238,-4928
98,312,2228,-5320
99,-2484,4864,-4356
101,-392,5090,-6316
102,1780,2846,-6996
103,-1192,4536,-5996
105,-1120,2972,-4078
106,212,3324,-4254
107,-150,3132,-3892
109,-742,3688,-2778
110,-1262,4214,-2164
112,-1582,3564,-674
113,-2162,3328,346
114,-1888,3182,406
116,-1650,1816,780
117,-2732,2906,3018
118,-3262,3614,3612
120,-2474,3866,3798
121,-1972,3992,2558
123,-836,2348,3802
124,-3142,3274,3882
125,-3484,3894,2774
127,-548,3148,1814
128,-848,3554,838
129,-1496,3568,422
131,6,3534,-82
132,-768,3762,-390
133,-908,2732,-2724
135,602,3550,-4366
136,284,4712,-5056
138,-188,2784,-4274
139,-1006,3494,-4860
140,-1554,4240,-6162
142,2100,2692,-6866
143,562,3518,-5028
145,-862,3814,-4126
146,456,2816,-4392
147,596,3532,-4286
149,-1182,3384,-3568
150,-1102,3774,-1722
151,-1342,3260,-1082
153,-2158,3422,-214
154,-2662,3250,972
156,-924,1904,964
157,-952,1880,3680
158,-2994,3434,3666
160,-3150,2990,3950
161,-2334,3630,2624
162,-1344,2496,3462
164,-2730,2668,3750
165,-2626,3742,3378
167,-660,3050,2568
168,-546,4078,62
169,-1210,3736,544
171,284,2546,-400
172,-180,4730,-634
173,-386,2798,-2166
175,10,2576,-4356
176,346,5170,-4610
178,266,3336,-4304
179,-20,4598,-4480
180,-172,4960,-5746
182,1730,3538,-7036
183,-1228,4246,-6296
184,-1278,4086,-4644
186,152,3446,-4346
187,-74,2972,-5190
189,-634,2762,-2848
190,-732,4668,-1768
191,-1612,3852,-1780
193,-1690,3004,24
194,-2106,3428,516
195,-1774,3172,1000
197,-1046,2534,2458
198,-3582,3852,3754
200,-3158,3322,3758
201,-1934,3864,2638
202,-1206,2980,2848
204,-2258,3152,4106
205,-3506,3832,4010
206,-1200,3246,1844
208,-686,3498,1076
209,-1660,3810,230
211,-1008,3214,-112
212,-810,3790,-230
213,-992,3912,-1732
215,-246,3552,-4010
216,488,4388,-4432
217,164,4232,-4406
219,-1000,3198,-4774
220,-1244,4914,-5492
221,422,3354,-6388
223,984,3070,-6506
224,-1578,4210,-4132
226,480,2972,-4342
227,926,3048,-4868
228,76,3454,-3938
230,-1024,3690,-2914
231,-1284,4230,-1482
232,-1366,3238,-534
234,-2480,3466,308
235,-1710,3314,924
237,-1302,2016,1392
238,-4000,4144,3380
239,-3028,2680,3762
241,-2364,3920,3648
242,-2322,3814,3354
243,-2550,2592,4376
245,-3318,3880,3908
246,-3068,2754,2160
248,-230,2718,1606
249,-1568,4050,246
250,-1476,2606,388
252,-88,3266,-644
253,-1290,4582,-2144
254,680,2498,-3312
256,222,3840,-3992
257,-120,4434,-4232
259,-76,2998,-4574
260,-68,2486,-5468
261,4,5418,-5884
263,1092,4172,-5624
264,1212,3394,-5064
265,-708,3500,-4826
267,202,3148,-4302
268,-692,3788,-4126
270,-1312,3928,-3174
271,-780,3466,-1484
272,-1666,3646,-1428
274,-2586,3822,604
