timestamp,accX,accY,accZ
0,-1662,3006,2762
2,-1872,2484,3070
3,-2492,3442,3450
5,-2050,2826,3984
6,-3372,3824,3044
7,-1002,2416,2080
9,-590,2960,1110
10,-1724,3674,1724
11,-646,2452,670
13,-1288,3922,-876
14,550,2638,-2050
16,310,3070,-2424
17,-940,4174,-3034
18,362,2784,-4062
20,-352,3594,-5102
21,-72,3702,-5798
22,252,3924,-5490
24,-44,3948,-5458
25,-358,3070,-5192
26,-212,3104,-5012
28,-140,3808,-4678
29,208,3492,-3972
31,-452,3432,-2734
32,-1426,3464,-1838
33,-1084,3302,-1942
35,-1472,3576,-476
36,-852,1836,-416
38,-2354,3530,1934
39,-3008,3974,2768
40,-2358,3856,2452
42,-1942,2418,2806
43,-2386,3146,3078
45,-2350,3322,4058
46,-2920,3732,3972
47,-2094,3064,1824
49,-992,3882,1636
50,-1466,3832,1548
51,-1624,2856,-492
53,-936,4102,126
54,822,3218,-1752
56,-748,4108,-2398
57,-678,3838,-2920
58,-198,3318,-4530
60,-414,3988,-4690
61,-44,3906,-5652
62,-36,4330,-5448
64,-244,3852,-5494
65,-508,3500,-5376
67,-328,3390,-5368
68,28,3972,-4966
69,-18,3452,-3340
71,-1094,3034,-3054
72,-1422,2986,-2166
73,-934,4274,-1088
75,-1528,3978,-678
76,-1310,2010,710
78,-2638,3144,1966
79,-2466,3826,2914
80,-2808,3314,2398
82,-1978,2392,2540
83,-2072,2754,3744
84,-2074,3116,4050
86,-2734,3446,4030
87,-2290,2824,2128
89,-670,3132,1602
90,-1066,4090,1980
91,-1030,2674,986
93,-870,3492,270
94,-670,3152,-2180
95,14,3458,-2114
97,-750,4056,-2964
98,40,3154,-3888
100,6,3582,-4624
101,-484,3674,-6138
102,-156,3920,-5340
104,-164,4076,-5602
105,-478,3294,-5426
106,-148,2968,-5444
108,-330,3614,-4786
109,-196,3782,-4022
111,-340,3086,-3626
112,-946,3504,-1766
113,-1168,3396,-1346
115,-1114,3986,-228
116,-870,2004,-458
117,-2314,2482,1488
119,-2574,4298,2660
120,-2156,3996,2900
121,-1424,2464,2852
123,-2692,3346,3308
124,-2268,3640,3728
126,-2098,3448,3522
127,-2206,2862,2312
128,-1066,2918,1588
130,-1090,3692,1456
131,-1536,3152,1256
132,-1538,3722,144
134,460,2820,-1988
135,-214,3758,-1668
137,-360,3588,-2932
138,-710,3542,-3490
139,-234,3692,-4664
141,236,3770,-5450
142,-538,4022,-5250
143,-234,3734,-5474
145,-74,3782,-5236
146,-126,3430,-5338
148,-262,3496,-4676
149,-190,3908,-4072
150,-280,3822,-3264
152,-1024,2982,-2248
153,-1464,3434,-2028
154,-1304,4094,-512
156,-884,2364,-526
157,-1444,2118,2110
159,-2328,3738,2088
160,-2724,4302,2872
161,-1438,2270,2450
163,-2222,2396,3144
164,-3152,3720,4194
165,-2258,3346,3560
167,-2252,3142,2976
168,-1870,2774,1824
169,-1368,3810,2016
171,-1192,3560,1254
172,-1734,3508,-1124
174,-560,3520,-556
175,992,3062,-1980
176,-872,4266,-2324
178,-478,3282,-3036
179,-382,3804,-5082
181,380,4022,-5014
182,292,4036,-5214
183,-574,3856,-5358
185,22,3374,-5222
186,-138,3508,-5328
187,-86,3426,-5552
189,-442,3762,-3970
190,-844,3658,-3108
191,-916,3062,-2808
193,-1366,3152,-1688
194,-1118,3916,-1386
196,-1550,4216,-34
197,-960,2062,1162
198,-3238,3018,2170
200,-2948,4440,3028
201,-1230,2860,1824
203,-2118,2152,2652
204,-3112,3712,4002
205,-2450,3812,4598
207,-1726,3130,2188
208,-1312,2940,1306
209,-860,4104,1620
211,-814,3196,1026
212,-1694,3340,984
214,-780,3068,-1248
215,94,3802,-1826
216,66,3920,-3502
218,-702,3810,-3576
219,-350,3640,-3652
220,-398,3790,-4980
222,480,3944,-5418
223,-56,3968,-5794
224,-722,3830,-5482
226,-96,3446,-5268
227,-112,3364,-5140
229,-314,3818,-4208
230,-426,3690,-3918
231,-350,3252,-2388
233,-1712,3602,-1454
234,-1570,3486,-892
235,-1176,3612,-132
237,-654,1922,-150
238,-3208,2932,1958
240,-3012,4344,2996
241,-1172,3416,2820
242,-1712,2546,3080
244,-3160,3158,3366
245,-2042,3474,4072
246,-2430,3228,2552
248,-1826,2536,2636
249,-1394,3086,1336
251,-1052,4232,1156
252,-824,3314,908
253,-794,3720,-510
255,-744,3256,-884
256,928,2984,-2234
257,-342,4280,-3576
259,-608,3194,-3340
260,-196,3324,-5224
261,174,3988,-5256
263,550,3656,-5786
264,-996,3666,-6040
266,-146,3460,-5258
267,640,3528,-5164
268,-862,3594,-4228
270,-784,3558,-4102
271,-500,3330,-3528
273,-1318,3740,-2566
274,-1592,4080,-998
