timestamp,accX,accY,accZ
0,-3060,4096,3514
2,-1662,2334,1028
3,-462,3560,398
5,-988,4584,370
6,-270,2714,-358
7,-1198,3714,-464
9,-1516,2662,-3266
10,284,3398,-4008
12,42,3654,-3998
13,-500,2802,-4396
14,-2334,4480,-4284
16,-1210,2916,-6338
17,1290,2872,-6094
18,-800,4264,-4700
20,-252,3006,-4082
21,80,3278,-3876
22,-198,2866,-4244
24,-458,3158,-3216
25,-1044,4074,-1260
27,-1606,3492,-590
28,-1804,2772,-518
29,-2042,3656,890
31,-250,1888,656
32,-1652,1964,3116
33,-3476,4004,3340
35,-1534,3076,3546
36,-1820,3956,1968
38,-1768,2026,2794
39,-2006,2548,3970
40,-3300,4014,2976
42,-958,2504,1952
43,-190,2890,306
44,-476,3618,16
46,-236,2978,32
47,-1016,3890,-1064
49,-606,2902,-2266
50,584,3072,-4278
51,364,4470,-4268
53,-76,2872,-4230
54,-1640,4900,-4742
56,466,3976,-5716
57,1666,2944,-6200
58,-1284,4140,-5200
60,-700,3370,-4158
61,64,3736,-4292
62,-400,3294,-4526
64,-352,2800,-2964
65,-1364,4282,-1730
67,-1914,3800,-892
68,-1790,2916,-496
69,-1884,3964,280
71,-1350,3458,968
72,-3368,2634,2982
74,-3632,3954,2938
75,-3284,3580,3198
76,-2206,4124,2436
78,-1222,2764,3652
79,-2398,3222,3914
80,-3294,4234,3710
82,-1410,3558,1292
83,-314,3414,290
84,-1252,3954,532
86,-794,3262,264
87,-1032,3450,-384
89,-770,3596,-2776
90,830,3418,-3866
91,344,4380,-4328
93,-376,2844,-4136
94,-1796,4138,-3874
96,-900,4896,-6446
97,1460,2966,-6304
98,-308,3742,-5870
100,-1674,3100,-3958
101,130,3102,-4178
102,66,3540,-4454
104,-716,3090,-3742
105,-1170,4200,-2672
106,-1656,4048,-1066
108,-2074,2926,-266
109,-2092,3668,-204
111,-1656,2336,378
112,-1082,1732,1426
113,-4104,3514,2946
115,-2636,3536,3932
116,-1520,4198,3154
117,-1596,2226,2684
119,-2334,2640,3858
120,-3010,3790,3024
122,-1100,3156,2694
123,-136,2978,812
124,-1104,3702,198
126,-630,3326,94
127,-304,3428,-1290
128,-606,3272,-2204
130,340,2852,-3596
131,416,4580,-4074
133,96,3146,-4380
134,-1248,3352,-4090
135,-1758,4234,-5410
137,1964,2824,-6524
138,326,4102,-5224
140,-1144,3322,-4066
141,-44,2850,-4040
142,88,3562,-4512
144,-296,2972,-3848
145,-1116,3476,-2106
146,-1858,3510,-942
148,-1546,3412,-930
149,-1810,3708,122
150,-1760,3338,472
152,-480,1602,2802
153,-3304,3578,3188
155,-3522,3524,3158
156,-1772,4438,2596
157,-710,3024,2158
159,-2266,2026,3802
160,-2534,3842,3734
161,-1068,3896,2288
163,-134,3266,356
164,-1396,3616,570
166,-1000,3212,864
167,-400,3764,-156
168,-662,3788,-1964
170,-294,3140,-3712
171,356,4322,-4236
173,-124,3920,-4068
174,-778,4092,-4346
175,-1246,4778,-5198
177,1056,3512,-6810
178,-408,4018,-6136
179,-1560,4072,-4606
181,-858,2932,-4354
182,224,3452,-5326
183,-208,3082,-4928
185,-1106,4168,-2448
186,-1594,3876,-1332
188,-1522,3186,-470
189,-1872,3598,182
190,-1764,3836,890
192,-826,1660,1468
193,-3678,3422,3376
195,-2942,3352,3910
196,-1372,3826,3018
197,-1936,3956,2846
199,-1936,2184,3948
200,-3078,3776,3954
201,-2870,2900,2496
203,6,2694,1112
204,-956,4168,432
206,-1350,2712,-396
207,-430,3392,80
208,-1610,4396,-2416
210,-286,2636,-3068
211,598,3822,-4650
212,-98,3512,-4542
214,-1496,3618,-4208
215,-1794,4660,-5622
217,1518,2936,-6010
218,478,3814,-6368
219,-818,3474,-4094
221,198,2614,-4174
222,44,3312,-4452
223,-470,3324,-3502
225,-866,4014,-2836
226,-1376,3546,-1386
228,-1476,3318,-948
229,-1828,3150,478
230,-1796,3392,890
232,-374,1446,730
233,-2412,2384,2966
234,-3342,3752,3072
236,-1582,3290,3354
237,-2478,3580,2490
239,-2060,2040,3060
240,-1884,2496,3254
241,-1914,4168,2698
243,-766,2766,2098
244,-66,3908,100
245,-782,3928,-384
247,218,3008,-668
248,-1322,4132,-1530
250,-692,3022,-2294
251,660,4774,-3854
252,144,4506,-4584
254,260,2400,-4434
255,-1812,5496,-4770
256,406,4346,-5404
258,1946,3428,-5994
259,-1508,4240,-5038
261,-742,3250,-4220
262,322,3714,-4748
263,-804,3704,-4218
265,-1126,3472,-2784
266,-1266,4080,-2128
268,-1588,3658,-576
269,-2024,3458,396
270,-1928,3582,904
272,-768,1966,1118
273,-3658,3564,3110
274,-3272,4224,3318
