timestamp,accX,accY,accZ
0,-1142,2626,1194
2,-146,4238,-562
3,548,3414,-2348
4,-346,3270,-2642
6,-574,3876,-2572
7,202,3738,-3426
9,236,3690,-5540
10,462,3838,-5794
11,190,3804,-5240
13,-408,3694,-5496
14,-628,3756,-5528
15,322,3488,-5300
17,-426,3750,-5130
18,-1116,3806,-4092
20,-1244,3392,-2844
21,-906,3652,-2446
22,-1268,3668,-1308
24,-720,2020,-262
25,-2140,2962,1256
26,-3282,4154,1980
28,-1446,2772,2206
29,-1876,3696,2044
30,-2208,2424,3680
32,-3360,3292,4348
33,-3212,3892,3780
35,-1910,2946,2970
36,-1608,3450,2110
37,-1854,3152,2386
39,-1804,3124,1980
40,-1208,3566,390
41,318,3220,-1200
43,-240,4512,-1130
44,-548,2636,-2694
46,-614,3264,-2308
47,-616,4166,-4206
48,152,3692,-5558
50,368,3970,-5838
51,-120,4046,-5316
52,-578,3496,-4778
54,-396,3684,-5828
55,-234,3688,-5732
57,10,3566,-5250
58,-832,3786,-3580
59,-998,3632,-2464
61,-524,3288,-2832
62,-848,3432,-1886
63,-652,3048,-662
65,-1192,2574,1106
66,-2416,3576,1844
68,-2164,3142,2454
69,-1724,3160,2208
70,-2106,2516,2464
72,-2680,2516,3816
73,-3664,3974,3940
74,-1446,2254,3220
76,-1782,2674,2156
77,-1838,3852,2724
79,-1110,2994,2424
80,-1542,3110,-6
81,-56,2554,-272
83,2,4032,-1684
84,-40,4034,-2406
85,-76,2502,-2978
87,-576,3076,-3468
88,242,4028,-4676
89,942,3554,-5562
91,610,4262,-5392
92,-220,3588,-5240
93,-26,3064,-5488
95,-412,3774,-5730
96,344,3702,-5402
98,14,3732,-4142
99,-1312,3820,-3374
100,-1254,3216,-2848
102,-834,3554,-1456
103,-996,3306,-1508
105,-926,2526,584
106,-2506,3184,1688
107,-2910,3748,2218
109,-2118,3322,2476
110,-1898,3156,2064
111,-2038,2328,4160
113,-3738,4310,4140
114,-2288,3038,3502
116,-1784,3454,2242
117,-2168,3838,1950
118,-1430,3238,1232
120,-1198,3724,828
121,-1216,3564,672
122,822,4306,-1060
124,-1308,5390,-1368
125,788,2624,-2716
127,-846,4628,-3558
128,-712,4594,-3738
129,1140,2962,-5604
131,-34,4486,-5522
132,-146,3612,-5600
133,-198,3422,-5928
135,-98,3796,-5798
136,-306,4048,-5256
138,-566,3462,-4644
139,-1108,3684,-3890
140,-1048,3898,-2770
142,-634,2942,-2106
143,-1242,3234,-692
144,-1084,2506,-40
146,-1734,2496,972
147,-2842,3386,2326
148,-2036,3572,2396
150,-1786,3358,2320
151,-2996,2650,3636
153,-3982,4400,4268
154,-2910,3656,3396
155,-2102,3264,2502
157,-2304,4018,1836
158,-1496,2960,2702
160,-1854,3694,1724
161,-1236,2756,192
162,74,3906,-640
164,46,4052,-2078
165,120,2962,-2400
166,-582,3558,-3046
168,-934,4390,-5036
169,1034,3370,-5724
171,770,3730,-6138
172,-504,3654,-4972
173,-200,3272,-5456
175,-292,3556,-5986
176,-218,3820,-5298
177,-218,3756,-5236
179,-680,3756,-3374
180,-1490,3744,-2782
182,-1124,3480,-2154
183,-620,2966,-1552
184,-1022,2884,-528
186,-1656,2712,1908
187,-2684,3304,2036
188,-2386,3534,2196
190,-1752,3012,2504
191,-1970,2194,3104
193,-3782,3308,4436
194,-2156,3052,3970
195,-1856,2956,3440
197,-2008,3522,1944
198,-1248,3260,2608
199,-1606,3174,794
201,-1382,3758,742
202,294,2876,-630
203,504,3354,-1506
205,-174,3162,-2408
206,-360,2772,-2688
208,-906,4420,-4166
209,1034,3432,-5460
210,826,3258,-5718
212,-776,4126,-5036
213,42,3492,-5300
214,-440,3172,-6340
216,-248,3864,-5594
217,226,3912,-4574
218,-494,3424,-3682
220,-1308,3454,-3168
221,-1252,3720,-2430
223,-656,3110,-2040
224,-904,3582,72
225,-1610,2730,1104
227,-2564,3032,1850
228,-2650,3546,2226
230,-1960,3372,2326
231,-1612,2426,2380
232,-2828,4094,4098
234,-3178,3916,4398
235,-1502,2646,2612
236,-2424,3890,1644
238,-1574,3648,1872
239,-1008,3152,1890
241,-2256,3598,1500
242,-652,3604,-836
243,534,3576,-2096
245,-814,4410,-2368
246,-508,3068,-2824
247,-644,4498,-3138
249,180,4122,-5644
250,922,3680,-5842
252,-600,4660,-5388
253,-588,4166,-5686
254,-54,3262,-5590
256,62,3436,-5844
257,-40,3918,-5152
258,-300,3646,-4286
260,-868,3350,-2604
261,-1350,3746,-2624
263,-614,3576,-1954
264,-598,3136,-514
265,-2208,3042,816
267,-2252,2780,1956
268,-2092,3438,1918
269,-2138,4000,2550
271,-1894,3316,3160
272,-3082,2698,3766
273,-3414,4186,4096
