timestamp,accX,accY,accZ
0,-2176,2958,3244
2,-3552,3268,2990
3,-2014,3268,3294
5,-2368,4214,2570
6,-1696,2136,3612
7,-2668,3186,3952
9,-1110,3404,2066
10,8,3110,1630
11,-74,3328,1024
13,-1096,3034,550
14,-480,3122,462
16,-494,3912,-1816
17,-480,3198,-2650
18,-84,3392,-3918
20,14,3592,-3890
21,-380,2820,-4454
22,-2040,4870,-5110
24,1010,3518,-6054
25,1514,2868,-6128
27,-1810,4010,-4536
28,-958,3472,-3988
29,30,3324,-5284
31,148,2794,-5024
32,-940,3306,-2294
34,-1726,4066,-1220
35,-1214,3050,-1330
36,-1500,3800,-186
38,-1702,3966,944
39,-810,2376,1090
40,-3962,4134,3144
42,-2856,4190,3318
43,-1854,2634,2908
44,-2502,4026,1956
46,-978,2506,2686
47,-2042,3816,3620
49,-3296,4238,3172
50,-608,2768,1196
51,-1370,3986,642
53,-1888,4060,-18
54,-456,3062,-364
55,-1472,4492,-768
57,-840,3570,-2946
58,256,3916,-4114
60,-262,4764,-4124
61,238,2994,-4240
62,-2278,5162,-4424
64,-424,4668,-5958
65,1096,3016,-5948
66,-1092,3876,-5570
68,-1538,3722,-3838
69,404,3780,-4134
71,264,3358,-4802
72,-326,3404,-2800
73,-1342,4322,-1902
75,-1576,3834,-1056
76,-1792,3196,-634
77,-2006,3722,-64
79,-1382,1734,794
80,-2434,2470,2256
82,-3884,4150,3100
83,-2994,3254,3154
84,-1818,4040,2204
86,-1370,2230,3426
87,-2728,2838,3948
88,-3550,4136,2620
90,-1576,2762,1668
91,-426,3108,570
93,-1684,4190,414
94,168,2810,218
95,-882,3800,-172
97,-1356,2786,-2510
98,618,3144,-3378
99,294,4800,-3838
101,96,2228,-4300
102,-1866,3836,-3880
104,966,3850,-5780
105,1966,2754,-6218
106,-148,3904,-4906
108,-1018,3364,-3888
109,216,3402,-3980
111,-10,2896,-4740
112,-790,2872,-4152
113,-1046,4204,-1772
115,-1580,3308,-1046
116,-2044,2822,-560
117,-2132,4032,636
119,-468,2590,316
120,-750,1644,2958
122,-3528,3990,3330
123,-2818,3540,3914
124,-1176,3414,1890
126,-1312,2632,2642
127,-2268,2674,4074
128,-2556,3864,3470
130,-1194,3226,2466
131,-190,2726,-28
133,-1136,4136,716
134,-222,2930,-208
135,-352,4314,-344
137,-776,3170,-1838
138,-152,2746,-4404
139,32,4844,-4180
141,16,3104,-4176
142,-1062,4978,-4196
144,-346,4312,-5498
145,1726,3062,-6334
146,886,4066,-5990
148,-1424,3678,-4484
149,-112,3144,-4100
150,-180,3278,-4678
152,-342,2560,-4276
153,-560,4548,-2244
154,-1572,3958,-836
156,-1674,3142,-272
157,-1984,3686,-134
159,-1298,3766,528
160,-248,2404,2110
161,-3794,3678,3302
163,-3216,3668,3706
164,-1518,4008,2544
165,-1056,3094,1916
167,-2182,2832,3788
168,-3326,4002,4018
170,-1774,3612,2680
171,-796,3256,566
172,-1200,3630,284
174,-950,3408,412
175,-1030,3586,256
176,-976,3302,-1724
178,-778,3462,-3580
179,506,4256,-4318
181,-148,4150,-4478
182,-2020,3786,-3698
183,-1332,4930,-4774
185,942,2990,-6452
186,12,3738,-6166
187,-1492,4082,-3916
189,66,3164,-3870
190,132,3578,-4612
192,120,2950,-3934
193,-1136,4222,-2958
194,-1616,4532,-1492
196,-1704,2616,-576
197,-2028,3296,-266
198,-1808,4068,594
200,-300,1484,862
201,-3752,3156,2812
203,-3022,3578,3580
204,-1342,4006,3442
205,-2050,3596,2090
207,-2622,2652,3680
208,-2616,3664,4062
209,-2778,3446,2554
211,-558,2940,1364
212,-718,3194,604
214,-744,3426,-18
215,-222,3342,-580
216,-934,3804,-2058
218,-178,2870,-2670
219,478,3688,-4008
220,104,3362,-4176
222,-534,2932,-4276
223,-2080,4708,-5332
225,1584,3046,-6294
226,1130,3096,-6112
227,-912,3788,-4182
229,-378,2992,-4130
230,320,3408,-4800
231,-274,2980,-4056
233,-1142,3298,-2890
234,-1416,3838,-1292
235,-1560,3410,-1212
237,-1638,3240,-296
238,-2050,3670,474
240,-764,2038,538
241,-1626,2108,3220
242,-3044,3376,2728
244,-2538,3822,3314
245,-1668,3192,2008
246,-1718,2106,3094
248,-2852,2770,3918
249,-1734,3642,3074
251,-460,3592,1568
252,166,3454,308
253,-856,3280,736
255,-632,3600,392
256,-734,3480,-1598
257,-544,3242,-2440
259,416,3336,-4076
260,112,3942,-4182
261,-696,3108,-4352
263,-2042,4718,-4800
264,626,3620,-5934
266,1628,3106,-6342
267,-1284,4038,-4904
268,-1102,3178,-3722
270,-282,3230,-5064
271,254,2732,-4672
272,-262,3224,-3840
274,-1488,4312,-1800
