timestamp,accX,accY,accZ
0,-744,3448,1986
2,-328,4170,468
3,-410,2210,-250
4,-922,3106,-426
6,-1392,3926,-3090
7,1008,3038,-3260
9,154,3544,-3790
10,-1206,3900,-4196
11,372,3198,-5098
13,320,3452,-5710
14,-860,4004,-5702
15,-38,3640,-5876
17,232,3764,-4822
18,-574,3106,-4898
19,-644,2878,-3868
21,-196,4026,-3446
22,-566,3758,-2832
24,-888,2842,-1588
25,-2096,4306,14
26,-1898,4334,-46
28,-804,1398,676
29,-2820,2548,1938
31,-3822,4594,3176
32,-914,2872,2944
33,-1448,2144,2612
35,-3200,4104,4018
36,-1186,2970,3846
37,-1400,3532,2358
39,-2434,3610,2038
40,-538,2930,1804
42,-538,4390,606
43,-514,2792,-1038
44,-530,2382,-1040
46,-632,4514,-2314
47,292,3600,-2782
48,936,3800,-3528
50,-1274,4490,-4232
51,-190,3636,-5358
53,306,3866,-5616
54,-1094,4382,-5364
55,-286,3714,-5140
57,-52,4092,-5002
58,-118,3390,-4458
59,-498,3144,-4074
61,-704,3856,-3248
62,-532,4000,-2318
63,-1238,2644,-1912
65,-1518,3344,-1254
66,-2370,3970,-66
68,-708,1880,370
69,-1840,3162,2312
70,-3522,4744,3034
72,-1890,4180,2816
73,-2510,2520,2330
75,-3424,3666,3096
76,-2578,2642,3750
77,-1898,2786,2794
79,-3074,3744,1058
80,-1258,3530,1582
81,-680,4460,934
83,-1132,3632,152
84,-950,2892,-336
86,-1002,4356,-1184
87,98,3200,-3530
88,344,3312,-3754
90,-1032,4116,-3950
91,360,3208,-5078
92,354,3620,-5370
94,-450,3902,-5866
95,-256,3534,-5772
97,152,3928,-4672
98,-402,3160,-4554
99,-696,2684,-4260
101,-632,3866,-3644
102,-788,3880,-3018
104,-906,3604,-1328
105,-1716,3302,-754
106,-2136,4486,448
108,-892,3658,632
109,-2694,2154,1732
110,-3906,4046,2312
112,-2738,3252,3130
113,-1792,2740,3180
114,-3204,2894,3704
116,-1458,3546,4144
117,-1180,2888,3260
119,-2290,3452,2356
120,-906,2856,1682
121,-600,3720,-82
123,-692,3518,-248
124,-190,2066,-564
126,-1462,4728,-1696
127,408,3462,-2714
128,1228,2812,-3840
130,-1432,4612,-4214
131,-408,3424,-4476
132,720,4408,-5316
134,-816,3974,-5478
135,-244,3116,-5330
137,-418,4360,-5548
138,46,3788,-4656
139,-260,2874,-3740
141,-838,3518,-3514
142,-122,3650,-3162
143,-314,3316,-1772
145,-2114,3068,-1034
146,-2034,3882,498
148,-588,2466,400
149,-1162,1456,910
150,-4060,4142,2470
152,-2186,3958,3458
153,-922,3290,2766
154,-2870,2670,2430
156,-2978,3410,4300
157,-1618,3666,2592
159,-2364,3096,2746
160,-2088,3476,1816
161,-1002,4132,398
163,-662,3968,292
164,-414,2662,-260
165,-1518,3744,-510
167,134,3868,-2762
168,862,3438,-4422
170,-740,4066,-3446
171,-1370,4154,-5016
172,668,3374,-5296
174,118,4132,-5554
175,-784,3438,-6118
176,-16,3740,-5176
178,300,4012,-4684
179,-960,3028,-4250
181,-1030,3094,-3882
182,-402,3754,-3234
183,-826,3726,-2198
185,-1598,3236,-708
186,-2034,3972,250
187,-1216,3918,594
189,-76,1620,1840
190,-4066,3908,2442
191,-3120,4504,3010
193,-1098,3106,2946
194,-3084,3046,2360
196,-2868,2692,4398
197,-1382,3474,3264
198,-1642,2928,2314
200,-2042,3526,1672
201,-534,3558,1240
203,-640,3702,-62
204,-746,2828,-240
205,-1114,3182,-722
207,-376,4322,-2858
208,952,3362,-3962
209,112,3084,-3676
211,-1658,3896,-4266
212,646,2928,-5612
214,754,3684,-5772
215,-522,3812,-5720
216,-290,3106,-5346
218,-294,3874,-4778
219,-250,3290,-4780
220,-698,3206,-3870
222,-458,3850,-3128
223,-552,3502,-2318
225,-1194,3370,-1008
226,-1738,3528,-246
227,-1516,3950,550
229,-706,1406,1014
230,-3378,2770,2788
231,-3542,4148,3192
233,-558,2872,2912
234,-2184,3270,2556
236,-2814,2810,4024
237,-1990,3332,4144
238,-1954,3020,2430
240,-1516,3024,1696
241,-984,3520,1402
243,-978,3564,544
244,-1124,2960,-1152
245,-508,3660,-1442
247,24,4134,-2672
248,562,3608,-3816
250,-486,3604,-3402
251,-1448,4222,-3618
252,300,3244,-5554
254,318,4266,-5856
255,-320,4214,-5354
256,-440,3498,-4758
258,-428,3710,-4690
259,-274,3366,-4586
261,-306,3532,-3966
262,-560,3682,-2716
263,-1066,3194,-1652
265,-1412,3120,-1340
266,-1776,3948,-422
267,-1328,3566,174
269,-768,1938,1910
270,-4002,3686,2714
272,-2972,4238,2796
273,-1808,3418,2782
274,-2734,3398,2032
