timestamp,accX,accY,accZ
0,-2026,3348,3768
2,-930,1802,2190
3,-3088,4238,2106
4,-1130,3092,1952
6,-576,4670,110
7,-912,4290,-78
9,310,1932,-802
10,-20,5112,-1348
11,182,3940,-2776
13,1164,2402,-3896
14,-1382,4672,-3822
15,200,3000,-4844
17,656,4666,-5424
18,-354,4208,-5418
20,-174,2942,-5366
21,-174,3776,-5564
22,168,3746,-5226
24,-378,3674,-3736
25,-1288,3502,-3780
26,-530,2918,-3370
28,-458,4116,-1788
29,-1796,3816,-832
31,-1864,2972,32
32,-1114,2838,498
33,-384,1582,1120
35,-3306,3948,2048
36,-3528,4782,3376
37,-232,2898,2888
39,-3352,3570,2930
40,-4006,4014,4002
42,-1322,2450,2968
43,-2176,3558,2048
44,-2434,3570,1114
46,-502,3726,1490
47,-992,4498,224
49,-244,2250,-166
50,-504,3222,-1492
51,-1288,4834,-3420
53,818,3180,-3794
54,-744,4304,-4386
56,-48,3202,-4492
57,560,3674,-5450
58,-232,3830,-5430
60,-60,3070,-5588
61,-250,3552,-5074
62,132,3588,-4842
64,-808,3838,-4052
65,-1368,3794,-3616
67,-274,2912,-3570
68,-740,3542,-2482
69,-1676,3494,-42
71,-1746,2874,-314
72,-1866,3694,380
73,-1330,1908,2058
75,-3202,3234,2888
76,-4048,4048,3292
78,-396,2152,2682
79,-2024,2640,3392
80,-2740,3618,3984
82,-1130,2380,3390
83,-956,3994,2196
85,-1448,3216,1566
86,-1016,2588,218
87,-1300,4818,92
89,72,2438,-750
90,126,4716,-1224
91,-356,4732,-2376
93,1230,2662,-3572
94,-1542,4738,-3990
96,-344,3426,-4374
97,660,4468,-5630
98,-286,4628,-5650
100,-14,3124,-5114
101,-548,3656,-5286
103,374,3702,-5604
104,-232,3912,-3878
105,-1574,3734,-3382
107,-630,2904,-3200
108,-1058,4152,-2048
109,-1834,4122,-334
111,-1950,3516,-302
112,-1784,3538,668
114,468,1390,2996
115,-3410,3454,2208
116,-4484,4754,3096
118,-938,2220,2800
119,-2646,3336,3034
121,-4828,3144,3816
122,-1012,2406,3548
123,-1248,3268,2186
125,-984,2992,526
126,-392,3142,1672
127,-930,4616,-362
129,-198,2188,-616
130,-308,2380,-1102
132,-1350,4400,-2726
133,1302,2884,-3920
134,-102,4272,-4204
136,-378,3426,-4528
137,736,3316,-5988
139,466,4416,-5214
140,-82,3050,-5808
141,-26,3182,-5318
143,94,3574,-5240
144,-742,3766,-4086
145,-874,3332,-3130
147,-524,3134,-3618
148,-988,3502,-1326
150,-1852,3562,-54
151,-1930,2832,-340
152,-2146,2720,538
154,152,1220,1544
155,-3466,2724,2224
157,-3694,4494,3508
158,262,2400,2738
159,-1808,4566,2932
161,-3800,3788,4010
162,-948,2240,2900
163,-894,4440,2230
165,-1820,3510,1878
166,-656,1888,300
167,-1840,5290,566
169,648,2640,-1232
170,-20,4292,-1848
172,-1190,5010,-1898
173,1494,2776,-4204
174,-1510,5076,-3932
176,-538,3586,-4712
177,210,4454,-5516
179,-202,4754,-5864
180,180,3290,-5286
181,-448,3662,-5110
183,38,3524,-5386
184,116,3932,-4028
185,-1342,3676,-3498
187,-962,3184,-3268
188,-890,3904,-2486
189,-1856,4436,-576
191,-1978,3142,-246
192,-1850,3434,594
194,134,1540,656
195,-1768,3296,2814
196,-4436,4644,2922
198,-1254,3604,2734
199,-2150,3324,2982
200,-4542,4188,3236
202,-2410,2560,3590
203,-902,3066,1994
205,-3020,3960,584
206,-744,2930,1734
207,-778,4156,544
209,-836,2802,-534
210,8,2164,-1116
211,-1212,4318,-2812
213,1048,3084,-3914
214,498,3716,-3990
216,-1300,4344,-4662
217,348,3218,-5004
218,588,4400,-5854
220,-100,3296,-6000
221,-124,3132,-4944
223,-328,3362,-5068
224,-488,3722,-4352
225,-644,3738,-3998
227,-1142,3292,-3404
228,-1174,3362,-2952
229,-1104,4140,-98
231,-2248,3252,-58
232,-2200,3454,266
233,-1048,1466,1418
235,-3052,2764,3080
236,-3630,4028,2656
237,-3720,2572,2724
239,-1574,2574,3004
240,-3294,4224,4044
242,-1808,2756,3836
243,-1156,2314,2100
245,-1832,3868,1908
246,-918,2370,1442
247,-526,5100,428
249,150,3500,-882
250,352,1448,-680
251,-898,5100,-1840
253,1100,3184,-3758
254,1382,3068,-4130
256,-750,3914,-4476
257,58,2562,-4826
258,430,4986,-5714
260,742,3368,-5882
261,-186,3090,-5134
262,-212,3472,-5366
264,404,3186,-4670
265,-386,4010,-3220
266,-1042,3098,-3392
268,-682,2932,-2598
269,-920,4392,-892
271,-2178,3720,104
272,-2426,3220,372
273,-258,1814,474
275,-1142,1744,2246
