timestamp,accX,accY,accZ
0,-1418,1744,674
2,-2042,2372,1988
3,-3516,3758,3294
4,-2976,3202,3292
6,-2138,3424,2704
7,-2440,3514,3306
9,-2942,3504,4470
10,-2846,3222,3496
11,-1678,3580,1462
13,-810,4336,1796
14,-654,3012,1338
16,-1358,3530,416
17,-72,3030,-388
18,-108,4044,-2478
20,-620,4424,-2764
21,828,3556,-3668
22,-390,4058,-4100
24,-816,3534,-4720
25,-222,4146,-5760
27,354,4484,-6026
28,584,3536,-5444
29,-1094,3756,-4830
31,-974,3696,-4520
32,-138,3460,-4710
33,-556,3708,-4300
35,-1188,3946,-2292
36,-1056,3090,-1468
38,-1668,3386,-534
39,-2080,3210,280
40,-618,2010,298
42,-1402,2370,2576
43,-3222,3792,3244
44,-2536,3144,3638
46,-1806,2972,2556
47,-2018,3724,2952
49,-2494,3556,3784
50,-2192,2730,3252
51,-1890,2890,2356
53,-1172,3530,1224
54,-796,3756,-40
55,-1414,3710,348
57,-176,3022,-210
58,-902,3858,-1558
60,-838,3938,-3610
61,1030,3610,-4526
62,90,4300,-4058
64,-370,3034,-4836
65,-324,3940,-5082
66,78,4340,-6046
68,632,3386,-6218
69,-402,3890,-5496
71,-630,3446,-4412
72,-570,3530,-4062
73,-510,3422,-3872
75,-446,3620,-2910
76,-470,3510,-2026
77,-1364,3224,-416
79,-2190,4002,718
80,-1026,2620,370
82,-484,3114,2100
83,-3406,4088,2670
84,-3042,3462,3274
86,-2662,3000,2682
87,-2804,3268,2772
88,-2488,3666,4090
90,-2560,2964,2936
91,-2268,2444,2496
93,-1320,3678,2006
94,-892,3416,942
95,-886,3812,-46
97,136,2692,-872
98,-686,3632,-324
99,-754,3590,-3038
101,822,3554,-3428
102,892,3886,-4186
103,-152,3486,-4846
105,160,3462,-5190
106,266,4064,-5614
108,-22,3730,-5752
109,90,3344,-6200
110,-148,3886,-4776
112,-746,3682,-4650
113,-1016,3436,-4054
114,-748,3556,-3488
116,-886,3960,-3098
117,-1070,3022,-970
119,-2406,3486,-12
120,-2182,3934,530
121,-678,1274,1052
123,-3138,3010,2392
124,-3514,3990,3998
125,-1422,2774,3390
127,-2836,2814,2830
128,-3068,3948,4130
130,-1534,3280,3966
131,-1730,2972,2332
132,-1878,3946,1752
134,-702,3526,1032
135,-1216,3764,462
136,-706,2882,-252
138,-120,3776,-762
139,-582,4878,-2584
141,298,3778,-3074
142,1068,3966,-4170
143,-824,4272,-4198
145,128,3298,-5348
146,110,4260,-6068
147,54,3900,-5858
149,124,3504,-5674
150,-634,3772,-5222
152,-640,3546,-4294
153,-744,3578,-4236
154,-602,3566,-3840
156,-774,3434,-2222
157,-1412,3014,-1376
159,-1890,3610,226
160,-1170,3162,304
161,-408,1544,826
163,-1834,3938,3056
164,-3094,4028,3158
165,-1956,3212,3256
167,-3034,3470,2580
168,-3156,3920,3792
170,-2222,2610,3482
171,-2356,2964,2958
172,-2532,3416,2000
174,-962,3712,1550
175,-1212,3960,742
177,-760,2926,-1254
178,-628,3420,-634
179,-258,4062,-2334
181,602,3632,-3870
182,458,3370,-4036
183,-360,3730,-5012
185,84,3830,-5006
186,788,3900,-5798
188,160,3568,-6092
189,-2,3376,-5702
190,-226,3856,-5264
192,-692,3804,-4670
193,-524,3518,-4460
194,-568,3850,-3412
196,-1032,3798,-2412
197,-1116,3098,-1014
199,-1986,3656,-90
200,-1736,3768,650
201,-1068,1324,1166
203,-3168,2736,2944
204,-3490,3792,3430
206,-1386,2958,3356
207,-2566,2918,2798
208,-3608,3886,4202
210,-1950,3030,4040
211,-2036,2906,2466
212,-1808,3608,1408
214,-916,3792,1314
215,-412,3634,764
217,-726,2996,-76
218,-286,2566,-1038
219,-446,4682,-2376
221,226,4258,-2964
222,992,3738,-4076
223,-470,4032,-4298
225,34,3508,-5188
226,434,4152,-5992
228,240,3870,-6040
229,246,3504,-5620
230,-594,3660,-5160
232,-482,3634,-4402
233,-548,3544,-4426
234,-688,3616,-4206
236,-1084,3730,-2646
237,-1228,3292,-1192
239,-1800,3120,-142
240,-2068,3562,380
241,-352,1922,814
243,-954,1714,3002
244,-3244,3832,2794
245,-2426,3424,3716
247,-1396,3502,2824
248,-3098,3670,3318
250,-2800,3508,3686
251,-1900,2606,3024
252,-2744,3382,2826
254,-1886,3370,1832
255,-878,3646,976
256,-500,4072,48
258,248,2308,-1492
259,-1188,4322,-810
261,-916,3052,-3842
262,590,3434,-4118
263,-194,4406,-4238
265,450,3392,-5406
266,212,3946,-5360
268,30,3144,-6110
269,-88,3538,-5698
270,-228,3804,-5652
272,-416,3756,-4950
273,-818,3702,-4154
274,-1252,3506,-3762
