timestamp,accX,accY,accZ
0,-2542,3508,3588
2,-2508,3412,2496
3,86,2088,980
5,-1764,4020,758
6,-1458,2788,366
7,-672,2748,312
9,-2002,4236,-1884
10,1252,2658,-2980
11,900,3434,-3776
13,-818,3350,-3252
14,-978,3320,-3408
16,-688,4496,-5928
17,1048,2938,-5802
18,-154,3726,-5660
20,-1608,3494,-4176
21,426,2490,-4524
22,-380,3348,-4758
24,-376,3354,-3412
25,-244,3808,-3262
27,-1414,3152,-1474
28,-1446,2374,-1112
29,-1834,3428,-366
31,-1090,3334,-74
32,68,1196,116
34,-3926,4126,2302
35,-3382,3830,3026
36,-286,3210,2246
38,-1858,3456,1960
39,-1948,1912,3262
40,-1558,4072,3540
42,-2296,4100,2744
43,16,2592,1032
45,-1180,4650,632
46,-824,3528,978
47,-224,3526,408
49,-1516,4182,-960
50,114,3062,-3534
51,1464,4096,-4048
53,-1416,4556,-3436
54,-1228,3620,-3952
56,-272,3834,-5360
57,190,3590,-6176
58,566,4490,-5376
60,-1108,4524,-4612
61,-386,2996,-4806
62,-514,3064,-4886
64,-550,3542,-4438
65,-612,4208,-3306
66,-1302,3752,-2158
68,-1504,2954,-768
69,-1790,3744,-240
71,-1472,4298,440
72,-780,1616,1266
73,-3718,3508,2400
75,-2786,4392,3936
76,-886,3288,2836
78,-2832,3814,2560
79,-1598,2088,3472
80,-1994,3372,3788
82,-2460,4416,2260
83,-2022,1864,940
84,-1296,3652,1144
86,-1734,4946,220
87,-322,2526,204
88,-1696,4240,-1178
90,-1690,2376,-3014
91,410,2738,-3600
93,-984,4886,-3706
94,-402,3036,-3842
95,-910,3826,-4688
97,-650,3160,-5906
98,336,3334,-5628
99,-928,4750,-4562
101,332,2642,-4618
102,-12,3072,-4514
104,-88,3760,-3246
105,-232,3502,-3068
106,-1154,3656,-1850
108,-972,3370,-922
109,-1532,3372,-558
111,-1704,3468,412
112,52,1400,442
113,-2840,2626,2308
115,-2950,4230,2760
116,-416,2826,2564
117,-2512,3652,2346
119,-2122,2104,3090
120,-1258,1922,3176
122,-2656,4842,2420
123,-848,2512,2012
124,-22,4758,804
126,-1666,4010,416
127,132,2146,-144
129,-1120,4922,-2188
130,-440,3316,-1920
131,1890,1986,-3192
133,-1608,5050,-3118
134,-150,2756,-3902
135,-302,4890,-5486
137,-96,4480,-5096
138,1378,2770,-4912
139,-1168,4582,-4412
141,-348,2872,-4428
142,-6,3764,-4928
144,-552,3914,-4092
145,-330,3424,-2918
146,-1312,3542,-2014
148,-1850,3084,-1266
149,-1758,3882,-780
151,-1224,3880,-138
152,-1414,2718,694
153,-4252,3140,2914
155,-2780,3916,2482
156,-3160,3718,2280
157,-2828,4124,2122
159,-1508,3248,2226
160,-1930,2790,3862
161,-3110,3730,3330
163,-2024,3898,924
164,68,3442,796
166,-830,4448,140
167,-992,2592,1172
168,-1240,3456,50
170,-1116,3136,-2990
171,1450,2868,-3436
173,-276,4658,-3276
174,-686,2792,-3646
175,-628,2986,-4176
177,-818,4122,-6056
178,654,3382,-6294
180,-450,4304,-5618
181,-1130,2876,-4452
182,-700,2652,-4168
184,-522,3144,-4580
185,-378,3940,-3722
186,-844,3726,-3128
188,-1446,3026,-994
189,-1896,3358,-172
191,-1418,3780,86
192,-530,1986,-100
193,-1646,2160,1572
195,-3780,4250,3476
196,-1552,2666,3404
197,-1898,3474,2476
199,-2258,2710,2524
200,-872,2446,3986
202,-2870,3762,3312
203,-1356,2606,2592
204,552,2408,1102
206,-1360,4564,-1052
207,-470,2936,152
208,-292,2808,-478
210,-1646,3898,-1530
211,700,2284,-3308
212,558,5040,-4460
214,-1208,4292,-3602
215,-430,2680,-4604
217,-908,4472,-5074
218,482,3316,-5756
219,598,4638,-5228
221,-692,3780,-4640
222,-62,2704,-4110
224,-526,3532,-3834
225,-512,3236,-3416
226,-202,3568,-2470
228,-912,3274,-1448
229,-1848,3484,-450
230,-2036,3852,322
232,-904,2742,112
233,-234,1576,2240
235,-2950,4340,2564
236,-3220,3572,3326
237,-826,3924,2402
239,-1562,3342,2016
240,-1458,1946,3424
241,-3534,4406,3112
243,-2274,3790,2584
244,-102,3340,554
246,-1520,5054,-136
247,-680,3394,-124
248,-1714,4136,162
250,-1564,4328,-960
251,22,2608,-3534
252,-98,4788,-4138
254,-604,4696,-3466
255,-550,3390,-3992
256,-846,4030,-4966
258,176,3818,-5508
259,-190,4248,-5692
261,-856,4106,-4808
262,-268,3066,-4156
263,-480,3276,-4194
265,-346,3142,-3232
266,-758,3854,-2994
267,-1090,3454,-2134
269,-1294,3588,-644
270,-2188,3838,-86
272,-1470,3240,-68
273,-350,2506,1280
274,-3794,4204,2300
