timestamp,accX,accY,accZ
0,-774,3342,-2426
2,-474,3230,-1924
3,-218,2580,-1768
5,-288,2900,572
6,-2754,3430,1638
7,-3396,3608,2620
9,-2444,3600,2160
10,-2036,3134,2154
11,-2804,4222,4766
13,-3236,3106,3990
14,-2192,2230,3950
15,-1680,3508,2346
17,-1478,3030,3080
18,-954,3454,1490
20,-1154,2516,1734
21,-780,2434,584
22,-936,4772,-896
24,624,3332,-2570
25,142,3102,-2944
26,-594,4266,-2406
28,318,3308,-3736
29,558,3844,-5892
31,720,3580,-6264
32,248,3782,-5722
33,-742,3462,-6052
35,-850,3980,-5762
36,-266,4034,-5822
37,-312,3724,-5618
39,-920,3834,-3722
40,-1058,3386,-2428
42,-682,3254,-1972
43,-626,2824,-952
44,-422,2250,-92
46,-1622,2906,1232
47,-2838,3444,2452
49,-2476,3446,2660
50,-2150,2830,2790
51,-3524,3482,3836
53,-4174,4170,4080
54,-2042,2302,3974
56,-2816,3892,3666
57,-1838,2650,3050
58,-1114,3108,2340
60,-1576,3258,1172
61,-512,3134,712
62,-204,3562,-808
64,-274,4382,-2050
65,546,2962,-3092
67,-672,3714,-2574
68,-616,3306,-4536
69,1138,3118,-5834
71,366,4012,-6052
72,-100,3504,-5808
73,-360,3608,-5712
75,-600,4434,-5722
76,194,4168,-6224
78,304,3560,-4696
79,-1290,3932,-3586
80,-746,3464,-3018
82,-294,2940,-1990
83,-846,2792,-1680
84,-862,2638,534
86,-2118,3410,1416
87,-2998,3358,1878
89,-3048,3520,2508
90,-2266,3336,2754
91,-2086,2702,4658
93,-4120,3632,3990
94,-1750,1908,3746
95,-2394,3078,3072
97,-1800,3022,3030
98,-1092,3028,3066
99,-1276,3376,1204
101,-1114,2870,716
102,-426,3602,-766
104,110,3998,-2056
105,-496,3408,-2156
107,-482,3890,-2754
108,108,4062,-4228
109,622,3466,-5894
111,334,3494,-6544
112,18,3670,-5900
113,-650,4034,-5798
115,-250,3862,-6450
116,-168,3808,-5800
118,-170,3776,-5194
119,-776,3842,-3904
120,-1110,3126,-3084
122,-196,3020,-2550
123,-442,2498,-1048
124,-1822,3428,268
126,-1884,3328,1180
127,-2174,3010,1784
129,-2696,3636,2382
130,-2446,3926,3214
131,-3004,2788,4132
133,-4420,4302,4750
134,-2584,1906,4092
135,-2390,3566,3902
137,-2556,4070,3112
138,-1810,2604,2734
139,-1590,3674,1666
141,-1892,4484,576
142,682,2390,-1302
144,-966,4934,-936
145,-970,2302,-2846
146,-342,3354,-2614
148,-662,4554,-4774
149,940,3210,-5634
150,112,3868,-5864
152,-214,3564,-5804
153,-476,4100,-5602
155,32,3962,-6148
156,-180,3980,-5994
157,18,3490,-5520
159,-286,3424,-3622
160,-664,3534,-3120
161,-330,3022,-3064
163,-42,3272,-1392
164,-1622,3798,-800
165,-2012,3732,982
167,-1856,2774,1618
168,-2972,3666,2310
170,-2508,2976,3144
171,-1728,2044,2954
172,-4048,4030,4390
174,-3134,1962,3882
175,-1742,2370,3972
177,-3222,3780,2760
178,-954,2674,2856
179,-992,3142,1948
181,-2308,3084,902
182,192,2482,20
183,-500,3994,-2406
185,-354,3202,-1926
186,382,2682,-3294
188,-848,4396,-4202
189,882,2968,-5438
190,480,3642,-6214
192,-244,3770,-5548
193,230,3218,-6134
194,-88,4156,-6030
196,-606,4338,-5376
197,498,3724,-5242
199,-114,3380,-4320
200,-1288,4034,-3362
201,-844,3130,-2582
203,-740,3634,-1368
204,-958,3124,-268
205,-2038,3198,1084
207,-2226,3246,1858
208,-2900,3310,2320
210,-2440,3586,2700
211,-1438,2480,3700
212,-4026,4658,4780
214,-2730,3080,4024
215,-1332,3126,3798
217,-2524,4298,2690
218,-1578,3230,2458
219,-2082,3796,1962
221,-2364,4374,736
222,-278,2366,-710
224,-708,4376,-1480
225,-1328,4988,-2414
226,-6,2998,-2890
228,-1172,5282,-3526
229,346,2680,-5746
230,-62,4438,-5580
232,-562,4752,-5730
233,150,3132,-5916
234,-1126,4794,-5728
236,-176,4456,-5698
237,770,3170,-5522
239,-542,3514,-4886
240,-1076,3232,-2954
241,-38,3126,-2508
243,-456,3328,-1948
244,-1220,3348,-1090
246,-1618,3926,654
247,-2220,2478,1410
248,-2992,2750,2336
250,-2512,3534,3132
251,-1366,2364,2856
252,-3378,3466,3990
254,-3790,2442,3996
255,-1466,2062,4224
257,-2682,3388,2772
258,-1374,2992,3422
259,-708,2838,1606
261,-2148,3382,768
262,594,2064,-36
264,-364,3970,-1522
265,-12,2932,-2316
266,430,2408,-2826
268,-252,4714,-3918
269,622,2974,-5410
271,174,4630,-5914
272,46,3956,-5742
273,-58,3398,-5614
275,174,4276,-5900
