timestamp,accX,accY,accZ
0,-1812,2714,3612
2,-3604,4532,4518
3,-2344,2926,3682
5,-1908,3320,4304
6,-2614,3534,3238
7,-1802,3018,2178
9,-1172,3586,1438
10,-1294,2798,1312
11,-1068,4450,430
13,-336,3998,-636
14,88,3244,-2404
15,-332,3748,-3292
17,-446,4370,-3088
18,468,3612,-5368
20,226,3476,-5794
21,480,3100,-6242
22,42,4522,-6182
24,-360,4050,-6338
25,-102,3520,-5874
26,-202,3822,-5396
28,16,3320,-5284
29,-436,4094,-3496
31,-572,3096,-3016
32,-400,3062,-1584
33,-1070,2924,-1056
35,-1534,3364,346
36,-2340,3278,1678
38,-2630,3398,2024
39,-2268,3524,3108
40,-2000,2488,3266
42,-4026,3960,4528
43,-3224,1892,3648
44,-1974,2930,4100
46,-3036,4040,3432
47,-2202,2736,3190
49,-1556,3278,2292
50,-1962,3622,836
51,-274,3560,-162
53,-62,3560,-758
54,-18,3994,-1844
55,-612,3130,-2076
57,-404,3382,-3758
58,600,3742,-5332
60,936,3522,-5526
61,50,3968,-5732
62,-180,3238,-5436
64,266,3406,-5538
65,-624,4642,-5866
66,492,3954,-6222
68,716,3562,-4354
69,-1352,3892,-3040
71,-1018,3506,-2362
72,-90,3296,-2120
73,-986,3378,-1694
75,-1154,2768,754
76,-2310,3332,1440
77,-3164,3612,2268
79,-2682,3094,2150
80,-2014,2674,2778
82,-2920,3206,4572
83,-2764,3078,4054
84,-1900,1864,3924
86,-2868,3992,2726
87,-1476,3126,3264
89,-1110,3560,1670
90,-2296,3782,2032
91,-370,3014,196
93,44,4048,-1062
94,-346,3442,-2076
95,76,3144,-2248
97,-404,4464,-3062
98,558,3322,-4878
99,300,4296,-5452
101,-80,4384,-5442
102,312,3540,-6270
104,-216,3518,-6390
105,-924,4606,-5642
106,-108,3590,-6012
108,-42,2840,-5482
109,-782,3358,-3418
111,-552,3448,-3232
112,-488,3520,-2558
113,-698,2664,-1278
115,-1502,3052,274
116,-2296,3560,1654
117,-2458,3078,2078
119,-2592,3474,2312
120,-2238,3504,3078
122,-2944,3582,4164
123,-3588,4012,4578
124,-2030,2402,4268
126,-2070,3556,3444
127,-1858,3900,3290
128,-1306,2688,2502
130,-2452,3504,2132
131,-1646,3124,558
133,506,3078,-1142
134,-950,4342,-1682
135,310,2374,-2320
137,-584,3848,-2744
138,-590,3046,-5054
139,576,3342,-5654
141,-402,4646,-5996
142,180,2814,-5864
144,-276,3350,-5826
145,-1002,4330,-5602
146,1064,3842,-6470
148,584,3540,-5230
149,-494,3638,-3016
150,-406,3034,-3234
152,-92,3044,-1984
153,-978,3380,-1666
155,-1170,2720,-1032
156,-1608,3466,1340
157,-2254,2894,1616
159,-2822,3048,2514
160,-2226,3086,2858
162,-1828,2826,4336
163,-3084,3644,3988
164,-1876,1806,3740
166,-2618,3700,2892
167,-2170,3700,3064
169,-1032,2884,1388
170,-2342,4414,1064
171,-1394,3198,962
173,376,4360,-548
174,-1218,4698,-1734
175,222,2488,-3056
177,-398,4936,-3184
178,-134,4132,-4066
180,694,2506,-5124
181,-64,4564,-6044
182,608,3556,-5922
184,358,3658,-6222
185,-858,4246,-5856
186,-60,3966,-5678
188,4,3524,-5192
189,-588,3218,-4342
191,-1112,3088,-3244
192,-456,3850,-2396
193,-1074,3486,-1640
195,-1434,2836,68
196,-2098,3582,1128
197,-2092,2918,2226
199,-2560,3034,2186
200,-2652,3426,2790
202,-1946,3640,4160
203,-3348,4146,4336
204,-2240,2486,4044
206,-2416,3354,3558
207,-2160,3972,3014
208,-1466,2478,2368
210,-2132,3366,1634
211,-2156,4328,620
213,492,2638,-730
214,-1060,4060,-1306
215,-1270,2428,-2120
217,374,3338,-3112
218,-718,4788,-4836
219,694,2860,-5226
221,-158,4274,-5426
222,-118,3064,-5726
224,204,3204,-5894
225,-888,4260,-5482
226,764,3716,-6140
228,564,3474,-5030
229,-238,3696,-3288
230,-638,3222,-3412
232,42,2926,-2632
233,-362,3450,-1436
235,-1386,2892,-1164
236,-1634,3454,922
237,-2300,3126,1388
239,-2642,2756,2382
240,-2962,3216,2710
241,-2150,2968,3132
243,-3160,4124,3808
244,-1940,2172,3466
246,-2288,2292,4140
247,-2436,3998,3188
248,-1366,3158,2930
250,-652,2404,1556
251,-1486,3838,992
252,620,2732,144
254,-338,4102,-2004
255,-170,2906,-2478
257,544,2998,-3060
258,-58,4266,-4314
259,258,2822,-5352
261,110,4356,-5486
262,204,4112,-5736
264,-88,3480,-6652
265,-878,4638,-5636
266,-472,4558,-5438
268,388,3088,-5292
269,-540,3124,-4684
270,-1134,3858,-3360
272,-336,3560,-2694
273,-824,3182,-1720
274,-1024,2658,12
