timestamp,accX,accY,accZ
0,-1386,2104,-358
2,-1720,2346,2138
3,-2286,3874,2028
4,-2626,3856,2736
6,-1748,2652,2402
7,-2120,3288,2894
9,-2076,3294,3812
10,-3150,3850,3668
11,-2142,3348,2474
13,-598,2328,1580
14,-1890,4552,1202
15,-1260,3168,396
17,-800,3722,-176
18,-316,4122,-916
20,418,3522,-2642
21,-1148,4436,-2756
22,-122,3636,-3636
24,-334,3604,-4770
25,-1040,4328,-5348
27,-364,4060,-5198
28,-392,4518,-5468
29,-102,3538,-4912
31,-298,3274,-5038
32,-618,4266,-4566
33,-322,3920,-4128
35,-406,2912,-3394
36,-1244,3320,-2658
38,-1628,3948,-1396
39,-1416,3434,-784
40,-1570,2926,-50
42,-2296,2988,1528
43,-2466,4004,1940
44,-2792,3510,2796
46,-2026,2260,2530
47,-2106,2778,3476
49,-1620,2946,3924
50,-2208,3236,3810
51,-2952,2606,2258
53,-636,2722,1808
54,-1470,4460,884
55,-1328,2582,1098
57,-780,3018,-262
58,-676,3980,-1224
60,330,3254,-2130
61,-1314,4026,-2520
62,-664,3296,-3376
64,566,3256,-4200
65,-636,3866,-5494
66,-258,3582,-5258
68,-176,4356,-5140
69,-76,3048,-5802
70,-320,2860,-5134
72,-584,3666,-3980
73,-26,3668,-4020
75,82,2934,-3834
76,-788,3438,-2126
77,-1534,3992,-1638
79,-900,4004,-480
80,-1128,1916,-508
82,-2074,2450,818
83,-2758,4150,2090
84,-2268,3834,2490
86,-1890,2856,2520
87,-2236,3300,3062
88,-2046,3636,3792
90,-1910,2942,3450
91,-2632,3456,2824
93,-944,2506,2318
94,-924,4266,1532
95,-1294,3172,422
97,-794,2714,-384
98,-170,3788,-814
99,144,3206,-1544
101,-342,4280,-2478
102,48,3634,-3752
104,680,3106,-4896
105,-638,3942,-5226
106,-710,3802,-4958
108,-94,3912,-5366
109,60,3610,-6048
110,-92,2868,-4994
112,-838,4210,-4540
113,-522,3972,-4058
115,-78,3034,-3494
116,-1104,3366,-2684
117,-1246,3570,-1510
119,-1052,3932,-650
120,-1484,2658,-306
121,-1042,1672,1608
123,-2184,3990,1510
124,-2770,4330,2442
126,-1798,2460,2622
127,-2182,2472,2552
128,-2700,3536,4126
130,-2078,3160,3492
131,-2656,3638,3290
132,-1800,2812,1990
134,-1386,4182,1970
135,-1230,4172,1196
137,-742,2922,-304
138,-684,3692,-206
139,184,3774,-1870
141,-1204,4036,-2438
142,-678,3806,-3452
143,626,3366,-4184
145,-478,3900,-4938
146,-744,4150,-5118
148,-90,4038,-5300
149,-246,4158,-5542
150,-214,3064,-5114
152,-518,3632,-5026
153,-694,4088,-3984
154,-208,3242,-3920
156,-822,3080,-3248
157,-1116,3994,-1510
159,-1032,3732,-1292
160,-1656,3472,-72
161,-1488,2172,642
163,-2786,3492,1960
164,-2476,4130,2750
165,-1694,3118,2674
167,-2026,2376,3168
168,-2590,3430,3686
170,-2058,3202,3920
171,-2184,3578,2938
172,-1098,2550,1956
174,-1294,3530,2260
175,-1610,3500,642
176,-866,2972,562
178,-712,3410,-650
179,-168,3580,-1428
181,-390,3466,-2272
182,-1162,3746,-3766
183,390,3352,-3730
185,178,3492,-5222
186,-582,3992,-5232
187,-218,3730,-4858
189,-290,3710,-5792
190,-58,3188,-5584
192,-124,3496,-4800
193,-360,3822,-4090
194,-536,3380,-3736
196,-556,3328,-2798
197,-716,3308,-2196
198,-1100,3536,-1898
200,-1504,3566,-14
201,-736,1710,-96
202,-2142,2408,1748
204,-2502,4378,2168
205,-2010,4170,2800
207,-2038,2786,2330
208,-2812,3178,3188
209,-2086,3608,4072
211,-2038,3408,3124
212,-2124,3012,2466
213,-960,2878,2120
215,-1496,3980,1364
216,-1298,3496,408
218,-860,3132,-698
219,-144,3776,-862
220,-106,3748,-2790
222,-636,3684,-3048
223,-236,3766,-3902
224,322,3436,-5100
226,-620,4144,-5230
227,-426,3880,-5314
229,14,4090,-5038
230,-212,3600,-5882
231,-228,3156,-5440
233,-456,3930,-4366
234,-532,3758,-3826
235,-660,3310,-3206
237,-660,3128,-2850
238,-1038,3560,-1274
240,-1794,3548,-428
241,-1618,2908,-124
242,-718,3042,1876
244,-2192,3798,1580
245,-3494,4430,2648
246,-2066,2516,2688
248,-1998,2798,2632
249,-2842,3290,4048
251,-2164,3162,3308
252,-1994,3430,2402
253,-1168,3182,1958
255,-1546,4026,1572
256,-1374,2862,354
257,-584,2974,-262
259,-546,4026,-1100
260,158,3066,-2314
262,-766,3814,-2798
263,-524,4124,-3568
264,192,3446,-4526
266,-576,3936,-5178
267,-472,3524,-5150
268,-506,4072,-5136
270,-452,4164,-5540
271,118,3074,-5546
273,-248,3584,-5010
274,-736,3598,-3692
