timestamp,accX,accY,accZ
0,-1122,4572,584
2,-1122,3158,416
3,-500,3624,-526
4,-1408,5512,-1648
6,880,3338,-3954
7,-470,4710,-3314
9,-1100,4198,-3488
10,-60,3106,-4952
11,116,4140,-6004
13,176,4252,-5856
14,-312,3578,-5406
16,-1054,3654,-5208
17,-770,3622,-4152
18,-408,3560,-4706
20,-776,3598,-3850
21,-824,3542,-2480
22,-1388,3692,-1262
24,-2028,3132,-608
25,-1366,3742,-174
26,-158,2718,440
28,-592,3008,2408
29,-3774,4120,2720
31,-2754,4122,3050
32,-2218,3304,2578
33,-3364,4088,2732
35,-2102,2536,4270
36,-1852,2886,3490
38,-3228,4060,2182
39,238,2214,766
40,-624,4860,248
42,-1518,1534,-354
43,-950,2294,-44
44,-2610,5540,-2592
46,1640,2104,-3932
47,94,4304,-4286
49,-1382,5008,-4148
50,-172,2624,-4242
51,-158,3844,-5532
53,-432,3412,-5680
54,56,3644,-6022
55,-572,4238,-4988
57,-408,3374,-4070
58,-598,3412,-4088
60,-918,3472,-3658
61,-114,3786,-3280
62,-606,3780,-962
64,-1924,2930,-584
65,-1942,4312,264
66,-736,1678,210
68,-2400,2476,1916
69,-3648,3786,2258
70,-3444,3286,3134
72,-1744,2592,2736
73,-2856,3552,3164
75,-1128,2952,3716
76,-1506,2122,3566
77,-2512,4212,2742
79,-464,2446,1796
80,-402,3162,-102
81,-722,3484,-690
83,128,1446,-228
84,-1418,4056,-1096
85,600,2690,-2934
87,1210,2656,-3730
88,-540,4530,-4246
90,94,2758,-3936
91,472,3016,-5120
92,150,3884,-5362
94,220,3092,-5442
95,60,4424,-5592
97,24,3706,-4574
98,-292,3240,-3806
99,-922,3482,-3854
101,-460,3418,-3342
102,-372,3434,-2122
103,-1568,3330,-826
105,-1944,3342,70
106,-986,2774,622
107,-608,1434,754
109,-3244,2694,2252
110,-3120,4562,3416
112,-728,2908,2356
113,-2274,4134,2892
114,-2864,3622,3530
116,-964,2498,2974
117,-3044,4062,2230
119,-1974,3580,2326
120,-10,4436,1090
121,-1194,4410,110
123,-204,1858,-44
124,-1800,5208,-772
125,-950,4530,-1874
127,1634,3708,-3590
128,-1052,5220,-3340
130,-162,3450,-4696
131,-100,3824,-5500
132,-474,4426,-5300
134,524,3320,-5698
135,-660,4074,-5842
136,-438,4052,-4310
138,-748,3418,-4094
139,-1166,3408,-4326
141,-674,3498,-3176
142,-816,3856,-2068
143,-1428,3444,-658
145,-1796,3322,-268
146,-1314,4046,612
147,-322,2078,1534
149,-3568,3220,2110
150,-3372,4494,2664
152,-1798,2418,2808
153,-2696,2914,2432
154,-4146,4182,3380
156,-750,2162,4048
157,-1964,3100,2594
158,-3308,2832,1980
160,158,2718,1208
161,-1108,5200,104
163,128,986,-686
164,-820,2928,-582
165,-2474,3506,-2608
167,1460,1706,-4202
168,-424,4376,-3666
169,-1600,2972,-4266
171,462,2660,-4946
172,-542,4092,-5248
174,414,2932,-5552
175,-290,3708,-5378
176,-818,3830,-4944
178,-84,3138,-4216
179,-916,3600,-3838
180,-290,3176,-3466
182,-76,3578,-2506
183,-952,3042,-1056
185,-1774,3350,-292
186,-1522,3768,648
187,-616,1646,986
189,-3156,2504,2108
190,-3486,4568,3144
191,-666,3286,3128
193,-2024,2400,2660
194,-3494,3778,3840
196,-786,2374,3636
197,-1186,2258,2190
198,-2540,3890,2312
200,-186,2182,1678
201,-474,5560,454
202,-260,2504,-410
204,86,1138,-914
205,-1696,5148,-1580
206,1558,2164,-3592
208,808,5272,-3896
209,-752,3996,-3804
211,598,2264,-5270
212,-720,4888,-5192
213,488,3162,-5580
215,-66,4252,-5876
216,-476,4570,-5120
218,348,3436,-4208
219,-536,3466,-4028
220,-780,3120,-3798
222,-92,3404,-2464
223,-1354,3592,-1492
224,-1782,2954,-658
226,-1678,4138,464
227,-650,2360,760
229,-1124,1610,2362
230,-3576,4608,2460
231,-2150,4458,3250
233,-594,2566,2338
234,-4318,4080,3312
235,-2180,3484,3958
237,-1254,2604,2656
238,-3412,4516,2046
239,-1476,2422,874
241,-1052,5088,998
242,-1416,4486,-446
244,288,2664,-590
245,-2440,5780,-602
246,258,2016,-3620
248,138,4104,-3938
249,-1474,4930,-4138
251,330,2790,-5074
252,-116,4484,-5430
253,-72,2792,-5368
255,-326,3280,-5682
256,-996,4436,-4970
258,80,3340,-4418
259,-902,3396,-4186
260,-1274,3098,-3360
262,-34,3756,-2796
263,-1056,3842,-1338
264,-1756,2948,-504
266,-1578,3576,-218
267,-950,1656,858
269,-2718,2026,2140
270,-3732,3760,2920
271,-676,3588,3078
273,-1278,2358,2672
274,-3298,3950,3974
