timestamp,accX,accY,accZ
0,-316,4400,-5282
2,656,3530,-4718
3,-780,3418,-4036
4,-1110,3634,-3144
6,-284,3174,-2286
7,-1202,3424,-1356
9,-1236,3562,120
10,-1688,2948,752
11,-2398,3134,1500
13,-3020,3394,2692
14,-2288,3508,2556
15,-1484,2362,2582
17,-3020,4554,4558
18,-2588,3294,4102
20,-1372,1932,3140
21,-2774,4190,2294
22,-1454,3364,2752
24,-694,3938,1824
25,-2186,4162,956
26,12,2856,-296
28,-892,4554,-2066
29,-1026,4158,-1890
31,490,3626,-2794
32,-1088,4978,-3556
33,466,3144,-5200
35,-108,4602,-5802
36,-516,4734,-5530
37,240,2972,-6112
39,-694,4088,-5676
40,-686,4598,-5696
42,300,3424,-5342
43,-416,3280,-4672
44,-968,3450,-3246
46,-510,3144,-2588
47,-720,3898,-2016
49,-932,3008,-934
50,-1684,3270,612
51,-2306,3564,1904
53,-2540,2796,2400
54,-2672,3598,2400
55,-2250,2420,3142
57,-3184,3706,4170
58,-3884,4364,3708
60,-1802,2188,3946
61,-2188,3672,3042
62,-2442,2814,2858
64,-920,2578,1902
65,-2454,4366,1002
66,-1138,2258,-30
68,216,2894,-1126
69,-1654,3398,-1948
71,1188,1860,-3044
72,-626,4572,-2992
73,-756,2564,-5068
75,674,3172,-5516
76,-774,5158,-5496
77,492,2540,-5914
79,-504,3512,-5614
80,-974,4102,-5462
82,626,3638,-5554
83,-26,3466,-4122
84,-982,3144,-3444
86,-182,3076,-2862
87,-426,3476,-1484
88,-1380,3174,-1240
90,-1312,3088,720
91,-1906,3376,1378
92,-2288,2512,2010
94,-2904,2918,2472
95,-1958,3132,2766
97,-1600,2358,4210
98,-3616,4056,3696
99,-1224,1582,3618
101,-1646,2330,2702
102,-2246,4048,2446
104,-440,2176,1940
105,-1038,4762,1422
106,-806,3648,658
108,662,1744,-1916
109,-1560,5060,-1764
110,586,2722,-2818
112,658,4694,-3670
113,-480,3848,-5156
114,662,2594,-5610
116,440,4986,-5484
117,-62,3576,-6088
119,162,2650,-5588
120,-1052,4858,-5360
121,-48,4070,-5406
123,334,3188,-4762
124,-916,3626,-3530
125,-798,3216,-2738
127,-778,3646,-1800
128,-838,2842,-1424
130,-1296,3516,340
131,-1984,3728,1220
132,-2034,3072,2050
134,-3210,3668,2682
135,-2354,3586,2652
137,-1528,3616,3906
138,-3864,4560,3840
139,-1966,2408,3920
141,-2126,3654,3220
142,-2702,4380,2614
144,-1306,2046,1766
145,-1936,3982,1188
146,-2028,4872,0
148,634,2584,-1390
149,-1846,5344,-1282
150,-710,1926,-2774
152,-380,4172,-2918
153,-814,4754,-4992
154,744,2856,-5314
156,-288,4526,-5466
157,-334,2994,-5802
159,-112,3228,-5722
160,-856,4512,-5376
161,-592,3644,-5708
163,170,3252,-4900
164,-738,3522,-3124
165,-170,3054,-2842
167,-258,3346,-2314
168,-660,2660,-1142
170,-1608,3492,-272
171,-1944,3854,1312
172,-2158,2568,1784
174,-2890,2862,2278
175,-3020,3280,2658
177,-1916,2506,3364
178,-3552,4254,3534
179,-1342,1860,3514
181,-1674,2264,3838
182,-2532,4090,2672
184,-674,2488,2128
185,-742,2688,1182
186,-1076,4168,648
188,318,2670,80
189,88,4576,-1682
190,16,3276,-2772
192,866,2722,-3500
193,-340,4266,-4920
194,324,2944,-4834
196,644,4364,-5304
197,-398,4094,-5842
199,16,2884,-6066
200,78,5200,-5284
201,-530,4434,-5324
203,498,3030,-4692
204,-1012,3788,-3734
205,-998,3468,-2904
207,-274,3538,-1894
208,-466,2612,-1718
210,-1018,2294,314
211,-2412,4004,1380
212,-2438,3872,1992
214,-1896,3298,2440
215,-2716,3678,2220
216,-2176,2492,4272
218,-3974,4406,4000
219,-2340,2660,3338
221,-1556,3508,3394
222,-2086,4182,2730
223,-1568,3172,2356
225,-1140,2722,960
226,-1578,4518,828
227,-118,3786,-1450
229,-1114,4456,-1072
230,-832,3618,-2136
232,336,3832,-2632
233,-266,4674,-4434
234,218,3626,-5614
236,-74,3956,-5188
237,-252,4074,-5640
239,-332,3164,-5608
240,-676,4312,-6064
241,-930,5076,-6228
243,52,3140,-5078
244,-908,3588,-3976
245,-1450,3184,-2510
247,16,3290,-2700
248,-208,3192,-1452
250,-994,2594,-330
251,-2228,3314,940
252,-2864,3198,2074
254,-2044,2798,1972
255,-2988,3870,2426
257,-2470,2640,3232
258,-3682,4144,4856
259,-3312,1950,3558
261,-1948,2548,3554
262,-1880,3816,2718
264,-720,3004,2436
265,-1410,2964,1258
266,-726,3152,684
268,-534,4466,294
269,186,4542,-1992
270,-102,2934,-2838
272,-422,3404,-2402
273,-586,3690,-4514
274,326,3710,-5092
