timestamp,accX,accY,accZ
0,-228,3366,-4218
2,-396,3990,-5936
3,768,3720,-5948
4,-2,4082,-5318
6,-694,3320,-5080
7,422,2864,-5386
9,292,3922,-4828
10,-810,3836,-4026
11,-800,3508,-3154
13,-802,3158,-2124
14,-1188,3584,-1502
16,-1722,3586,-586
17,-1626,3310,348
18,-724,2012,396
20,-2864,3674,2524
21,-3876,4456,3484
22,-1344,3084,2756
24,-2454,3290,2606
25,-2710,2780,3782
26,-2516,4270,4146
28,-1928,3554,2490
29,-512,2060,1776
31,-1774,4460,662
32,-1232,3714,1518
33,-142,3700,28
35,-1150,4094,-652
36,312,2502,-2700
37,34,4648,-3746
39,-338,4348,-2958
40,162,3284,-4626
42,-618,4346,-5590
43,634,3968,-5572
44,1078,4416,-5828
46,-1280,3982,-5410
47,34,2818,-4978
48,288,3734,-5476
50,-1000,3994,-4370
51,-790,3162,-3558
53,-646,3672,-2890
54,-1242,3654,-1348
55,-2108,3276,-358
57,-1992,3812,442
58,-1272,1784,792
59,-3086,2756,2488
61,-3570,4320,3620
62,-1156,2968,3000
64,-1826,2838,2888
65,-2530,2538,4090
66,-2914,3690,4712
68,-2366,4496,2338
69,-320,2248,1148
70,-1590,4076,1770
72,-1404,4156,1158
73,-842,3268,350
75,-1460,4320,-190
76,-400,2650,-2948
77,-306,4040,-3086
79,6,4348,-3082
80,-342,3308,-4124
81,-1072,3824,-5184
83,-188,3904,-6118
84,522,4406,-5848
86,-572,4364,-5262
87,146,2578,-5166
88,-30,3432,-4820
90,220,3524,-4080
91,-580,3420,-3558
92,-946,3556,-3108
94,-832,3372,-1404
95,-1912,3450,-684
97,-1902,4014,376
98,-370,1836,-12
99,-2744,2840,1978
101,-3272,4050,3608
102,-1712,3198,3190
104,-1984,2684,2360
105,-2168,2668,3316
106,-2272,2806,4268
108,-3608,4040,2808
109,-496,2044,1932
110,-474,2648,1346
112,-1952,3940,1210
113,-272,2300,662
114,-874,4868,-1050
116,734,2694,-2200
117,716,2334,-3428
119,-582,4330,-3422
120,764,2850,-3640
121,-14,3458,-6002
123,-30,4102,-5846
124,1344,3614,-5814
125,200,4262,-5048
127,-526,2786,-5198
128,156,2584,-5366
130,18,4140,-4522
131,-382,3724,-3958
132,-796,3290,-2692
134,-1328,3570,-1842
135,-1270,3406,-820
137,-2310,3816,368
138,-1330,2412,444
139,-1378,3054,2468
141,-3190,3944,2654
142,-3010,3832,2940
143,-2196,3032,3000
145,-2406,3120,2938
146,-1828,3278,4336
147,-3598,4884,3756
149,-1996,3464,1180
150,300,3830,776
152,-1916,4954,1640
153,-814,2548,618
154,-1770,4968,-112
156,-98,3800,-2794
157,1564,3896,-3150
159,-904,5168,-3544
160,30,3420,-3952
161,-650,4080,-5036
163,-480,4332,-6010
164,432,3928,-6100
165,-176,4518,-5878
167,-872,3826,-4830
168,-88,2920,-4834
169,140,3804,-5250
171,-146,3632,-3734
172,-968,3382,-2918
174,-1508,3140,-1844
175,-1412,3754,-870
176,-1702,4370,-48
178,-1512,2966,134
179,-2874,2678,2068
180,-2860,3522,2898
182,-3534,3290,3144
183,-2456,2670,2858
185,-2030,3222,3584
186,-1824,2570,4194
187,-3650,3844,4430
189,-3418,2286,2126
190,216,2278,1348
192,-1660,4664,552
193,-424,2440,304
194,-694,3534,-16
196,-882,3128,-2368
197,450,2520,-2618
198,-246,4308,-3270
200,606,3032,-4274
201,148,3112,-4464
202,-586,4276,-6120
204,852,3964,-5652
205,546,4130,-5574
207,-486,3276,-5236
208,144,2580,-4774
209,50,3472,-4720
211,-434,4036,-3874
212,-518,3230,-3238
213,-1202,3042,-1936
215,-1378,3770,-1112
216,-1642,3920,206
218,-1658,2580,604
219,-1198,1876,996
220,-2834,3858,3126
222,-3534,4048,3832
223,-2010,2982,3058
224,-2404,3280,3154
226,-2240,2692,3656
227,-2782,3256,3826
229,-2148,3218,2466
230,-514,2034,1320
231,-736,4470,1426
233,-1050,2874,964
234,-828,2850,-154
235,16,3652,-1596
237,760,2744,-2422
238,140,4676,-3644
239,326,3686,-3718
241,730,3040,-5024
242,-456,4000,-5874
244,78,4038,-5628
245,916,4440,-6184
247,-430,3630,-5608
248,-300,2776,-4620
249,-98,3926,-5076
251,-36,3946,-4456
252,120,3472,-3100
253,-1374,3280,-2166
255,-1618,2988,-1406
256,-1496,4350,28
257,-1710,3208,150
259,-1128,1754,1856
260,-2726,3392,2556
262,-3678,4336,3908
263,-2586,2192,2796
264,-2226,2812,2842
266,-2456,3426,3922
267,-1748,3860,4574
268,-2964,3478,2994
270,-1904,2364,1236
271,-916,4696,1152
272,-788,3920,922
274,-1038,3528,262
