timestamp,accX,accY,accZ
0,254,3982,-5978
2,-448,3878,-5978
3,-616,4246,-5168
5,-304,4276,-5034
6,770,3356,-4380
7,-658,3674,-3704
9,-1024,3452,-2866
10,-428,3694,-2126
11,-876,3172,-1202
13,-848,2498,642
14,-2050,3248,840
16,-2380,3690,1806
17,-2570,3316,2244
18,-2698,3126,2816
20,-2918,3138,3686
21,-2336,3126,4086
22,-2976,2906,3974
24,-2906,2886,3094
25,-1270,3620,3006
27,-1104,3064,2266
28,-2180,3074,1350
29,-508,3370,798
31,-196,3816,-1160
32,-664,3366,-1292
33,54,3260,-2498
35,-292,3720,-3426
36,114,3430,-3922
38,138,3670,-5310
39,176,3850,-5626
40,534,3716,-5968
42,-224,3674,-5852
43,-800,4096,-5748
44,-572,4332,-5434
46,508,3398,-5202
47,-1092,4066,-4168
48,-1212,3772,-2920
50,-72,2756,-2922
51,-988,3448,-1792
53,-1114,2632,-68
54,-1810,2822,404
55,-2312,3284,1002
57,-2376,3536,2532
58,-2300,2982,2500
59,-2812,3350,2964
61,-2572,3536,4160
62,-2198,3094,4414
64,-3092,2852,3088
65,-1682,3738,3216
66,-708,3546,1574
68,-2344,3302,2004
69,-1424,2546,942
70,-310,4842,536
72,-448,4014,-1746
73,-398,2594,-2998
75,-176,4360,-2620
76,104,3852,-3198
77,398,3040,-4950
79,22,3866,-5814
80,610,3856,-5984
81,-536,3794,-6228
83,-892,3640,-5772
84,-418,4450,-4750
86,680,3466,-5892
87,-348,3172,-3944
88,-680,3712,-2936
90,-488,3068,-2310
91,-488,3452,-1382
92,-770,2454,-998
94,-1622,2740,532
95,-2236,3472,1690
97,-2492,3400,2410
98,-2474,3542,2928
99,-2738,3220,2868
101,-2722,3646,3998
102,-2454,2208,4048
103,-3254,3138,3898
105,-2532,3966,3106
106,-710,2812,1976
108,-2282,3594,1408
109,-2244,2712,788
110,-696,4056,624
112,-622,4474,-864
113,-310,2978,-2004
114,222,3438,-2812
116,-386,4390,-4030
117,358,3068,-4752
119,-110,3940,-5456
120,-130,3616,-5514
121,280,3530,-6042
123,-684,4052,-5608
124,40,3900,-5534
125,-50,3984,-5388
127,542,3566,-4192
128,-1074,3812,-3336
130,-768,3418,-2412
131,-336,3220,-2134
132,-1226,3474,-1290
134,-986,2916,540
135,-2258,3196,1112
136,-2800,3454,1890
138,-2438,3484,2630
139,-2468,3054,2652
141,-2846,3426,3560
142,-2074,2614,4258
143,-2728,2608,4032
145,-2862,3744,3026
146,-542,3046,2148
147,-1070,3294,2040
149,-1798,2620,1628
150,-448,3120,906
152,-1000,3892,-1816
153,-54,3050,-1920
154,-198,3248,-2968
156,-70,3886,-2928
157,270,3356,-4464
158,-392,3932,-5766
160,408,3832,-5668
161,740,3772,-6112
163,-1020,3878,-5426
164,-454,3476,-5454
165,-688,4284,-5940
167,260,3126,-5050
168,-354,3504,-3938
169,-1496,3324,-2274
171,-620,3290,-2366
172,-570,3384,-1246
174,-1520,2710,314
175,-1934,3028,942
176,-2218,3698,2422
178,-2576,3708,2724
179,-2254,3024,2646
180,-2746,3742,3500
182,-2316,2994,3898
183,-2150,3044,4072
185,-3042,3956,3380
186,-1176,3282,2056
187,-178,3880,2074
189,-2664,3712,1134
190,-942,2018,158
191,-664,4756,-402
193,-276,3424,-1964
194,278,4034,-2330
196,6,4050,-3470
197,108,3216,-4788
198,-100,3938,-5268
200,118,3916,-6118
201,668,3834,-5654
202,-580,4072,-5768
204,-794,3596,-5470
205,226,3804,-5712
207,718,3798,-5746
208,-374,3706,-3758
209,-1378,3410,-2716
211,-322,2956,-1788
212,-1068,3560,-1388
214,-1114,3300,-830
215,-1526,2966,800
216,-2918,3682,2420
218,-2772,3652,2558
219,-2084,3126,2582
220,-2464,3210,2488
222,-2338,3388,4566
223,-2942,2712,4092
225,-2666,2624,3146
226,-908,3576,2318
227,-1066,3380,1480
229,-2304,3782,1320
230,-722,2920,1004
231,-882,4162,828
233,-202,3154,-2200
234,-54,3398,-2938
236,6,4094,-2972
237,20,3222,-4184
238,-250,3412,-4822
240,72,4146,-5438
241,704,3756,-5906
243,-112,3638,-5622
244,-350,3622,-5056
245,-568,4074,-4876
247,404,3408,-5034
248,-144,3584,-4210
249,-1178,3636,-2738
251,-1182,3742,-1968
252,-790,3344,-1718
253,-808,2966,78
255,-1690,2958,648
256,-2166,2866,2364
258,-2732,3612,2504
259,-2588,3390,2726
260,-2498,3500,3398
262,-2836,3436,3734
263,-2824,2950,3702
265,-2396,3094,3370
266,-2170,4048,3166
267,-944,3320,2126
269,-2066,3530,1602
270,-1036,2874,750
272,-456,4100,-338
273,-356,3698,-1662
274,-184,3176,-2674
