timestamp,accX,accY,accZ
0,-1464,3414,-1944
2,-1566,3614,-1942
3,-1208,3992,-1218
4,-1528,3760,-470
6,-1250,1778,688
7,-2350,3032,2360
9,-2808,3906,2866
10,-1826,3200,2492
11,-1464,2646,2574
13,-2842,3602,3590
14,-2574,3358,4202
15,-2878,3532,2708
17,-1348,3216,1212
18,-434,3166,924
19,-1284,3464,1746
21,-1502,3242,1370
22,-876,3166,-1476
24,-154,3870,-1708
25,-40,3718,-2816
26,-246,3912,-2922
28,-544,3840,-3562
29,-42,3272,-5422
31,-288,4658,-5508
32,354,4492,-5746
33,486,3278,-5194
35,-848,3192,-5094
36,-430,3414,-4820
37,316,3646,-5158
39,-388,3566,-4408
40,-1224,3794,-2254
41,-1366,3334,-2392
43,-1038,3782,-978
44,-1308,2966,-644
46,-934,1872,-4
47,-2322,2748,2032
48,-2400,3600,2740
50,-2004,3620,2664
51,-1854,3034,2128
52,-2678,3342,3596
54,-3258,4348,4132
55,-2362,3058,3562
56,-2018,3248,2010
58,-1374,3282,1864
59,-1676,3758,1208
61,-1548,3082,1624
62,-1568,2790,-214
63,460,2994,-1710
65,-378,4378,-2330
66,260,2930,-3286
68,-660,4050,-2672
69,-566,3082,-5010
70,300,3462,-5474
72,-620,4778,-5040
73,280,3292,-5400
74,-46,3012,-5188
76,-488,3446,-5102
77,78,3872,-4640
78,-54,3640,-4602
80,-1492,3708,-3108
81,-1094,3328,-2294
83,-1176,4096,-1160
84,-1636,3870,-648
85,-974,2168,460
87,-1198,3318,1936
88,-2638,3888,2124
90,-2176,3620,2544
91,-1584,2452,2092
92,-2266,2428,2840
94,-2888,3664,3896
95,-2396,3216,3746
96,-2474,3270,1746
98,-1254,3356,1436
99,-952,3696,1480
100,-1776,3366,1180
102,-1156,3676,540
103,390,2610,-2138
105,74,4224,-2154
106,-14,3336,-2972
107,-462,3580,-3442
109,-116,3612,-4424
110,318,3134,-5264
111,-32,4840,-5162
113,198,3656,-5752
114,98,3076,-5402
116,-380,3428,-5132
117,-202,3646,-4960
118,-192,3858,-4422
120,-902,3334,-3778
121,-1324,3514,-2778
122,-1652,3872,-1804
124,-1116,3484,-1036
125,-1096,2826,40
126,-2464,3170,1424
128,-2224,3364,2006
129,-2174,3530,2334
131,-1674,2986,2430
132,-1604,2044,2652
133,-2724,3858,3706
135,-2136,3066,3666
136,-2518,3498,2210
137,-2036,2996,1798
139,-896,3374,1766
140,-1678,3668,1442
141,-1662,3846,844
143,76,2804,-388
144,186,4292,-2024
145,-174,3372,-2318
147,-280,3018,-3026
148,-620,4132,-3820
150,540,3318,-5114
151,86,4434,-5632
152,-264,4110,-4992
154,-46,3642,-5138
155,-148,3182,-5270
157,-130,3044,-5288
158,38,4176,-4366
159,-544,3610,-3644
161,-766,3132,-2446
162,-1266,3746,-2124
163,-1288,4252,-1296
165,-808,2400,-638
166,-2214,2724,1138
168,-2598,3506,2302
169,-1820,3444,2098
170,-2202,3720,2096
172,-1826,2506,3176
173,-2880,3634,3942
175,-2430,3232,3526
176,-2638,3974,3150
177,-1622,3374,1664
179,-1130,3446,1628
180,-1854,3552,1664
181,-1320,3384,676
183,308,3030,-1374
184,-48,3602,-1938
186,158,3242,-2476
187,-916,3726,-2424
188,-842,3894,-4316
190,348,3662,-5078
191,140,4044,-5620
193,-508,3910,-5466
194,-172,3768,-4852
195,-112,3348,-5170
197,-194,3028,-5324
198,-194,3894,-4780
199,-394,3436,-3614
201,-1232,3146,-2790
202,-1720,3270,-1642
204,-682,3980,-1124
205,-682,2860,-802
206,-1776,3008,1102
208,-2520,3390,1848
209,-1606,3268,2166
211,-2138,3292,1998
212,-1844,2118,3520
213,-2504,3988,3828
215,-2102,2920,3376
216,-2418,4004,2604
218,-1238,3150,1784
219,-986,3130,868
220,-1322,3418,1900
222,-1400,3486,842
223,-374,3046,-1404
225,176,4066,-2248
226,-108,3212,-2158
227,-256,4188,-2496
229,-520,4012,-4004
230,580,3490,-5130
231,-370,4182,-5946
233,-474,3946,-4918
234,28,3676,-4898
235,68,3178,-5244
237,-264,2956,-5126
238,-450,4152,-4470
240,-420,3986,-3616
241,-652,3108,-2260
242,-1416,3940,-2380
244,-1472,4050,-1384
245,-318,2506,-470
246,-2156,2982,920
248,-2678,3154,2206
249,-1576,3336,1988
251,-2128,3924,2174
252,-1986,2272,3242
253,-3050,3508,3936
255,-2608,3494,3616
256,-2528,3770,3516
258,-1810,3386,1824
259,-1616,3462,1566
260,-1476,3612,848
262,-1432,3100,26
263,-108,3032,-552
264,442,3470,-2156
266,-64,3342,-2590
267,-480,3132,-2648
268,-1190,3908,-4468
270,414,3754,-4892
271,432,3894,-5726
273,-412,4146,-5188
274,-180,3684,-4976
