timestamp,accX,accY,accZ
0,-492,3332,-3058
2,-1402,3482,-2514
3,-1026,3502,-2350
5,-908,3672,-964
6,-1950,3572,254
7,-2128,2784,1658
9,-2264,2902,2148
10,-2362,3860,2544
12,-1826,2934,2440
13,-1498,1672,2932
14,-3438,5050,4252
16,-1462,2800,3400
17,-1070,1944,1838
19,-2026,4224,942
20,-566,2968,2312
21,-574,4220,1128
23,-1778,3982,558
24,1150,1832,-1336
25,338,5064,-2608
27,-430,3580,-2196
28,292,3950,-3554
30,-860,4860,-4504
31,760,3104,-5576
32,-480,4712,-5656
34,-1168,4146,-5282
35,118,3326,-5190
36,-188,3936,-5382
38,-458,3560,-5010
39,104,3598,-4244
41,-492,3778,-3524
42,-1244,3430,-2542
43,-1218,3716,-1776
45,-640,2994,-1606
46,-1280,3758,588
47,-1880,2488,1092
49,-2386,2440,1820
50,-2592,4122,2682
52,-1850,3732,2786
53,-1464,2124,3646
54,-3424,4058,3664
56,-3006,4370,3454
57,-1792,2598,2706
58,-2516,3784,1630
60,-1660,2918,2548
61,-876,3162,786
63,-2470,4640,734
64,-398,2086,-1584
65,-78,4436,-1574
67,-1014,4748,-2562
68,-202,2664,-3292
69,-1100,4962,-3982
71,-242,2844,-5786
72,-32,3894,-5414
74,-1098,4646,-4856
75,72,3160,-4956
76,406,3480,-5742
78,-416,3498,-5294
79,-200,3520,-4188
81,-414,3758,-3160
82,-960,3156,-2518
83,-1178,3304,-2020
85,-1056,3940,-1182
86,-1788,3526,168
87,-1802,2766,1686
89,-2322,2904,2062
90,-2270,3516,2412
92,-2312,3168,2462
93,-1588,1986,2960
94,-2928,2926,4008
96,-2222,3402,3606
97,-1350,2262,3084
99,-2178,4112,1408
100,-728,3312,1360
101,-752,2862,1184
103,-1860,4360,456
104,342,2270,-476
105,616,4756,-1866
107,-264,3806,-2898
108,216,2746,-3416
110,-852,4678,-4394
111,354,3446,-4858
112,924,3166,-5178
114,-858,4438,-5394
115,-106,3472,-5232
116,190,3384,-5620
118,-656,3834,-4808
119,-426,3700,-4248
120,-382,3400,-4000
122,-1244,3282,-3222
123,-1534,3590,-1662
125,-800,3060,-1590
126,-1118,3268,408
127,-1718,2772,896
129,-2146,2478,1978
130,-2138,3814,2404
132,-2260,3926,2860
133,-1518,2738,3480
134,-3186,3608,3252
136,-3310,4650,4030
137,-1152,2450,3080
138,-2556,3772,2124
140,-2004,3884,2266
141,-384,2908,956
143,-2034,4710,454
144,-1224,3590,-1850
145,-204,3802,-1264
147,-1100,5126,-2330
148,-60,2284,-3114
149,-710,4168,-4370
151,-870,4710,-5580
152,214,3556,-5190
153,-600,4430,-5722
155,-900,3422,-5016
156,240,3604,-5518
158,-274,3750,-5296
159,-416,3624,-4046
160,-372,3712,-3794
162,-540,3330,-2606
163,-1116,3432,-2168
165,-1278,3478,-1040
166,-1310,3264,-92
167,-2052,3156,328
169,-2336,3006,2102
170,-2118,3156,2306
171,-2440,3904,2264
173,-2294,2110,2876
174,-2858,2652,3592
176,-3648,4610,3566
177,-1044,2244,3090
178,-1928,3146,2148
180,-2480,3640,1888
181,-666,2724,1928
182,-1540,3100,446
184,-324,3520,-734
185,1112,2434,-1578
187,-126,4742,-2342
188,340,2466,-2680
189,-22,2834,-4288
191,-56,4080,-4926
192,1320,2818,-5804
194,50,4648,-5364
195,8,2916,-5308
196,-148,3036,-5390
198,-244,4044,-5344
199,346,3292,-5362
200,-162,3694,-3520
202,-1522,3562,-2858
203,-1216,3526,-1966
205,-962,3380,-1556
206,-958,2866,-1056
207,-1612,3240,1178
209,-2466,3432,2060
210,-2148,3002,2120
212,-2372,3812,2162
213,-1572,2926,2462
214,-2136,3620,3874
216,-3534,4078,3754
217,-1780,2720,2808
219,-1572,3540,1760
220,-2198,3932,2094
221,-796,2770,1040
223,-1626,4272,1214
224,-736,2336,-1354
226,-312,3906,-1338
227,-602,4500,-2428
228,144,2908,-3008
230,-500,3860,-3676
231,-560,4280,-5212
232,536,3820,-5414
234,-274,4320,-5634
235,-470,3028,-5178
237,-312,3764,-5326
238,-650,3550,-5382
239,154,3004,-4836
241,-882,3360,-3136
242,-1092,3544,-2492
244,-444,3176,-2282
245,-1138,3760,-1266
246,-714,2426,-622
248,-1666,2624,1406
249,-2740,3728,2168
250,-2038,3062,2428
252,-1936,3404,2084
253,-1472,2334,2752
255,-2786,2908,3916
256,-2762,3490,3808
257,-1464,2426,2938
259,-1398,4094,1458
260,-1354,3702,1844
262,-1380,2882,1352
263,-1642,4082,636
264,-186,3648,-248
266,880,3784,-2078
267,-896,4352,-2836
268,140,3122,-3166
270,-156,4288,-4396
271,-360,3892,-4868
273,902,4302,-5212
274,-492,4532,-5550
275,-402,2978,-5234
